Index;Region, development group, country or area of destination;Coverage;Data type;Location code of destination;Region, development group, country or area of origin;Location code of origin;1990;1995;2000;2005;2010;2015;2020;2024
1170;Latin America and the Caribbean;;;1830;United Arab Emirates;784;..;..;..;..;..;..;..;..
1171;Latin America and the Caribbean;;;1830;Yemen;887;  8;  7;  12;  19;  20;  21;  20;  21
1172;Latin America and the Caribbean;;;1830;EUROPE;908; 897523; 797558; 710152; 631132; 573154; 523871; 487093; 551816
1173;Latin America and the Caribbean;;;1830;Eastern Europe;923; 66127; 53398; 43270; 34015; 27818; 22388; 20543; 25536
1174;Latin America and the Caribbean;;;1830;Belarus;112;  2;  3;  4;  4;  6;  6;  5;  5
1175;Latin America and the Caribbean;;;1830;Bulgaria;100;  886;  848;  845;  730;  670;  677;  688;  767
1176;Latin America and the Caribbean;;;1830;Czechia;203; 3286; 2499; 1918; 1447; 1090;  614;  550;  663
1177;Latin America and the Caribbean;;;1830;Hungary;348; 5148; 4146; 3378; 2732; 2210; 1514; 1057; 1823
1178;Latin America and the Caribbean;;;1830;Poland;616; 27457; 21282; 16410; 12127; 8859; 6053; 4561; 5262
1179;Latin America and the Caribbean;;;1830;Republic of Moldova*;498;  4;  6;  6;  9;  11;  10;  9;  10
1180;Latin America and the Caribbean;;;1830;Romania;642; 6591; 5258; 4302; 3539; 2964; 2115; 1776; 2262
1181;Latin America and the Caribbean;;;1830;Russian Federation;643; 17595; 13864; 11280; 8635; 7477; 6958; 7346; 8998
1182;Latin America and the Caribbean;;;1830;Slovakia;703;  117;  237;  218;  237;  252;  268;  280;  305
1183;Latin America and the Caribbean;;;1830;Ukraine*;804; 5041; 5255; 4909; 4555; 4279; 4173; 4271; 5441
1184;Latin America and the Caribbean;;;1830;Northern Europe;924; 22671; 23911; 24780; 25412; 26252; 27578; 29063; 34052
1185;Latin America and the Caribbean;;;1830;Channel Islands*;830;  66;  52;  65;  46;  84;  83;  94;  112
1186;Latin America and the Caribbean;;;1830;Denmark*;208;  883;  869;  875;  872;  886;  919;  953; 1175
1187;Latin America and the Caribbean;;;1830;Estonia;233;  143;  251;  238;  268;  292;  334;  437;  593
1188;Latin America and the Caribbean;;;1830;Finland*;246;  350;  330;  330;  404;  519;  623;  685;  717
1189;Latin America and the Caribbean;;;1830;Iceland;352;  16;  290;  244;  273;  266;  305;  402;  546
1190;Latin America and the Caribbean;;;1830;Ireland;372;  615;  627;  669;  637;  639;  644;  660;  771
1191;Latin America and the Caribbean;;;1830;Isle of Man*;833;..;..;..;..;..;..;..;..
1192;Latin America and the Caribbean;;;1830;Latvia;428;  86;  92;  102;  124;  155;  209;  377;  638
1193;Latin America and the Caribbean;;;1830;Lithuania;440;  266;  630;  576;  628;  647;  716;  871; 1099
1194;Latin America and the Caribbean;;;1830;Norway*;578;  456;  442;  455;  549;  697;  829;  948; 1099
1195;Latin America and the Caribbean;;;1830;Sweden;752; 1920; 2035; 2153; 2029; 1892; 1976; 2031; 2712
1196;Latin America and the Caribbean;;;1830;United Kingdom*;826; 17870; 18293; 19073; 19582; 20175; 20940; 21605; 24590
1197;Latin America and the Caribbean;;;1830;Southern Europe;925; 685151; 591594; 507343; 436515; 382308; 333397; 294935; 341656
1198;Latin America and the Caribbean;;;1830;Albania;8;  153;  118;  147;  75;  90;  137;  246;  391
1199;Latin America and the Caribbean;;;1830;Andorra;20;  1;  1;..;..;..;..;..;..
1200;Latin America and the Caribbean;;;1830;Bosnia and Herzegovina;70;  9;  9;  9;  10;  12;  14;  11;  11
1201;Latin America and the Caribbean;;;1830;Croatia;191; 1645; 1975; 1761; 1593; 1376; 1192; 1045; 1210
1202;Latin America and the Caribbean;;;1830;Gibraltar*;292;  3;  3;  4;  4;  5;  4;  4;  5
1203;Latin America and the Caribbean;;;1830;Greece;300; 3653; 3240; 2884; 2463; 2077; 1651; 1259; 1973
1204;Latin America and the Caribbean;;;1830;Holy See*;336;  10;  13;  17;  25;  38;  61;  138;  257
1205;Latin America and the Caribbean;;;1830;Italy;380; 242018; 212633; 183197; 154520; 131537; 108185; 91077; 85169
1206;Latin America and the Caribbean;;;1830;Malta;470;  20;  24;  27;  20;  12;  11;  11;  12
1207;Latin America and the Caribbean;;;1830;Montenegro;499;  695;  703;  696;  735;  797;  829;  866;  891
1208;Latin America and the Caribbean;;;1830;North Macedonia;807;  9;  7;  9;  13;  26;  25;  26;  30
1209;Latin America and the Caribbean;;;1830;Portugal;620; 165067; 145088; 128906; 112148; 94018; 77910; 60887; 101361
1210;Latin America and the Caribbean;;;1830;Serbia*;688; 9674; 6783; 4726; 1717;  936;  680;  573;  785
1211;Latin America and the Caribbean;;;1830;Slovenia;705; 1109; 1125;  990;  866;  744;  642;  607;  663
1212;Latin America and the Caribbean;;;1830;Spain*;724; 261085; 219872; 183970; 162326; 150640; 142056; 138185; 148898
1213;Latin America and the Caribbean;;;1830;Western Europe;926; 123574; 128655; 134759; 135190; 136776; 140508; 142552; 150572
1214;Latin America and the Caribbean;;;1830;Austria;40; 6890; 5811; 4932; 4229; 3612; 3120; 2682; 3660
1215;Latin America and the Caribbean;;;1830;Belgium;56; 3988; 4002; 3976; 3829; 3752; 3717; 3635; 4333
1216;Latin America and the Caribbean;;;1830;France*;250; 55387; 64737; 74251; 78481; 83156; 89034; 91571; 91921
1217;Latin America and the Caribbean;;;1830;Germany;276; 39901; 36219; 33009; 30226; 27831; 25886; 25306; 26576
1218;Latin America and the Caribbean;;;1830;Liechtenstein;438;  2;  2;  1;  2;  2;  1;  1;  1
1219;Latin America and the Caribbean;;;1830;Luxembourg;442;  6;  9;  13;  9;  13;  13;  14;  17
1220;Latin America and the Caribbean;;;1830;Monaco;492;  2;  1;..;..;..;..;..;..
1221;Latin America and the Caribbean;;;1830;Netherlands*;528; 11516; 11900; 12408; 12574; 12728; 13146; 13849; 17759
1222;Latin America and the Caribbean;;;1830;Switzerland;756; 5882; 5974; 6169; 5840; 5682; 5591; 5494; 6305
1223;Latin America and the Caribbean;;;1830;LATIN AMERICA AND THE CARIBBEAN;904;1882602;1878087;1937922;2194103;2750713;3020312;5497930;7043073
1224;Latin America and the Caribbean;;;1830;Caribbean;915; 261764; 288897; 318202; 342823; 377599; 449194; 552543; 661683
1225;Latin America and the Caribbean;;;1830;Anguilla*;660; 1088; 1053; 1025;  841;  806;  733;  725;  750
1226;Latin America and the Caribbean;;;1830;Antigua and Barbuda;28; 3639; 3893; 4184; 4035; 4111; 4250; 4389; 4580
1227;Latin America and the Caribbean;;;1830;Aruba*;533; 2419; 2474; 2553; 2252; 2465; 2611; 2797; 3323
1228;Latin America and the Caribbean;;;1830;Bahamas;44;  866;  856;  878;  800;  717;  733;  765;  823
1229;Latin America and the Caribbean;;;1830;Barbados;52; 2675; 2646; 2508; 2554; 2226; 2295; 2398; 2923
1230;Latin America and the Caribbean;;;1830;Bonaire, Sint Eustatius and Saba*;535; 1631; 1676; 1730; 1706; 1631; 1754; 1965; 2657
1231;Latin America and the Caribbean;;;1830;British Virgin Islands*;92; 2175; 2220; 2275; 2030; 2209; 2245; 2284; 2356
1232;Latin America and the Caribbean;;;1830;Cayman Islands*;136;  49;  50;  53;  63;  77;  107;  172;  275
1233;Latin America and the Caribbean;;;1830;Cuba;192; 30055; 30404; 32438; 33411; 38129; 42608; 60278; 79445
1234;Latin America and the Caribbean;;;1830;Curaçao*;531; 1469; 1831; 2269; 2040; 2491; 2607; 2793; 3319
1235;Latin America and the Caribbean;;;1830;Dominica;212; 10269; 11007; 11848; 11470; 11595; 11810; 11777; 12097
1236;Latin America and the Caribbean;;;1830;Dominican Republic;214; 47470; 55276; 63738; 67101; 70456; 74237; 79367; 84543
1237;Latin America and the Caribbean;;;1830;Grenada;308; 10581; 9794; 7833; 8213; 5848; 5951; 5734; 7731
1238;Latin America and the Caribbean;;;1830;Guadeloupe*;312; 4130; 4718; 5307; 5046; 5737; 6504; 6655; 6814
1239;Latin America and the Caribbean;;;1830;Haiti;332; 84336; 96969; 109904; 132750; 160804; 220922; 297670; 370785
1240;Latin America and the Caribbean;;;1830;Jamaica;388; 9792; 11677; 14467; 15390; 18777; 20292; 21904; 24430
1241;Latin America and the Caribbean;;;1830;Martinique*;474; 5323; 6359; 7404; 7518; 7656; 6794; 6946; 7068
1242;Latin America and the Caribbean;;;1830;Montserrat*;500; 1054; 1178; 1318; 1395; 1470; 1538; 1585; 1633
1243;Latin America and the Caribbean;;;1830;Puerto Rico*;630; 9742; 10371; 11127; 9265; 7857; 7406; 7689; 8347
1244;Latin America and the Caribbean;;;1830;Saint Kitts and Nevis;659; 5282; 5797; 6318; 6328; 6151; 6483; 6871; 7128
1245;Latin America and the Caribbean;;;1830;Saint Lucia;662; 6665; 7326; 7970; 7431; 6976; 7164; 7274; 7630
1246;Latin America and the Caribbean;;;1830;Saint Vincent and the Grenadines;670; 10382; 10228; 9531; 9681; 7943; 8283; 8341; 10192
1247;Latin America and the Caribbean;;;1830;Sint Maarten (Dutch part)*;534;  595;  702;  830;  857;  873;  919;  992; 1257
1248;Latin America and the Caribbean;;;1830;Trinidad and Tobago;780; 7734; 8322; 8875; 8635; 8407; 8609; 8779; 9078
1249;Latin America and the Caribbean;;;1830;Turks and Caicos Islands*;796; 1190;  729;  267;  568;  869;  946; 1010; 1070
1250;Latin America and the Caribbean;;;1830;United States Virgin Islands*;850; 1153; 1341; 1552; 1443; 1318; 1393; 1383; 1429
1251;Latin America and the Caribbean;;;1830;Central America;916; 476668; 349899; 271856; 298169; 341303; 376738; 464089; 582696
1252;Latin America and the Caribbean;;;1830;Belize;84; 1932; 1941; 2000; 2233; 2615; 2950; 3303; 3713
1253;Latin America and the Caribbean;;;1830;Costa Rica;188; 11315; 10898; 12303; 13444; 14229; 16084; 17862; 21546
1254;Latin America and the Caribbean;;;1830;El Salvador;222; 235778; 125063; 26962; 29382; 36950; 43270; 58075; 71502
1255;Latin America and the Caribbean;;;1830;Guatemala;320; 40548; 41786; 38200; 34767; 40043; 48213; 58650; 69102
1256;Latin America and the Caribbean;;;1830;Honduras;340; 23649; 22482; 22818; 25903; 31651; 39028; 67033; 106482
1257;Latin America and the Caribbean;;;1830;Mexico;484; 24789; 26404; 28533; 29464; 32295; 36544; 42022; 45082
1258;Latin America and the Caribbean;;;1830;Nicaragua;558; 128507; 111997; 130627; 154687; 172785; 179234; 204788; 250814
1259;Latin America and the Caribbean;;;1830;Panama;591; 10150; 9328; 10413; 8289; 10735; 11415; 12356; 14455
1260;Latin America and the Caribbean;;;1830;South America;931;1144170;1239291;1347864;1553111;2031811;2194380;4481298;5798694
1261;Latin America and the Caribbean;;;1830;Argentina;32; 84524; 95551; 107836; 118080; 125910; 136168; 152150; 169828
1262;Latin America and the Caribbean;;;1830;Bolivia (Plurinational State of);68; 89435; 108586; 128363; 161421; 208970; 234729; 282998; 301527
1263;Latin America and the Caribbean;;;1830;Brazil;76; 95398; 93648; 92288; 98643; 105457; 115431; 131042; 148834
1264;Latin America and the Caribbean;;;1830;Chile;152; 138723; 140660; 139763; 135926; 131990; 125873; 122292; 123048
1265;Latin America and the Caribbean;;;1830;Colombia;170; 342520; 363565; 385621; 445271; 694392; 743026; 794010; 795145
1266;Latin America and the Caribbean;;;1830;Ecuador;218; 21610; 25053; 30279; 35608; 44436; 52922; 63549; 70335
1267;Latin America and the Caribbean;;;1830;Falkland Islands (Malvinas)*;238;  97;  262;  394;  405;  154;  48;  10;  12
1268;Latin America and the Caribbean;;;1830;French Guiana*;254; 1660; 1825; 2044; 2134; 2216; 2459; 2452; 2582
1269;Latin America and the Caribbean;;;1830;Guyana;328; 14773; 17512; 21303; 24100; 29396; 31398; 32410; 35803
1270;Latin America and the Caribbean;;;1830;Paraguay;600; 181805; 194272; 203884; 250613; 326898; 325041; 324646; 322197
1271;Latin America and the Caribbean;;;1830;Peru;604; 46476; 64631; 97715; 136686; 206530; 227273; 255339; 266281
1272;Latin America and the Caribbean;;;1830;Suriname;740; 9551; 10387; 11237; 14406; 16912; 15829; 17697; 20821
1273;Latin America and the Caribbean;;;1830;Uruguay;858; 75151; 78230; 79911; 80351; 80183; 76851; 74635; 73781
1274;Latin America and the Caribbean;;;1830;Venezuela (Bolivarian Republic of);862; 42447; 45109; 47226; 49467; 58367; 107332;2228068;3468500
1275;Latin America and the Caribbean;;;1830;NORTHERN AMERICA;905; 322066; 354212; 399134; 482022; 588769; 600555; 623376; 637499
1276;Latin America and the Caribbean;;;1830;Bermuda*;60;  35;  39;  46;  71;  97;  118;  194;  316
1277;Latin America and the Caribbean;;;1830;Canada;124; 15091; 16212; 17738; 17249; 17526; 19002; 20687; 24252
1278;Latin America and the Caribbean;;;1830;Greenland*;304;  293;  247;  271;  169;  169;  178;  199;  220
1279;Latin America and the Caribbean;;;1830;Saint Pierre and Miquelon*;666;  23;  26;  31;  37;  47;  49;  52;  68
1280;Latin America and the Caribbean;;;1830;United States of America*;840; 306624; 337688; 381048; 464496; 570930; 581208; 602244; 612643
1281;Latin America and the Caribbean;;;1830;OCEANIA;909; 3091; 3396; 3321; 3138; 3065; 3032; 3095; 4207
1282;Latin America and the Caribbean;;;1830;Australia/New Zealand;927; 2745; 2952; 2944; 2966; 2966; 2939; 2950; 3953
1283;Latin America and the Caribbean;;;1830;Australia*;36; 2511; 2539; 2532; 2498; 2479; 2399; 2371; 3190
1284;Latin America and the Caribbean;;;1830;New Zealand*;554;  234;  413;  412;  468;  487;  540;  579;  763
1285;Latin America and the Caribbean;;;1830;Melanesia;928;  112;  176;  134;  92;  44;  20;  3;  3
1286;Latin America and the Caribbean;;;1830;Fiji;242;  1;  2;  3;  3;  2;  1;  1;  1
1287;Latin America and the Caribbean;;;1830;New Caledonia*;540;..;..;..;..;..;..;..;..
1288;Latin America and the Caribbean;;;1830;Papua New Guinea;598;..;  1;  1;  1;..;..;..;..
1289;Latin America and the Caribbean;;;1830;Solomon Islands;90;..;..;..;  1;  1;  2;  1;  1
1290;Latin America and the Caribbean;;;1830;Vanuatu;548;  111;  173;  130;  87;  41;  17;  1;  1
1291;Latin America and the Caribbean;;;1830;Micronesia;954;  213;  221;  170;  21;  5;  4;  4;  4
1292;Latin America and the Caribbean;;;1830;Guam*;316;  213;  221;  170;  21;  5;  4;  4;  4
1293;Latin America and the Caribbean;;;1830;Polynesia*;957;  21;  47;  73;  59;  50;  69;  138;  247
1294;Latin America and the Caribbean;;;1830;Cook Islands*;184;  6;  7;  8;  7;  7;  6;  6;  7
1295;Latin America and the Caribbean;;;1830;French Polynesia*;258;  9;  12;  16;  23;  35;  55;  125;  232
1296;Latin America and the Caribbean;;;1830;Niue*;570;..;  20;  40;  21;  1;  2;  1;  1
1297;Latin America and the Caribbean;;;1830;Tonga;776;..;  1;  1;  1;..;..;..;..
1298;Latin America and the Caribbean;;;1830;Wallis and Futuna Islands*;876;  6;  7;  8;  7;  7;  6;  6;  7
1299;Latin America and the Caribbean;;;1830;Others;2003; 357118; 191176; 120237; 130767; 103290; 229340; 292971; 260192
1300;Oceania (excluding Australia and New Zealand);;;1835;World;900; 114440; 127508; 139830; 144824; 139717; 142462; 147564; 151726
1301;Oceania (excluding Australia and New Zealand);;;1835;Sub-Saharan Africa;1834;  32;  35;  33;  37;  27;  19;  14;  14
1302;Oceania (excluding Australia and New Zealand);;;1835;Northern Africa and Western Asia;1833;  884; 1028; 1168; 1234; 1271; 1111; 1163; 1209
1303;Oceania (excluding Australia and New Zealand);;;1835;Central and Southern Asia;1831; 2400; 2347; 2246; 2152; 2302; 2359; 2407; 2464
1304;Oceania (excluding Australia and New Zealand);;;1835;Eastern and South-Eastern Asia;1832; 31742; 38955; 47831; 47183; 40501; 39455; 40819; 41904
1305;Oceania (excluding Australia and New Zealand);;;1835;Latin America and the Caribbean;1830;  562;  657;  821; 1775; 2496; 2454; 2567; 2664
1306;Oceania (excluding Australia and New Zealand);;;1835;Oceania (excluding Australia and New Zealand);1835; 26864; 30148; 33641; 33533; 31888; 33464; 34514; 35430
1307;Oceania (excluding Australia and New Zealand);;;1835;Australia/New Zealand;1836; 10930; 11015; 9190; 9213; 8606; 8481; 8627; 8775
1308;Oceania (excluding Australia and New Zealand);;;1835;Europe and Northern America;1829; 31342; 32689; 33311; 37285; 39947; 43609; 45491; 47003
1309;Oceania (excluding Australia and New Zealand);;;1835;More developed regions;901; 44051; 45520; 44416; 48279; 50104; 53596; 55680; 57392
1310;Oceania (excluding Australia and New Zealand);;;1835;Less developed regions;902; 60705; 71354; 83825; 84133; 76934; 77356; 79922; 82071
1311;Oceania (excluding Australia and New Zealand);;;1835;Least developed countries;941; 3874; 3869; 3820; 3587; 3006; 2948; 3024; 3121
1312;Oceania (excluding Australia and New Zealand);;;1835;Less developed regions, excluding least developed countries;934; 56831; 67485; 80005; 80546; 73928; 74408; 76898; 78950
1313;Oceania (excluding Australia and New Zealand);;;1835;Less developed regions, excluding China;948; 56983; 63084; 70119; 73610; 71765; 72462; 74931; 76989
1314;Oceania (excluding Australia and New Zealand);;;1835;Land-locked Developing Countries (LLDC);1636;  294;  345;  401;  421;  432;  372;  392;  410
1315;Oceania (excluding Australia and New Zealand);;;1835;Small Island Developing States (SIDS);1637; 24694; 27605; 30783; 31531; 30513; 30026; 30809; 31519
1316;Oceania (excluding Australia and New Zealand);;;1835;High-and-upper-middle-income countries;5503; 65367; 71398; 76777; 79939; 76653; 79844; 82428; 84636
1317;Oceania (excluding Australia and New Zealand);;;1835;Low-and-Lower-middle-income countries;5504; 36610; 42224; 47732; 48641; 46461; 45167; 46860; 48210
1318;Oceania (excluding Australia and New Zealand);;;1835;High-income countries;1503; 53483; 55431; 55081; 59282; 60384; 63571; 65962; 67935
1319;Oceania (excluding Australia and New Zealand);;;1835;Low-and-middle-income countries;1859; 48494; 58191; 69428; 69298; 62730; 61440; 63326; 64911
1320;Oceania (excluding Australia and New Zealand);;;1835;Middle-income countries;1517; 48494; 58191; 69428; 69298; 62730; 61440; 63326; 64911
1321;Oceania (excluding Australia and New Zealand);;;1835;Upper-middle-income countries;1502; 11884; 15967; 21696; 20657; 16269; 16273; 16466; 16701
1322;Oceania (excluding Australia and New Zealand);;;1835;Lower-middle-income countries;1501; 36610; 42224; 47732; 48641; 46461; 45167; 46860; 48210
1323;Oceania (excluding Australia and New Zealand);;;1835;No income group available;1518; 2779; 3252; 3732; 3832; 3924; 5941; 6314; 6617
1324;Oceania (excluding Australia and New Zealand);;;1835;AFRICA;903;  916; 1063; 1201; 1271; 1298; 1130; 1177; 1223
1325;Oceania (excluding Australia and New Zealand);;;1835;Eastern Africa;910;  32;  35;  33;  37;  27;  19;  14;  14
1326;Oceania (excluding Australia and New Zealand);;;1835;Mayotte;175;  16;  20;  24;  28;  18;  12;  9;  9
1327;Oceania (excluding Australia and New Zealand);;;1835;United Republic of Tanzania;834;  16;  15;  9;  9;  9;  7;  5;  5
1328;Oceania (excluding Australia and New Zealand);;;1835;Northern Africa;912;  884; 1028; 1168; 1234; 1271; 1111; 1163; 1209
1329;Oceania (excluding Australia and New Zealand);;;1835;Algeria;12;  441;  507;  569;  598;  598;  536;  553;  568
1330;Oceania (excluding Australia and New Zealand);;;1835;Morocco;504;  205;  241;  277;  294;  311;  266;  282;  296
1331;Oceania (excluding Australia and New Zealand);;;1835;Tunisia;788;  238;  280;  322;  342;  362;  309;  328;  345
1332;Oceania (excluding Australia and New Zealand);;;1835;ASIA;935; 34142; 41302; 50077; 49335; 42803; 41814; 43226; 44368
1333;Oceania (excluding Australia and New Zealand);;;1835;Eastern Asia;906; 8683; 12865; 18156; 14934; 9153; 8748; 8978; 9191
1334;Oceania (excluding Australia and New Zealand);;;1835;China;156; 3717; 8267; 13702; 10517; 5164; 4887; 4985; 5076
1335;Oceania (excluding Australia and New Zealand);;;1835;China, Hong Kong SAR;344;  5;  3;  4;  6;  5;  7;  6;  6
1336;Oceania (excluding Australia and New Zealand);;;1835;Japan;392; 1779; 1816; 1915; 1781; 1551; 1506; 1562; 1614
1337;Oceania (excluding Australia and New Zealand);;;1835;Republic of Korea;410; 3182; 2779; 2535; 2630; 2433; 2348; 2425; 2495
1338;Oceania (excluding Australia and New Zealand);;;1835;Southern Asia;5501; 2400; 2347; 2246; 2152; 2302; 2359; 2407; 2464
1339;Oceania (excluding Australia and New Zealand);;;1835;Bangladesh;50;  727;  707;  673;  611;  638;  646;  660;  673
1340;Oceania (excluding Australia and New Zealand);;;1835;India;356;  961;  897;  808;  705;  734;  727;  733;  741
1341;Oceania (excluding Australia and New Zealand);;;1835;Iran (Islamic Republic of);364;..;..;..;..;  8;  98;  88;  102
1342;Oceania (excluding Australia and New Zealand);;;1835;Nepal;524;  26;  30;  38;  37;  26;  24;  23;  23
1343;Oceania (excluding Australia and New Zealand);;;1835;Pakistan;586;  641;  674;  706;  779;  825;  840;  859;  876
1344;Oceania (excluding Australia and New Zealand);;;1835;Sri Lanka;144;  45;  39;  21;  20;  71;  24;  44;  49
1345;Oceania (excluding Australia and New Zealand);;;1835;South-Eastern Asia;920; 23059; 26090; 29675; 32249; 31348; 30707; 31841; 32713
1346;Oceania (excluding Australia and New Zealand);;;1835;Cambodia;116;  251;  295;  340;  360;  380;  325;  345;  362
1347;Oceania (excluding Australia and New Zealand);;;1835;Indonesia;360; 3794; 3372; 3585; 5618; 6820; 7025; 7050; 7094
1348;Oceania (excluding Australia and New Zealand);;;1835;Lao People's Democratic Republic;418;  268;  315;  363;  384;  406;  348;  369;  387
1349;Oceania (excluding Australia and New Zealand);;;1835;Malaysia;458;  58;  60;  48;  67;  83;  78;  74;  73
1350;Oceania (excluding Australia and New Zealand);;;1835;Philippines;608; 18207; 21466; 24676; 25141; 22974; 22294; 23339; 24107
1351;Oceania (excluding Australia and New Zealand);;;1835;Singapore;702;  21;  24;  18;  20;  19;  18;  16;  16
1352;Oceania (excluding Australia and New Zealand);;;1835;Viet Nam;704;  460;  558;  645;  659;  666;  619;  648;  674
1353;Oceania (excluding Australia and New Zealand);;;1835;EUROPE;908; 17095; 19514; 21392; 25049; 27672; 31355; 32708; 33774
1354;Oceania (excluding Australia and New Zealand);;;1835;Eastern Europe;923;  15;  15;  9;  8;  6;  5;  3;  3
1355;Oceania (excluding Australia and New Zealand);;;1835;Russian Federation;643;  15;  15;  9;  8;  6;  5;  3;  3
1356;Oceania (excluding Australia and New Zealand);;;1835;Northern Europe;924; 1585; 1573; 1225; 1134;  977;  975;  971;  979
1357;Oceania (excluding Australia and New Zealand);;;1835;Ireland;372;  32;  35;  30;  28;  23;  22;  20;  20
1358;Oceania (excluding Australia and New Zealand);;;1835;United Kingdom*;826; 1553; 1538; 1195; 1106;  954;  953;  951;  959
1359;Oceania (excluding Australia and New Zealand);;;1835;Southern Europe;925;  150;  173;  197;  205;  211;  184;  190;  197
1360;Oceania (excluding Australia and New Zealand);;;1835;Italy;380;  90;  104;  118;  123;  126;  110;  114;  118
1361;Oceania (excluding Australia and New Zealand);;;1835;Spain*;724;  60;  69;  79;  82;  85;  74;  76;  79
1362;Oceania (excluding Australia and New Zealand);;;1835;Western Europe;926; 15345; 17753; 19961; 23702; 26478; 30191; 31544; 32595
1363;Oceania (excluding Australia and New Zealand);;;1835;France*;250; 15221; 17612; 19804; 23542; 26327; 30050; 31405; 32457
1364;Oceania (excluding Australia and New Zealand);;;1835;Germany;276;  109;  125;  139;  141;  132;  123;  121;  120
1365;Oceania (excluding Australia and New Zealand);;;1835;Netherlands*;528;  2;  2;  2;  3;  4;  4;  4;  4
1366;Oceania (excluding Australia and New Zealand);;;1835;Switzerland;756;  13;  14;  16;  16;  15;  14;  14;  14
1367;Oceania (excluding Australia and New Zealand);;;1835;LATIN AMERICA AND THE CARIBBEAN;904;  562;  657;  821; 1775; 2496; 2454; 2567; 2664
1368;Oceania (excluding Australia and New Zealand);;;1835;Caribbean;915;  562;  657;  821; 1775; 2496; 2454; 2567; 2664
1369;Oceania (excluding Australia and New Zealand);;;1835;Puerto Rico*;630;  562;  657;  821; 1775; 2496; 2454; 2567; 2664
1370;Oceania (excluding Australia and New Zealand);;;1835;NORTHERN AMERICA;905; 14247; 13175; 11919; 12236; 12275; 12254; 12783; 13229
1371;Oceania (excluding Australia and New Zealand);;;1835;Canada;124;  189;  181;  134;  131;  113;  108;  104;  104
1372;Oceania (excluding Australia and New Zealand);;;1835;United States of America*;840; 14058; 12994; 11785; 12105; 12162; 12146; 12679; 13125
1373;Oceania (excluding Australia and New Zealand);;;1835;OCEANIA;909; 37794; 41163; 42831; 42746; 40494; 41945; 43141; 44205
1374;Oceania (excluding Australia and New Zealand);;;1835;Australia/New Zealand;927; 10930; 11015; 9190; 9213; 8606; 8481; 8627; 8775
1375;Oceania (excluding Australia and New Zealand);;;1835;Australia*;36; 7172; 7103; 5438; 5508; 4856; 4849; 4893; 4948
1376;Oceania (excluding Australia and New Zealand);;;1835;New Zealand*;554; 3758; 3912; 3752; 3705; 3750; 3632; 3734; 3827
1377;Oceania (excluding Australia and New Zealand);;;1835;Melanesia;928; 5131; 5600; 6023; 6250; 6202; 5929; 6052; 6188
1378;Oceania (excluding Australia and New Zealand);;;1835;Fiji;242;  805;  859;  911; 1054; 1125; 1235; 1253; 1283
1379;Oceania (excluding Australia and New Zealand);;;1835;New Caledonia*;540; 1489; 1653; 1834; 1903; 1773; 1747; 1747; 1749
1380;Oceania (excluding Australia and New Zealand);;;1835;Papua New Guinea;598;  588;  580;  566;  441;  337;  316;  307;  303
1381;Oceania (excluding Australia and New Zealand);;;1835;Solomon Islands;90;  493;  476;  430;  439;  464;  476;  480;  490
1382;Oceania (excluding Australia and New Zealand);;;1835;Vanuatu;548; 1756; 2032; 2282; 2413; 2503; 2155; 2265; 2363
1383;Oceania (excluding Australia and New Zealand);;;1835;Micronesia;954; 8002; 9081; 10403; 11196; 10850; 10725; 11262; 11700
1384;Oceania (excluding Australia and New Zealand);;;1835;Guam*;316;  639;  713;  809;  808;  603;  537;  551;  557
1385;Oceania (excluding Australia and New Zealand);;;1835;Kiribati;296; 1571; 1513; 1456; 1254;  698;  735;  750;  775
1386;Oceania (excluding Australia and New Zealand);;;1835;Marshall Islands;584;  151;  176;  227;  218;  191;  188;  191;  197
1387;Oceania (excluding Australia and New Zealand);;;1835;Micronesia (Fed. States of);583; 2357; 3447; 4597; 5573; 6189; 6133; 6462; 6723
1388;Oceania (excluding Australia and New Zealand);;;1835;Nauru;520;  530;  541;  553;  640;  729;  740;  800;  844
1389;Oceania (excluding Australia and New Zealand);;;1835;Northern Mariana Islands*;580; 1172; 1227; 1287; 1291; 1250; 1236; 1310; 1367
1390;Oceania (excluding Australia and New Zealand);;;1835;Palau;585; 1582; 1464; 1474; 1412; 1190; 1156; 1198; 1237
1391;Oceania (excluding Australia and New Zealand);;;1835;Polynesia*;957; 13731; 15467; 17215; 16087; 14836; 16810; 17200; 17542
1392;Oceania (excluding Australia and New Zealand);;;1835;American Samoa*;16;  470;  711;  954;  911;  807;  684;  645;  617
1393;Oceania (excluding Australia and New Zealand);;;1835;Cook Islands*;184;  20;  22;  29;  28;  26;  24;  21;  21
1394;Oceania (excluding Australia and New Zealand);;;1835;French Polynesia*;258; 1361; 1598; 1835;  999;  153;  197;  209;  222
1395;Oceania (excluding Australia and New Zealand);;;1835;Niue*;570;  6;  6;  6;  7;  8;  7;  5;  5
1396;Oceania (excluding Australia and New Zealand);;;1835;Samoa;882; 7359; 8152; 8954; 8582; 8262; 8289; 8320; 8348
1397;Oceania (excluding Australia and New Zealand);;;1835;Tokelau*;772;  80;  81;  82;  76;  67;  57;  52;  50
1398;Oceania (excluding Australia and New Zealand);;;1835;Tonga;776; 1240; 1236; 1229; 1270; 1305; 1312; 1320; 1332
