conflict_qid;conflict_label;checked_via
Q233373;Batalha de Cápua;both
Q233242;Segunda Batalha do Isonzo;both
Q182530;Batalha de Badajoz;both
Q221469;Primeira Batalha de Bull Run;both
Q233386;Batalha de Herdônia;both
Q204343;Battle of Sellasia;both
Q209721;Battle of Cabezón;both
Q222520;Batalha de Bannockburn;both
Q195118;Battle of Old Church;both
Q241108;Batalha de Friedlândia;both
Q188123;Battle of Villiers;both
Q101102250;Забастовка работников Минского метрополитена (1995);both
Q760007;Insurgência em Ogaden;both
Q760020;Polish 1970 protests;both
Q136352363;Cambrian Combine strike;both
Q938744;Émeute du Globus;both
Q131716431;Huelga de Eaton Ibérica;both
Q377682;Tumultos de Watts;both
Q1299320;Roma Riot in Slovakia;both
Q136540514;Demonstration against the De Wever Government (14 October 2025);both
Q129760;September 1991 Mineriad;both
Q135581735;greve dos taxistas em Angola em 2025;both
Q493211;Disturbance of the Three Ports;both
Q686273;Revolta de Vorkuta;both
Q130803602;Most strike;both
Q1747156;2002 gujarat violencia;both
Q101249165;1922 Dusseldorf strike;both
Q785554;Bloody Sunday;both
Q1263094;Schneiderrevolution;both
Q821885;Berliner Zeughaussturm;both
Q135225360;Demonstration against the De Wever Government (25 June 2025);both
Q131399961;2024 Canada Post strike;both
Q580640;Confrontos em Nukuʻalofa em 2006;both
Q104795752;1910 Columbus streetcar strike;both
Q132175276;1872 New York City eight hour day strike;both
Q699295;Incidente de Nanquim;both
Q103927707;1932 Christchurch tramway strike;both
Q132165524;2012 nationwide strike in Israel;both
Q131904633;1997 Brazilian police strike;both
Q780056;riot of Hoyerswerda;both
Q1941328;Moabiter Unruhen;both
Q257216;Distúrbios em Albina em 2009;both
Q135224616;2025 NBR strike;both
Q136451462;1988 Chilean rail strike;both
Q130803600;Most strike;both
Q133254283;grève de huit jours;both
Q200749;Jornada das Telhas;both
Q27559;Primavera Negra;both
Q130394260;2024 United States port strike;both
Q97355620;1943 Rolls-Royce strike;both
Q104849717;2020 Port of Montreal strike;both
Q696187;Distúrbios de Los Angeles em 1992;both
Q104955137;1937 Minnesota timber worker strikes;both
Q97358351;1989–90 British ambulance strike;both
Q901961;2012 China anti-Japanese demonstrations;both
Q134103619;2023 CRA Strike;both
Q98834192;CFM strike demonstration Berlin 2020-08-26;both
Q1633167;Moscow Uprising of 1682;both
Q886284;Blumenstraßen riots;both
Q1014570;2008 Shenzhen anti-police riot;both
Q1558576;1986 Sabah riots;both
Q339486;1948 Accra Riots;both
Q1154330;Jornada de 10 de Agosto de 1792;both
Q1341655;Distúrbios de 1920 na Palestina;both
Q265873;Revolta de jovens dos subúrbios da França em 2005;both
Q104868505;2018 Taylorsville Georgia-Pacific strike;both
Q152372;Distúrbios de 2008 na Grécia;both
Q760024;Husino uprising;both
Q132051182;Sciopero di Ranica del 1909;both
Q1538124;Motins de Gordon;both
Q750138;Astor Place Riot;both
Q104845066;Bristol Youth Strike 4 Climate;both
Q657494;demolition of Babri Masjid;both
Q136196534;War of the Shops;both
Q135264147;2025 District Council 33 strike;both
Q1718321;Leipziger Gemetzel;both
Q104855767;2020 Michigan graduate students strike;both
Q105200270;Charleston sanitation strike;both
Q710671;Hibiya incendiary incident;both
Q104858483;2018 Atlanta sanitation strike;both
Q1878803;2000 Ramallah lynching;both
Q1958948;Beer riots in Bavaria;both
Q1466858;riots on 50th anniversary of the Hungarian Revolution of 1956;both
Q844505;Distúrbios em Xinjiang em julho de 2009;both
Q135581783;Greves gerais em Angola em 2024;both
Q923566;2006 civil unrest in San Salvador Atenco;both
Q133819046;1953 Aramco strike;both
Q220497;Os distúrbios do recrutamento em Nova York;both
Q701607;Incidente de Nagasaki;both
Q134293546;2025 Nepal Teachers Protest;both
Q1054334;Shaoguan incident;both
Q457509;Tumult of Thorn;both
Q546042;Youth riots in Switzerland;both
Q1073320;Revolta de Réveillon;both
Q1508360;Tonypandy Riots;both
Q130803604;Skuteč strike;both
Q134282959;El Teniente strike;both
Q685746;Tragédia de Port Said;both
Q780058;Riot of Rostock-Lichtenhagen;both
Q105800263;Escândalo de Berna;both
Q109424680;La Polar Case;both
Q83368968;Tsai Ing-wen dissertation gate;both
Q1184566;Invasões do Afeganistão;both
Q85790366;Ohio State University abuse scandal;both
Q106777831;Arenc affair;both
Q2342042;Campanha de Maryland;both
Q56249409;Odebrecht case in Venezuela;both
Q96379887;Great Potosi Mint Fraud of 1649;both
Q104704398;FAVAG-Skandal;both
Q703655;Invasão Toi;both
Q61101216;2016年韓国プロ野球八百長事件;both
Q108308869;Saint Boy controversy;both
Q107063368;Catholic Church sexual abuse scandals in Germany;both
Q65047801;Escândalos do Priorado de Littlemore;both
Q98582314;Oireachtas Golf Society Scandal;both
Q109011888;affaire Cissey-Kaulla;both
Q105415298;OpenLux;both
Q106967145;Department of Health autism dossiers scandal;both
Q2177009;Invasão russa da Manchúria;both
Q55612594;Ghana Football Association cash gift scandal;both
Q109643271;Colusión de supermercados en Chile;both
Q105728713;Tohokushinsha Film and Ministry of Internal Affairs and Communications scandal;both
Q1134220;Invasão Mongol na Rússia;both
Q105759001;affaire de la fuite de données de santé de laboratoires français;both
Q102406411;Béla Kun affair;both
Q856650;Invasão do Kuwait;both
Q55612601;Ghanaian Police Recruitment Scam;both
Q701121;Ōei Invasion;both
Q60996310;文部科學省汚職事件;both
Q55647838;Ghana SSNIT software scandal;both
