iso3;country;neighbors_iso3;neighbors_count;border_km_total;timezones;timezones_count;capital_lat;capital_lon;seasons_estimate
TUN;Tunísia;DZA,LBY;2;;UTC+1,UTC+2,UTC−1;3;36.800833333;10.18;4
TUR;Turquia;ARM,AZE,BGR,GEO,GRC,IRN,IRQ,SYR;8;;UTC+1,UTC+2,UTC+3,UTC+3:30,UTC+4;5;39.93576;32.83869;4
TUV;Tuvalu;;0;;UTC+12;1;-8.504777777;179.117361111;2
TWN;Taiwan;CHN,JPN,PHL;3;;UTC+1,UTC+8,UTC+9;3;25.0375;121.5625;4
TZA;Tanzânia;BDI,COD,KEN,MOZ,MWI,RWA,SYC,UGA,ZMB;9;;UTC+1,UTC+3;2;-6.1835;35.746;2
UGA;Uganda;COD,KEN,RWA,SDN,SSD,TZA;6;;UTC+3;1;0.313611111;32.581111111;2
UKR;Ucrânia;BLR,HUN,MDA,POL,ROU,RUS,SVK;7;;UTC+1,UTC+2,UTC+3,UTC+3:30,UTC+4;5;50.45;30.523611111;4
URY;Uruguai;ARG,BRA;2;;UTC−2,UTC−3;2;-34.905916666;-56.191311111;4
USA;Estados Unidos;CAN,MEX;2;;UTC+1,UTC+10,UTC+11,UTC+12,UTC+14,UTC+8,UTC−04:00,UTC−10,UTC−11,UTC−12,UTC−5,UTC−6,UTC−7,UTC−8,UTC−9;15;38.895;-77.036666666;4
UZB;Uzbequistão;AFG,KAZ,KGZ,TJK,TKM;5;;UTC+5,UTC+5:30,UTC+6;3;41.311111111;69.279722222;4
VAT;Vaticano;ITA;1;;UTC+1,UTC+2;2;41.904;12.453;4
VCT;São Vicente e Granadinas;VEN;1;;UTC+1,UTC−04:00;2;13.15527;-61.22742;4
VEN;Venezuela;BRA,COL,DMA,DOM,FRA,GBR,GRD,GUY,KNA,LCA,NLD,TTO,USA,VCT;14;;UTC+1,UTC−04:00,UTC−4:30,UTC−5;4;10.5;-66.933333333;4
VNM;Vietname;CHN,KHM,LAO;3;;UTC+1,UTC+7,UTC+9;3;21.0245;105.84117;4
VUT;Vanuatu;AUS,SLB;2;;UTC+11;1;-17.73333;168.316667;4
WSM;Samoa;USA;1;;UTC+13,UTC−11;2;-13.833333333;-171.833333333;4
YEM;Iémen;OMN,SAU;2;;UTC+1,UTC+2,UTC+3,UTC+3:30;4;15.35;44.2;4
ZAF;África do Sul;BWA,LSO,MOZ,NAM,SWZ,ZWE;6;;UTC+1,UTC+2,UTC+3;3;-25.746388888;28.188055555;4
ZMB;Zâmbia;AGO,BWA,COD,MOZ,MWI,NAM,TZA,ZWE;8;;UTC+02:30,UTC+2;2;-15.416666666;28.283333333;4
ZWE;Zimbábue;BWA,MOZ,ZAF,ZMB;4;;UTC+1,UTC+2;2;-17.829166666;31.052222222;4
