iso3;lake_name;area_km2;lat;lon;scalerank;featurecla;source
CAN;Donjek;;62.104457108910836;-139.59547740477842;7;River;NaturalEarth_10m_rivers_lake_centerlines
CAN;Eastmain;;52.18071859401369;-75.30384409498276;7;River;NaturalEarth_10m_rivers_lake_centerlines
CAN;Ekwan;;53.404583048789625;-84.8564337883591;8;River;NaturalEarth_10m_rivers_lake_centerlines
CAN;English;;50.273697201655985;-93.04375411535976;8;Lake Centerline;NaturalEarth_10m_rivers_lake_centerlines
CAN;Exploits;;48.90444926143642;-55.98067074772272;8;River;NaturalEarth_10m_rivers_lake_centerlines
CAN;Finlay;;57.260003912311845;-126.06805844450113;6;River;NaturalEarth_10m_rivers_lake_centerlines
CAN;Flathead;;48.250344606417414;-114.32851629337397;8;River;NaturalEarth_10m_rivers_lake_centerlines
CAN;Fraser;;56.6769155268528;-63.13681376860864;8;River;NaturalEarth_10m_rivers_lake_centerlines
CAN;French;;46.066592919267485;-80.51503360058197;8;River;NaturalEarth_10m_rivers_lake_centerlines
CAN;Gatineau;;46.07539002685514;-75.92448003050747;8;River;NaturalEarth_10m_rivers_lake_centerlines
CAN;George;;56.786012888229465;-65.21935017928072;7;River;NaturalEarth_10m_rivers_lake_centerlines
CAN;Gods;;55.52969401701554;-92.87603088982324;8;River;NaturalEarth_10m_rivers_lake_centerlines
CAN;Grand;;43.342071790007076;-80.19291694227205;8;River;NaturalEarth_10m_rivers_lake_centerlines
CAN;Grande rivière de la Baleine;;55.087633531385634;-75.77498868556738;7;River;NaturalEarth_10m_rivers_lake_centerlines
CAN;Groundhog;;49.153221959019206;-82.0766715306139;7;River;NaturalEarth_10m_rivers_lake_centerlines
CAN;Harricana;;49.29241089957399;-78.34911041165003;9;River;NaturalEarth_10m_rivers_lake_centerlines
CAN;Hayes;;56.673391431987845;-92.6747653806128;8;River;NaturalEarth_10m_rivers_lake_centerlines
CAN;Ivanhoe;;48.235721803269485;-82.56204767777463;7;River;NaturalEarth_10m_rivers_lake_centerlines
CAN;Kaban;;62.32502470633798;-101.16812189432773;8;Lake Centerline;NaturalEarth_10m_rivers_lake_centerlines
CAN;Kazan;;61.69777999366465;-101.45493732921707;8;River;NaturalEarth_10m_rivers_lake_centerlines
CAN;Keele;;64.01032916442314;-127.22787078470199;9;River;NaturalEarth_10m_rivers_lake_centerlines
CAN;Koksoak;;57.72590456131733;-69.42201765255506;7;River;NaturalEarth_10m_rivers_lake_centerlines
CAN;La Grande;;53.648682290011855;-75.12822736601423;4;Lake Centerline;NaturalEarth_10m_rivers_lake_centerlines
CAN;Liard;;60.328875824738184;-125.86922778562007;6;River;NaturalEarth_10m_rivers_lake_centerlines
CAN;Mackenzie;;61.19480585338688;-115.69280030407069;2;Lake Centerline;NaturalEarth_10m_rivers_lake_centerlines
CAN;Manicouagan;;50.883953799834195;-68.85708345062403;7;Lake Centerline;NaturalEarth_10m_rivers_lake_centerlines
CAN;Mattagami;;50.24745024224209;-81.91889633011135;7;River;NaturalEarth_10m_rivers_lake_centerlines
CAN;Miramichi;;46.66422645814222;-66.33203930352872;9;River;NaturalEarth_10m_rivers_lake_centerlines
CAN;Missinaibi;;49.819526855776246;-82.85806825051424;9;River;NaturalEarth_10m_rivers_lake_centerlines
CAN;Mlzes;;57.17258627710176;-71.78674328906166;7;River;NaturalEarth_10m_rivers_lake_centerlines
CAN;Moose;;50.867155708604855;-81.23586608108826;7;River;NaturalEarth_10m_rivers_lake_centerlines
