iso3;country;continent;area_km2;highest_point;highest_point_m;capital;latitude;longitude;avg_temp_c;avg_precip_mm;description;source_climate
LBR;Libéria;África;0.111369;Monte Wuteve;1440.0;Monróvia;6.310555555;-10.804722222;;;país na África;
LBY;Líbia;África;1.759541;Bikku Bitti;2267.0;Trípoli;32.87519;13.18746;;;país do norte de África;
LCA;Santa Lúcia;América do Norte e América Central;0.000617012867;Monte Gimie;950.0;Castries;14.016666666;-60.983333333;;;país nas Índias Ocidentais no leste do mar do Caribe;
LIE;Liechtenstein;Europa;0.00016;Grauspitz;2599.0;Vaduz;47.140555555;9.522222222;;;microestado nos Alpes;
LKA;Sri Lanka;Ásia;0.06561;Pidurutalagala;2524.0;Kotte;6.9;79.916388888;;;país da Ásia;
LKA;Sri Lanka;Ásia;0.06561;Pidurutalagala;2524.0;Colombo;6.926666666;79.860555555;;;país da Ásia;
LSO;Lesoto;África;0.030355;Thabana Ntlenyana;3482.0;Maseru;-29.31;27.48;;;país da África Austral;
LTU;Lituânia;Europa;0.0653;Aukštojas Hill;293.84;Vilnius;54.687222222;25.28;;;país da Europa;
LUX;Luxemburgo;Europa;0.0025863600000000002;Kneiff;560.0;Luxemburgo;49.610555555;6.132777777;;;país na Europa Ocidental;
LVA;Letónia;Europa;0.06459376;Gaiziņkalns;311.94;Riga;56.9475;24.106944444;;;país europeu;
LVA;Letónia;Europa;0.06222685;Gaiziņkalns;311.94;Riga;56.9475;24.106944444;;;país europeu;
MAR;Marrocos;África;0.44655;Jbel Toubkal;4167.0;Rabat;34.025277777;-6.836111111;;;país do Norte de África;
MCO;Mónaco;Europa;2.08e-06;Chemin des Révoires;162.0;Commune of Monaco;43.730555555;7.425277777;;;cidade-estado e microestado na Riviera Francesa;
MDA;Moldávia;Europa;0.0338435;Monte Bălănești;430.0;Chișinău;47.022777777;28.835277777;;;país na Europa Oriental;
MDG;Madagáscar;África;0.587295;Maromokotro;2876.0;Antananarivo;-18.91;47.525;;;país insular no Oceano Índico;
MDV;Maldivas;Ásia;0.000298;Cidade Addu;2.4;Malé;4.175;73.508333333;;;país da Ásia;
MDV;Maldivas;Ásia;0.000298;Villingili;5.1;Malé;4.175;73.508333333;;;país da Ásia;
MEX;México;América do Norte e América Central;1.97255;Pico de Orizaba;5636.0;Cidade do México;19.353773;-99.13589;;;país na América do Norte;
MHL;Ilhas Marshall;Oceania;0.00018143;Likiep;10.0;Majuro;7.0918;171.3802;;;país da Oceania;
MKD;Macedónia do Norte;Europa;0.025713;Monte Korab;2764.0;Skopje;41.996111111;21.431666666;;;país no sudeste da Europa;
MLI;Mali;África;1.240192;Hombori Tondo;1153.0;Bamako;12.645833333;-7.992222222;;;país da África;
MLT;Malta;Europa;0.000316;Ta' Dmejrek;253.0;Valeta;35.897777777;14.5125;;;país europeu;
MMR;Myanmar;Ásia;0.6765772;Hkakabo Razi;5881.0;Naypyidaw;19.7475;96.115;;;país da Ásia;
MNE;Montenegro;Europa;0.013883;Zla Kolata;2534.0;Cetinje;42.389444444;18.924722222;;;país da Europa;
MNE;Montenegro;Europa;0.013883;Zla Kolata;2534.0;Podgorica;42.441388888;19.262777777;;;país da Europa;
MNG;Mongólia;Ásia;1.564116;Pico Khüiten;4374.0;Ulã Bator;47.921357;106.905515;;;país na Ásia Oriental;
MOZ;Moçambique;África;0.80159;Monte Binga;2436.0;Maputo;-25.915277777;32.576388888;;;país no sudeste da África;
MRT;Mauritânia;África;1.0307;Kediet ej Jill;915.0;Nouakchott;18.08581;-15.9785;;;país da África;
MUS;Maurícia;África;0.00204;Piton de la Riviere Noire;828.0;Port Louis;-20.161944444;57.498888888;;;país insular do oceano Índico;
MWI;Malawi;África;0.118484;Mulanje Massif;3002.0;Lilongué;-13.96692;33.78725;;;país de África;
