m49;country;year;immigrants;emigrants
238;Falkland Islands (Malvinas)*;2010;1436.0;414.0
238;Falkland Islands (Malvinas)*;2015;1571.0;193.0
238;Falkland Islands (Malvinas)*;2020;1957.0;106.0
238;Falkland Islands (Malvinas)*;2024;2333.0;93.0
242;Fiji;1990;13283.0;65039.0
242;Fiji;1995;13001.0;78323.0
242;Fiji;2000;12719.0;95570.0
242;Fiji;2005;12434.0;117629.0
242;Fiji;2010;13357.0;138607.0
242;Fiji;2015;13751.0;158026.0
242;Fiji;2020;14087.0;169411.0
242;Fiji;2024;14362.0;181025.0
246;Finland*;1990;63255.0;266717.0
246;Finland*;1995;99729.0;255507.0
246;Finland*;2000;136203.0;247766.0
246;Finland*;2005;192169.0;236417.0
246;Finland*;2010;228481.0;221943.0
246;Finland*;2015;314856.0;209216.0
246;Finland*;2020;386052.0;195782.0
246;Finland*;2024;514432.0;181834.0
250;France*;1990;5890023.0;1413608.0
250;France*;1995;5936326.0;1629553.0
250;France*;2000;6141350.0;1721390.0
250;France*;2005;6839877.0;1855042.0
250;France*;2010;7322210.0;2042164.0
250;France*;2015;7978076.0;2249670.0
250;France*;2020;8610719.0;2400208.0
250;France*;2024;9186757.0;2547158.0
254;French Guiana*;1990;63612.0;3047.0
254;French Guiana*;1995;70131.0;3257.0
254;French Guiana*;2000;76649.0;3554.0
254;French Guiana*;2005;86468.0;3694.0
254;French Guiana*;2010;96288.0;3815.0
254;French Guiana*;2015;106108.0;4106.0
254;French Guiana*;2020;119249.0;4128.0
254;French Guiana*;2024;130924.0;4490.0
258;French Polynesia*;1990;25830.0;3056.0
258;French Polynesia*;1995;28360.0;3544.0
258;French Polynesia*;2000;30329.0;4080.0
258;French Polynesia*;2005;32286.0;2549.0
258;French Polynesia*;2010;31640.0;1312.0
258;French Polynesia*;2015;30058.0;1674.0
258;French Polynesia*;2020;30081.0;1915.0
258;French Polynesia*;2024;30099.0;2008.0
262;Djibouti;1990;122221.0;1963.0
262;Djibouti;1995;99774.0;20005.0
262;Djibouti;2000;100507.0;3751.0
262;Djibouti;2005;92110.0;2421.0
262;Djibouti;2010;102307.0;2577.0
262;Djibouti;2015;112351.0;2537.0
262;Djibouti;2020;119738.0;2866.0
262;Djibouti;2024;125996.0;3576.0
266;Gabon;1990;128188.0;14265.0
266;Gabon;1995;171427.0;16602.0
266;Gabon;2000;214431.0;19695.0
266;Gabon;2005;233824.0;39376.0
266;Gabon;2010;270829.0;36042.0
266;Gabon;2015;378686.0;43401.0
266;Gabon;2020;416651.0;54053.0
266;Gabon;2024;449746.0;61160.0
268;Georgia;1990;304470.0;1057640.0
268;Georgia;1995;152235.0;1031233.0
268;Georgia;2000;76117.0;979681.0
268;Georgia;2005;71296.0;879847.0
268;Georgia;2010;73078.0;780487.0
268;Georgia;2015;76685.0;637894.0
268;Georgia;2020;79368.0;545396.0
268;Georgia;2024;81582.0;496486.0
270;Gambia;1990;118123.0;14218.0
270;Gambia;1995;150890.0;16789.0
270;Gambia;2000;182514.0;19940.0
270;Gambia;2005;181839.0;27073.0
270;Gambia;2010;185837.0;34151.0
270;Gambia;2015;192540.0;38925.0
270;Gambia;2020;215659.0;61390.0
270;Gambia;2024;236137.0;72452.0
275;State of Palestine;1990;288332.0;1824634.0
275;State of Palestine;1995;281767.0;2368382.0
275;State of Palestine;2000;275202.0;2851675.0
275;State of Palestine;2005;274520.0;3445320.0
275;State of Palestine;2010;273840.0;3493678.0
275;State of Palestine;2015;273163.0;3797793.0
275;State of Palestine;2020;272784.0;4072904.0
275;State of Palestine;2024;272481.0;4233248.0
276;Germany;1990;6960112.0;3870620.0
276;Germany;1995;9637208.0;4825017.0
276;Germany;2000;10397459.0;4107120.0
276;Germany;2005;11210590.0;4078804.0
276;Germany;2010;11665950.0;4260810.0
276;Germany;2015;12646813.0;4207460.0
276;Germany;2020;15021300.0;4204441.0
276;Germany;2024;16750084.0;4297233.0
288;Ghana;1990;164851.0;344686.0
288;Ghana;1995;252879.0;361700.0
288;Ghana;2000;191601.0;445447.0
288;Ghana;2005;309932.0;606700.0
288;Ghana;2010;337766.0;718300.0
288;Ghana;2015;414744.0;846131.0
288;Ghana;2020;476412.0;963019.0
288;Ghana;2024;532286.0;1055494.0
292;Gibraltar*;1990;8709.0;477.0
292;Gibraltar*;1995;8381.0;486.0
292;Gibraltar*;2000;8054.0;502.0
292;Gibraltar*;2005;9211.0;510.0
292;Gibraltar*;2010;10369.0;511.0
292;Gibraltar*;2015;11065.0;517.0
292;Gibraltar*;2020;11190.0;494.0
292;Gibraltar*;2024;11291.0;474.0
296;Kiribati;1990;2162.0;3919.0
296;Kiribati;1995;2223.0;3882.0
296;Kiribati;2000;2283.0;3819.0
296;Kiribati;2005;2487.0;3783.0
296;Kiribati;2010;2868.0;3344.0
296;Kiribati;2015;2919.0;4086.0
296;Kiribati;2020;3126.0;5053.0
296;Kiribati;2024;3302.0;6306.0
300;Greece;1990;618139.0;878261.0
300;Greece;1995;857850.0;854601.0
300;Greece;2000;1111665.0;857066.0
300;Greece;2005;1190707.0;768388.0
300;Greece;2010;1321149.0;703538.0
300;Greece;2015;1242924.0;759916.0
300;Greece;2020;1340456.0;775995.0
300;Greece;2024;1423964.0;780112.0
