iso3;qid_country;lang_qid;lang_label
AUS;Q408;Q6748829;Mangarayi
AUS;Q408;Q6772774;Marra
AUS;Q408;Q6772792;Marranj
AUS;Q408;Q6772812;Marrgu
AUS;Q408;Q6773014;Marrithiyel
AUS;Q408;Q6792550;Língua maung
AUS;Q408;Q6799620;Mbara
AUS;Q408;Q6881575;Karuwali
AUS;Q408;Q6928192;Mpalitjanh
AUS;Q408;Q6960662;Nakkara
AUS;Q408;Q6981305;Nauo
AUS;Q408;Q6983809;Ndra'ngith
AUS;Q408;Q7021846;Ngadjunmaya
AUS;Q408;Q7021944;Língua ngamini
AUS;Q408;Q7021977;Ngandi
AUS;Q408;Q7022063;Língua ngardi
AUS;Q408;Q7022072;Ngarigo
AUS;Q408;Q7022078;Ngarluma
AUS;Q408;Q7022091;Ngarrindjeri
AUS;Q408;Q7022712;Ngunnawal
AUS;Q408;Q7049771;Noongar
AUS;Q408;Q7068904;Língua nunukul
AUS;Q408;Q7069826;Nungali
AUS;Q408;Q7070837;Nyamal
AUS;Q408;Q7127734;Pallanganmiddang
AUS;Q408;Q7311553;Rembarunga
AUS;Q408;Q7336730;Ritharngu
AUS;Q408;Q7711494;Thawa
AUS;Q408;Q7881346;Umbindhamu
AUS;Q408;Q7959249;Língua wadi-wadi
AUS;Q408;Q7959487;Wagaya
AUS;Q408;Q7959489;Wagaydy
AUS;Q408;Q7960748;Wakabunga
AUS;Q408;Q7961277;Walangama
AUS;Q408;Q7966934;Wamin
AUS;Q408;Q7967859;Wangganguru
AUS;Q408;Q7967860;Wanggamala
AUS;Q408;Q7967891;Wangkumara
AUS;Q408;Q7967989;Wanman
AUS;Q408;Q7968201;Wanyi
AUS;Q408;Q7969971;Warray
AUS;Q408;Q7970852;Warrwa
AUS;Q408;Q7970854;Warrungu
AUS;Q408;Q7974656;Wathawurrung
AUS;Q408;Q7983284;Wergaia
AUS;Q408;Q7999800;Wik-Ngatharr
AUS;Q408;Q8029099;Woiwurrung
AUS;Q408;Q8039208;Wuliwuli
AUS;Q408;Q8039305;Wurrugu
AUS;Q408;Q8046394;Yabula-Yabula
AUS;Q408;Q8048318;Yanda
AUS;Q408;Q8048335;Yandruwandha
AUS;Q408;Q8050479;Língua yawuru
AUS;Q408;Q8050525;Yaygir
AUS;Q408;Q8053734;Yinhawangka
AUS;Q408;Q8053763;Yinwum
AUS;Q408;Q8053828;Yirrk-Thangalkl
AUS;Q408;Q8053879;Yitha Yitha
AUS;Q408;Q8055849;Yorta Yorta
AUS;Q408;Q8060437;Yugul
AUS;Q408;Q8062232;Idioma yuyu
AUS;Q408;Q8842355;Bidyara
AUS;Q408;Q10408315;Ami
AUS;Q408;Q10412317;Anmatyerre
AUS;Q408;Q10427485;Bayungu
AUS;Q408;Q10465931;Dagoman
AUS;Q408;Q10467281;Dayi
AUS;Q408;Q10470289;Dhargari
AUS;Q408;Q10474818;Djangun
AUS;Q408;Q10488401;Erre
AUS;Q408;Q10502327;Gambera
AUS;Q408;Q10510745;Gumatj
AUS;Q408;Q10510783;Gungabula
AUS;Q408;Q10511001;Gunya
AUS;Q408;Q10511004;Gupapuyngu
AUS;Q408;Q10511016;Gurinji
AUS;Q408;Q10511225;Guwamu
AUS;Q408;Q10511230;Guyani
AUS;Q408;Q10543322;Kanju
AUS;Q408;Q10547021;Kokata
AUS;Q408;Q10549839;Kukatja
AUS;Q408;Q10549849;Kuku-Muminh
AUS;Q408;Q10549851;Kuku-Mangk
AUS;Q408;Q10549852;Kuku-Mu'inh
AUS;Q408;Q10549854;Kuku-Ugbanh
AUS;Q408;Q10550184;Kunggari
AUS;Q408;Q61999705;Wardandi
AUS;Q408;Q61999823;Unggaranggu
AUS;Q408;Q61999874;Umiida
AUS;Q408;Q62000004;Unggumi
AUS;Q408;Q62603022;Angkamuthi
AUS;Q408;Q63257867;Yuru
AUS;Q408;Q63313681;Wadjabangayi
AUS;Q408;Q63339969;Birrpayi
AUS;Q408;Q63340189;Yandjibara
AUS;Q408;Q63341096;Yiningayi
AUS;Q408;Q63341274;Yatay
AUS;Q408;Q63348560;Dhuwaya
AUS;Q408;Q63537289;Jaitmatang
