iso3,country,christian,muslim,unaffiliated,hindu,buddhist,folk_religions,other_religions,jewish,source_year
ROU,Romania,99.0,0.3,0.1,0.05,0.05,0.05,0.05,0.05,2010
RUS,Russia,73.3,10.0,16.2,0.05,0.1,0.2,0.05,0.2,2010
RWA,Rwanda,93.4,1.8,3.6,0.05,0.05,1.0,0.2,0.05,2010
WSM,Samoa,96.8,0.05,2.5,0.05,0.05,0.05,0.4,0.05,2010
SMR,San Marino,91.6,0.05,7.2,0.05,0.05,0.05,0.9,0.3,2010
STP,Sao Tome and Principe,82.2,0.05,12.6,0.05,0.05,2.9,2.4,0.05,2010
SAU,Saudi Arabia,4.4,93.0,0.7,1.1,0.3,0.3,0.3,0.05,2010
SEN,Senegal,3.6,96.4,0.05,0.05,0.05,0.05,0.05,0.05,2010
SRB,Serbia,92.5,4.2,3.3,0.05,0.05,0.05,0.05,0.05,2010
SYC,Seychelles,94.0,1.1,2.1,2.1,0.05,0.05,0.6,0.05,2010
SLE,Sierra Leone,20.9,78.0,0.1,0.05,0.05,0.8,0.05,0.05,2010
SGP,Singapore,18.2,14.3,16.4,5.2,33.9,2.3,9.7,0.05,2010
SVK,Slovakia,85.3,0.2,14.3,0.05,0.05,0.05,0.05,0.05,2010
SVN,Slovenia,78.4,3.6,18.0,0.05,0.05,0.05,0.05,0.05,2010
SLB,Solomon Islands,97.4,0.05,0.2,0.05,0.3,1.3,0.7,0.05,2010
SOM,Somalia,0.05,99.0,0.05,0.05,0.05,0.05,0.05,0.05,2010
ZAF,South Africa,81.2,1.7,14.9,1.1,0.2,0.4,0.3,0.1,2010
KOR,South Korea,29.4,0.2,46.4,0.05,22.9,0.8,0.2,0.05,2010
SSD,South Sudan,60.5,6.2,0.5,0.05,0.05,32.9,0.05,0.05,2010
ESP,Spain,78.6,2.1,19.0,0.05,0.05,0.05,0.05,0.1,2010
LKA,Sri Lanka,7.3,9.8,0.05,13.6,69.3,0.05,0.05,0.05,2010
SDN,Sudan,5.4,90.7,1.0,0.05,0.05,2.8,0.05,0.05,2010
SUR,Suriname,51.6,15.2,5.4,19.8,0.6,5.3,1.8,0.2,2010
SWE,Sweden,67.2,4.6,27.0,0.2,0.4,0.2,0.2,0.1,2010
CHE,Switzerland,81.3,5.5,11.9,0.4,0.4,0.05,0.1,0.3,2010
SYR,Syria,5.2,92.8,2.0,0.05,0.05,0.05,0.05,0.05,2010
TWN,Taiwan,5.5,0.05,12.7,0.05,21.3,44.2,16.2,0.05,2010
TJK,Tajikistan,1.6,96.7,1.5,0.05,0.05,0.05,0.05,0.05,2010
TZA,Tanzania,61.4,35.2,1.4,0.1,0.05,1.8,0.05,0.05,2010
THA,Thailand,0.9,5.5,0.3,0.1,93.2,0.05,0.05,0.05,2010
TLS,Timor-Leste,99.0,0.1,0.05,0.05,0.05,0.1,0.05,0.05,2010
TGO,Togo,43.7,14.0,6.2,0.05,0.05,35.6,0.6,0.05,2010
TKL,Tokelau,99.0,0.05,0.05,0.05,0.05,0.05,0.2,0.05,2010
TON,Tonga,98.9,0.05,0.05,0.1,0.05,0.05,0.9,0.05,2010
TTO,Trinidad and Tobago,65.9,5.9,1.9,22.7,0.3,1.9,1.4,0.05,2010
TUN,Tunisia,0.2,99.0,0.2,0.05,0.05,0.05,0.05,0.05,2010
TKM,Turkmenistan,6.4,93.0,0.5,0.05,0.05,0.05,0.05,0.05,2010
TCA,Turks and Caicos Islands,92.1,0.05,4.6,0.05,0.05,2.7,0.6,0.05,2010
TUV,Tuvalu,96.7,0.1,1.3,0.05,0.05,0.05,1.9,0.05,2010
UGA,Uganda,86.7,11.5,0.5,0.3,0.05,0.9,0.1,0.05,2010
UKR,Ukraine,83.8,1.2,14.7,0.05,0.05,0.05,0.05,0.1,2010
