iso3,country,role,person,person_qid,start,end,party,end_cause
EST,Estônia,head_of_government,Kristen Michal,Q1789192,2024-07-23T00:00:00Z,,Estonian Reform Party,
EST,Estônia,head_of_state,Alar Karis,Q12358575,2021-10-11T00:00:00Z,,Ind.,
ETH,Etiópia,head_of_government,Abiy Ahmed Ali,Q50365049,2018-04-02T00:00:00Z,,Prosperity Party,
ETH,Etiópia,head_of_state,Taye Atskeselassie,Q124831090,2024-10-07T00:00:00Z,,,
FIN,Finlândia,head_of_government,Petteri Orpo,Q6029546,2023-06-20T00:00:00Z,,NCP,
FIN,Finlândia,head_of_state,Alexander Stubb,Q503143,2024-03-01T00:00:00Z,,NCP,
FJI,Fiji,head_of_government,Sitiveni Rabuka,Q981549,2022-12-24T00:00:00Z,,Soqosoqo ni Vakavulewa ni Taukei,
FJI,Fiji,head_of_state,Naiqama Lalabalavu,Q6959729,2024-11-12T00:00:00Z,,Social Democratic Liberal Party,
FLK,Ilhas Malvinas,head_of_state,Colin Martin-Reynolds,Q135494387,2025-07-29T00:00:00Z,,,
FRA,França,head_of_government,Sébastien Lecornu,Q20089181,2025-09-09T00:00:00Z,,Union for a Popular Movement,
FRA,França,head_of_state,Emmanuel Macron,Q3052772,2017-05-14T00:00:00Z,,Socialist Party,
FRO,Ilhas Faroé,head_of_government,Aksel V. Johannesen,Q556712,2022-12-22T00:00:00Z,,Social Democratic Party of the Faroe Islands,
FRO,Ilhas Faroé,head_of_state,Frederico X da Dinamarca,Q1004037,2024-01-14T00:00:00Z,,,
FSM,Micronésia,head_of_government,Wesley Simina,Q7984081,2023-05-11T00:00:00Z,,,
FSM,Micronésia,head_of_state,Wesley Simina,Q7984081,2023-05-11T00:00:00Z,,,
GAB,Gabão,head_of_government,Raymond Ndong Sima,Q57856,2023-09-08T00:00:00Z,,Gabonese Democratic Party,
GAB,Gabão,head_of_state,Brice Oligui Nguema,Q122067521,2023-08-30T00:00:00Z,,Democratic Union of Builders,
GBR,Reino Unido,head_of_government,Keir Starmer,Q6383803,2024-07-05T00:00:00Z,,Partido Trabalhista,
GBR,Reino Unido,head_of_state,Carlos III do Reino Unido,Q43274,2022-09-08T00:00:00Z,,,
GEO,Geórgia,head_of_government,Irakli Kobakhidze,Q27885302,2024-02-08T00:00:00Z,,Georgian Dream,
GEO,Geórgia,head_of_state,Salome Zurabishvili,Q272416,2018-12-16T00:00:00Z,,Georgia's Way,
GGY,Guernsey,head_of_government,Gavin St Pier,Q27517421,2016-05-04T00:00:00Z,,Ind.,
GGY,Guernsey,head_of_state,Carlos III do Reino Unido,Q43274,2022-09-08T00:00:00Z,,,
GHA,Gana,head_of_government,John Dramani Mahama,Q50678,2025-01-07T00:00:00Z,,NDC,
GHA,Gana,head_of_state,John Dramani Mahama,Q50678,2025-01-07T00:00:00Z,,NDC,
GIB,Gibraltar,head_of_government,Fabian Picardo,Q2356379,2011-12-09T00:00:00Z,,Gibraltar Socialist Labour Party,
GIB,Gibraltar,head_of_state,Carlos III do Reino Unido,Q43274,2022-09-08T00:00:00Z,,,
GIN,Guiné,head_of_government,Bah Oury,Q22209348,2024-02-27T00:00:00Z,,,
GIN,Guiné,head_of_state,Mamady Doumbouya,Q108418519,2021-10-01T00:00:00Z,,,
GLP,Guadalupe,head_of_government,Ary Chalus,Q2866091,2015-12-18T00:00:00Z,,miscellaneous left,
GMB,Gâmbia,head_of_government,Adama Barrow,Q27917049,2017-01-21T00:00:00Z,,UDP,
GMB,Gâmbia,head_of_state,Adama Barrow,Q27917049,2017-01-21T00:00:00Z,,UDP,
GNB,Guiné-Bissau,head_of_government,Rui Duarte de Barros,Q627337,2023-12-21T00:00:00Z,,,
GNB,Guiné-Bissau,head_of_state,Umaro Sissoco Embaló,Q16855164,2020-02-27T00:00:00Z,,African Party for the Independence of Guinea and Cape Verde,
GNQ,Guiné Equatorial,head_of_government,Manuel Osa Nsue Nsua,Q129263796,2024-08-17T00:00:00Z,,,
GNQ,Guiné Equatorial,head_of_state,Teodoro Obiang Nguema Mbasogo,Q57385,1979-08-03T00:00:00Z,,Democratic Party of Equatorial Guinea,
GRC,Grécia,head_of_government,Kyriákos Mitsotákis,Q552751,2023-06-26T00:00:00Z,,New Democracy,
GRC,Grécia,head_of_state,Konstantinos Tasoulas,Q20995518,2025-03-13T00:00:00Z,,New Democracy,
GRD,Granada,head_of_government,Dickon Mitchell,Q112679881,2022-06-24T00:00:00Z,,National Democratic Congress,
GRD,Granada,head_of_state,Carlos III do Reino Unido,Q43274,2022-09-08T00:00:00Z,,,
GRL,Groenlândia,head_of_government,Jens-Frederik Nielsen,Q16262782,2025-03-28T00:00:00Z,,,
GRL,Groenlândia,head_of_state,Frederico X da Dinamarca,Q1004037,2024-01-14T00:00:00Z,,,
GTM,Guatemala,head_of_government,Bernardo Arévalo,Q107254030,2024-01-15T00:00:00Z,,Semilla Movement,
GTM,Guatemala,head_of_state,Bernardo Arévalo,Q107254030,2024-01-15T00:00:00Z,,Semilla Movement,
GUF,Guiana Francesa,head_of_government,Rodolphe Alexandre,Q3108632,,,Union for a Popular Movement,
GUM,Guam,head_of_government,Lou Leon Guerrero,Q21066675,2019-01-07T00:00:00Z,,Democratic Party of Guam,
GUY,Guiana,head_of_government,Mark Phillips,Q98053664,2020-08-03T00:00:00Z,,PPP,
GUY,Guiana,head_of_state,Irfaan Ali,Q64840184,2020-08-02T00:00:00Z,,PPP,
HKG,"Hong Kong, RAE da China",head_of_government,John Lee,Q9051824,2022-07-01T00:00:00Z,,,
HND,Honduras,head_of_government,Xiomara Castro,Q8044708,2022-01-27T00:00:00Z,,Liberal Party of Honduras,
HND,Honduras,head_of_state,Xiomara Castro,Q8044708,2022-01-27T00:00:00Z,,Liberal Party of Honduras,
HRV,Croácia,head_of_government,Andrej Plenković,Q11685764,2016-10-19T00:00:00Z,,Croatian Democratic Union,
HRV,Croácia,head_of_state,Zoran Milanović,Q57687,2020-02-19T00:00:00Z,,Social Democratic Party of Croatia,
HTI,Haiti,head_of_government,Alix Didier Fils-Aimé,Q131140314,2024-11-11T00:00:00Z,,,
HTI,Haiti,head_of_state,Conselho Presidencial de Transição,Q124846311,2024-04-25T00:00:00Z,,,
HUN,Hungria,head_of_government,Viktor Orbán,Q57641,2010-05-29T00:00:00Z,,Fidesz,
HUN,Hungria,head_of_state,Tamás Sulyok,Q28599854,2024-03-05T00:00:00Z,,Ind.,
IDN,Indonésia,head_of_government,Prabowo Subianto,Q2107268,2024-10-20T00:00:00Z,,Great Indonesia Movement Party,
IDN,Indonésia,head_of_state,Prabowo Subianto,Q2107268,2024-10-20T00:00:00Z,,Partido Gerindra,
IMN,Ilha de Man,head_of_government,Alfred Cannan,Q25752002,2021-10-12T00:00:00Z,,,
