conflict_qid;conflict_label;empty_what
Q1352215;Guerra Polaco-Russa de 1792;p17
Q1249270;Terceira Guerra Sacra;p17
Q1265114;Father Rale's War;p17
Q1354920;Conflito fronteiriço entre Djibouti e Eritreia;labels
Q18609298;Golpe de Estado em Alto Volta em 1966;labels
Q11551007;rébellion du château d'Edo;labels
Q202161;Guerras da Gália;p17
Q16329701;1925 Greek coup d'état;labels
Q10942100;Duomen coup;labels
Q12184169;Golpe de Estado na Síria em 1951;labels
Q18145759;Golpe de Estado no Iêmen em 2014-2015;labels
Q11072441;Golpe de Pequim (1976);labels
Q12613430;Injo coup;labels
Q196409;Cruzada Livónia;p17
Q195378;Guerra Anglo-nepalesa;p17
Q16914766;Golpe de Estado na Tailândia em 2014;labels
Q18399370;tentativa de golpe de Estado na Argentina em 1975;labels
Q8022766;Insurreição de Wilmington de 1898;labels
Q191282;Primeira Guerra do Ópio;p17
Q11241358;Musin Rebellion;labels
Q11554414;治承三年政變;labels
Q203824;Guerra Ítalo-Turca;p17
Q16141511;Coup d'état of Primo de Rivera;labels
Q10893041;June 16 Incident;labels
Q10511142;Golpe de Estado de Gustav III;labels
Q194378;Terceira Guerra Servil;p17
Q12184171;Golpe de Estado na Síria em dezembro de 1949;labels
Q202465;Guerra Uganda-Tanzânia;p17
Q14947304;Revolução Corretiva na Síria de 1970;labels
Q4591257;Golpe de Estado no Burundi em 1996;p710
Q5690662;Golpe de Estado de 1912;p710
Q4350094;Deposition of Romulus Augustulus;labels
Q4350099;golpe de estado en Rumanía del 2 de febrero de 1866;p710
Q5637814;Balconcillo mutiny;p710
Q5492732;Golpe de Estado em Cuba de 1933;p710
Q4996248;1934 Bulgarian coup d'état;labels
Q4552433;Golpe de Karamanli;p710
Q4561707;Golpe de Estado no Chile em 1925;p710
Q4350100;golpe de estado en Rumanía del 2 de mayo de 1864;p710
Q4586873;Golpe de Estado no Haiti em 1991;p710
Q7302105;Rebellion of Cao Qin;labels
Q4350095;Golpe de Estado na Birmânia em 1962;p710
Q5882510;Golpe de Estado de julio de 1936 en la Armada española;p710
Q5882499;Golpe de Estado na Venezuela em 1908;p710
Q5177982;1993 Pakaunė mutiny;p710
Q4566363;Golpe de Estado na Venezuela em 1948;p710
Q4571089;Golpe de Estado na República do Daomé em 1963;p710
Q4575699;Golpe de Estado em Ruanda em 1973;p710
Q3653895;Golpe de Estado em Uganda em 1971;labels
Q4580321;Golpe de Estado em Bangladesh em 1982;p710
Q6585266;1991 Thai coup d'état;p710
Q4121073;Chilean naval mutiny of 1931;p710
Q4571496;Regime Militar no Brasil em 1964;p710
Q5882529;Golpe de Estado no Panamá em 1931;labels
Q8012976;Chenqiao Coup;p710
Q6706220;Golpe luxemburguês de 1856;labels
Q4379295;Golpe de Kolchak;p710
Q4271747;Golpe de Estado no Chade em 1975;p710
Q3686843;Conspiração de Tiepolo;p710
Q4571109;Golpe de Estado em Honduras em 1963;p710
Q4594811;Golpe de Estado na Costa do Marfim em 1999;p710
Q3738122;June coup;p710
