iso3;country_qid;country_label;conflict_qid;conflict_label;kind_qid;kind_label;source;start_year;end_year;point_year;part_of_qid;part_of_label;place_qid;place_label;result_qid;result_label;deaths;country_label_en;conflict_label_en;kind_label_en;part_of_label_en;place_label_en;result_label_en
JPN;Q17;Japão;Q116813256;Truk to Balikpapan convoy;Q131656428;military convoy;participant;;;;Q362;Segunda Guerra Mundial;Q98;Oceano Pacífico;;;;Japan;Truk to Balikpapan convoy;military convoy;World War II;Pacific Ocean;
JPN;Q17;Japão;Q116813257;Truk to Eniwetok convoy;Q131656428;military convoy;participant;;;;Q362;Segunda Guerra Mundial;Q98;Oceano Pacífico;;;;Japan;Truk to Eniwetok convoy;military convoy;World War II;Pacific Ocean;
JPN;Q17;Japão;Q116813262;Truk to Yokosuka convoy;Q131656428;military convoy;participant;;;;Q362;Segunda Guerra Mundial;Q98;Oceano Pacífico;;;;Japan;Truk to Yokosuka convoy;military convoy;World War II;Pacific Ocean;
JPN;Q17;Japão;Q116813263;Truk to Kure convoy;Q131656428;military convoy;participant;;;;Q362;Segunda Guerra Mundial;Q98;Oceano Pacífico;;;;Japan;Truk to Kure convoy;military convoy;World War II;Pacific Ocean;
JPN;Q17;Japão;Q116813260;Truk to Yokosuka convoy;Q131656428;military convoy;participant;;;;Q362;Segunda Guerra Mundial;Q98;Oceano Pacífico;;;;Japan;Truk to Yokosuka convoy;military convoy;World War II;Pacific Ocean;
JPN;Q17;Japão;Q116813261;Truk to Yokosuka convoy;Q131656428;military convoy;participant;;;;Q362;Segunda Guerra Mundial;Q98;Oceano Pacífico;;;;Japan;Truk to Yokosuka convoy;military convoy;World War II;Pacific Ocean;
JPN;Q17;Japão;Q116813266;Truk to Palau convoy;Q131656428;military convoy;participant;;;;Q362;Segunda Guerra Mundial;Q98;Oceano Pacífico;;;;Japan;Truk to Palau convoy;military convoy;World War II;Pacific Ocean;
JPN;Q17;Japão;Q116813267;Truk to Saipan convoy;Q131656428;military convoy;participant;;;;Q362;Segunda Guerra Mundial;Q98;Oceano Pacífico;;;;Japan;Truk to Saipan convoy;military convoy;World War II;Pacific Ocean;
JPN;Q17;Japão;Q116813264;Truk to Kure convoy;Q131656428;military convoy;participant;;;;Q362;Segunda Guerra Mundial;Q98;Oceano Pacífico;;;;Japan;Truk to Kure convoy;military convoy;World War II;Pacific Ocean;
JPN;Q17;Japão;Q116813265;Truk to Palau convoy;Q131656428;military convoy;participant;;;;Q362;Segunda Guerra Mundial;Q98;Oceano Pacífico;;;;Japan;Truk to Palau convoy;military convoy;World War II;Pacific Ocean;
JPN;Q17;Japão;Q116813270;Convoy 4602;Q131656428;military convoy;participant;;;;Q362;Segunda Guerra Mundial;Q98;Oceano Pacífico;;;;Japan;Convoy 4602;military convoy;World War II;Pacific Ocean;
