iso3,country,indicator,indicator_name,year,value
KIR,Kiribati,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,14658387.5745883
SYC,Seychelles,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,11416890.5034536
CYM,Cayman Islands,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,10213438.5342959
STP,Sao Tome and Principe,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,10000000.0
TCA,Turks and Caicos Islands,BX.TRF.PWKR.CD.DT,Remittances received (US$),2018,7481920.0
MDV,Maldives,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,5652306.73033269
TKM,Turkmenistan,BX.TRF.PWKR.CD.DT,Remittances received (US$),1996,4420000.0
PNG,Papua New Guinea,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,3866122.23809085
ERI,Eritrea,BX.TRF.PWKR.CD.DT,Remittances received (US$),2000,3284750.85910653
TUV,Tuvalu,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,2000000.0
PLW,Palau,BX.TRF.PWKR.CD.DT,Remittances received (US$),2024,1953000.0
NRU,Nauru,BX.TRF.PWKR.CD.DT,Remittances received (US$),2023,880605.811639709
TCD,Chad,BX.TRF.PWKR.CD.DT,Remittances received (US$),1994,724057.2572
GNQ,Equatorial Guinea,BX.TRF.PWKR.CD.DT,Remittances received (US$),1996,164206.042292187
CAF,Central African Republic,BX.TRF.PWKR.CD.DT,Remittances received (US$),1993,158919.3046
NPL,Nepal,BX.TRF.PWKR.DT.GD.ZS,Remittances received (%GDP),2024,66.1243412150194
TON,Tonga,BX.TRF.PWKR.DT.GD.ZS,Remittances received (%GDP),2023,49.9757027039835
TJK,Tajikistan,BX.TRF.PWKR.DT.GD.ZS,Remittances received (%GDP),2024,47.8852110026872
LBN,Lebanon,BX.TRF.PWKR.DT.GD.ZS,Remittances received (%GDP),2023,33.349773045666
NIC,Nicaragua,BX.TRF.PWKR.DT.GD.ZS,Remittances received (%GDP),2024,26.6355465455205
WSM,Samoa,BX.TRF.PWKR.DT.GD.ZS,Remittances received (%GDP),2024,26.4276818353756
BMU,Bermuda,BX.TRF.PWKR.DT.GD.ZS,Remittances received (%GDP),2024,26.1241397741698
HND,Honduras,BX.TRF.PWKR.DT.GD.ZS,Remittances received (%GDP),2024,25.6991309025944
SLV,El Salvador,BX.TRF.PWKR.DT.GD.ZS,Remittances received (%GDP),2024,24.0022976620619
GMB,"Gambia, The",BX.TRF.PWKR.DT.GD.ZS,Remittances received (%GDP),2024,21.0871813503036
LSO,Lesotho,BX.TRF.PWKR.DT.GD.ZS,Remittances received (%GDP),2024,20.9469539374659
GTM,Guatemala,BX.TRF.PWKR.DT.GD.ZS,Remittances received (%GDP),2024,19.1249171168734
COM,Comoros,BX.TRF.PWKR.DT.GD.ZS,Remittances received (%GDP),2024,18.2672435195336
JAM,Jamaica,BX.TRF.PWKR.DT.GD.ZS,Remittances received (%GDP),2024,17.8842255361981
KGZ,Kyrgyz Republic,BX.TRF.PWKR.DT.GD.ZS,Remittances received (%GDP),2024,17.7363196361325
SOM,"Somalia, Fed. Rep.",BX.TRF.PWKR.DT.GD.ZS,Remittances received (%GDP),2024,17.4925660228215
XKX,Kosovo,BX.TRF.PWKR.DT.GD.ZS,Remittances received (%GDP),2024,17.3474661633707
YEM,"Yemen, Rep.",BX.TRF.PWKR.DT.GD.ZS,Remittances received (%GDP),2018,15.8890644827837
HTI,Haiti,BX.TRF.PWKR.DT.GD.ZS,Remittances received (%GDP),2024,15.4613702675998
UZB,Uzbekistan,BX.TRF.PWKR.DT.GD.ZS,Remittances received (%GDP),2024,14.4210991468962
LBR,Liberia,BX.TRF.PWKR.DT.GD.ZS,Remittances received (%GDP),2024,14.3157894736842
VUT,Vanuatu,BX.TRF.PWKR.DT.GD.ZS,Remittances received (%GDP),2024,12.486524585348
MHL,Marshall Islands,BX.TRF.PWKR.DT.GD.ZS,Remittances received (%GDP),2024,12.2878862528855
CPV,Cabo Verde,BX.TRF.PWKR.DT.GD.ZS,Remittances received (%GDP),2024,12.0679438327227
GEO,Georgia,BX.TRF.PWKR.DT.GD.ZS,Remittances received (%GDP),2024,12.0157271642489
TLS,Timor-Leste,BX.TRF.PWKR.DT.GD.ZS,Remittances received (%GDP),2024,11.6712934296336
SEN,Senegal,BX.TRF.PWKR.DT.GD.ZS,Remittances received (%GDP),2024,11.6216891297963
NGA,Nigeria,BX.TRF.PWKR.DT.GD.ZS,Remittances received (%GDP),2024,11.3405363247915
BIH,Bosnia and Herzegovina,BX.TRF.PWKR.DT.GD.ZS,Remittances received (%GDP),2024,11.0230816585769
MNE,Montenegro,BX.TRF.PWKR.DT.GD.ZS,Remittances received (%GDP),2024,10.59781731402
MDA,Moldova,BX.TRF.PWKR.DT.GD.ZS,Remittances received (%GDP),2024,10.5366158547258
GNB,Guinea-Bissau,BX.TRF.PWKR.DT.GD.ZS,Remittances received (%GDP),2024,9.72267259047621
SSD,South Sudan,BX.TRF.PWKR.DT.GD.ZS,Remittances received (%GDP),2015,9.49107276206113
PSS,Pacific island small states,BX.TRF.PWKR.DT.GD.ZS,Remittances received (%GDP),2024,9.41257850652906
PAK,Pakistan,BX.TRF.PWKR.DT.GD.ZS,Remittances received (%GDP),2024,9.3585188653641
PYF,French Polynesia,BX.TRF.PWKR.DT.GD.ZS,Remittances received (%GDP),2023,9.08372381992482
DOM,Dominican Republic,BX.TRF.PWKR.DT.GD.ZS,Remittances received (%GDP),2024,9.04956290595841
PHL,Philippines,BX.TRF.PWKR.DT.GD.ZS,Remittances received (%GDP),2024,8.72571015588724
ALB,Albania,BX.TRF.PWKR.DT.GD.ZS,Remittances received (%GDP),2024,8.36876417203097
