conflict_qid;conflict_label;checked_via
Q6861027;Guerra Aqueia;both
Q16932264;South Sulawesi expedition;both
Q6414591;Harb al-fijar;both
Q7210108;Polish–Swedish War of 1621–25;both
Q7564494;Souliote War;both
Q7443152;Segunda Guerra Carib;both
Q7443317;Second Genoese–Savoyard War;both
Q108910275;Greve dos controladores de tráfego aéreo de 1981;both
Q16931483;Mughal–Safavid War;both
Q6808293;Guerras Zungares-Qing;both
Q7242972;Song-Lý War;both
Q7565812;Guerras sul-africanas;both
Q16932099;Conflitos Luso-Malaios;both
Q103821495;1907 Mesabi Iron Range Strike;both
Q16933898;French invasion of Normandy;both
Q6542740;Guerra Austro-Turca (1788-1791);both
Q7813573;Guerra Tokhtamysh-Tamerlão;both
Q7968589;Iberian–Armenian War;both
Q7166879;Perak War;both
Q6165029;Java War of 1743-1741;both
Q98078069;Magadha-Vajji War;both
Q97306131;War between Antiochus I Soter and the Northern League;both
Q665983;Second Battle of Agordat;both
Q673411;Batalha de Arbedo;both
Q97278952;War between Apollonia and Mesembria;both
Q97236239;Byzantine–Ottoman War of 1421–1424;both
Q657620;Batalha de Noreia;both
Q97305706;War of Byzantium against Bithynia and Rhodes;both
Q97279607;Bithynian-Pergamene War of 186–183 BCE;both
Q97306148;Carian War;both
Q674553;Battle of Dogali;both
Q97186053;Pontic-Pergamene War;both
Q97661679;Lesbos War;both
Q97233213;Hungarian–Ottoman War;both
Q661327;Batalha de Mühlberg;both
Q663359;Battle of Holowczyn;both
Q97191289;War between Arwad and Marathus;both
Q97199785;Seleucid-Pergamene War;both
Q97186969;War between Rhodes and Kaunos;both
Q98383169;Ottoman raids into the Despotate of the Morea;both
Q97305923;Aetolian-Boeotian War;both
Q510588;War of the Lombards;both
Q525097;Expedições persas de 1796;both
Q499229;Boeotian War;both
Q545449;Guerra do Iraque;both
Q477973;Guerra Gótica;both
Q486831;Guerra Romano-Síria;both
Q2082222;Guerra Lázica;both
Q1975306;Conflitos pós-soviéticos;both
Q2288424;War of the Eight Saints;both
Q2280723;Burmese–Siamese War of 1785–86;both
Q607589;FIA–FOTA dispute;both
Q2090475;Segunda Guerra Franco-Daomeana;both
Q2309409;Guerra Moreana;both
Q2109300;Prussian invasion of Holland;both
Q1196099;Ruptura Tito–Stalin;both
Q2078442;Second Dacian War;both
Q2280714;Burmese–Siamese War of 1594–1605;both
Q619749;Conflito curdo na Turquia;both
Q2096286;Theater War;both
Q368207;Battle of Leobersdorf;both
Q679363;Battle of Hundsfeld;both
Q328447;Battle of La Belle-Famille;both
Q367988;Battle of Aclea;both
Q331565;Siege of Breisach;both
Q322345;Battle of Flarchheim;both
Q327099;Batalha do Passo Kasserine;both
Q683044;Batalha de Minden;both
Q324697;Battle of Gefrees;both
