iso3;year;immigrants;emigrants
ECU;1995;145626.0;316260.0
ECU;2000;150585.0;510456.0
ECU;2005;144415.0;935700.0
ECU;2010;358874.0;1122949.0
ECU;2015;332142.0;1066457.0
ECU;2020;721560.0;1118570.0
ECU;2024;747749.0;1243065.0
EGY;1990;144713.0;1630728.0
EGY;1995;160802.0;1750423.0
EGY;2000;179364.0;1921183.0
EGY;2005;288944.0;2371080.0
EGY;2010;323177.0;3213308.0
EGY;2015;499292.0;4193177.0
EGY;2020;602472.0;4454277.0
EGY;2024;1139820.0;4820002.0
ERI;1990;11848.0;156294.0
ERI;1995;12400.0;370422.0
ERI;2000;12952.0;505394.0
ERI;2005;15905.0;267114.0
ERI;2010;15813.0;283312.0
ERI;2015;15941.0;478597.0
ERI;2020;13934.0;663275.0
ERI;2024;12512.0;912792.0
ESH;1990;2688.0;168120.0
ESH;1995;2989.0;167018.0
ESH;2000;3289.0;165927.0
ESH;2005;3891.0;131181.0
ESH;2010;4493.0;170154.0
ESH;2015;5179.0;184784.0
ESH;2020;5424.0;193812.0
ESH;2024;5628.0;202107.0
ESP;1990;813588.0;1374696.0
ESP;1995;1258176.0;1238438.0
ESP;2000;2023886.0;1177275.0
ESP;2005;4372449.0;1126330.0
ESP;2010;6281193.0;1138608.0
ESP;2015;5892847.0;1307006.0
ESP;2020;7146130.0;1471585.0
ESP;2024;8870527.0;1623550.0
EST;1990;381997.0;106726.0
EST;1995;315755.0;108115.0
EST;2000;249512.0;111603.0
EST;2005;233701.0;115845.0
EST;2010;217890.0;116903.0
EST;2015;194664.0;128194.0
EST;2020;199277.0;123628.0
EST;2024;203046.0;124216.0
ETH;1990;875325.0;1630810.0
ETH;1995;478712.0;727374.0
ETH;2000;311441.0;418923.0
ETH;2005;170773.0;493987.0
ETH;2010;227078.0;666181.0
ETH;2015;797374.0;896584.0
ETH;2020;875170.0;1075343.0
ETH;2024;1168455.0;1240645.0
FIN;1990;63255.0;266717.0
FIN;1995;99729.0;255507.0
FIN;2000;136203.0;247766.0
FIN;2005;192169.0;236417.0
FIN;2010;228481.0;221943.0
FIN;2015;314856.0;209216.0
FIN;2020;386052.0;195782.0
FIN;2024;514432.0;181834.0
FJI;1990;13283.0;65039.0
FJI;1995;13001.0;78323.0
FJI;2000;12719.0;95570.0
FJI;2005;12434.0;117629.0
FJI;2010;13357.0;138607.0
FJI;2015;13751.0;158026.0
FJI;2020;14087.0;169411.0
FJI;2024;14362.0;181025.0
FLK;1990;855.0;1082.0
FLK;1995;868.0;1839.0
FLK;2000;1067.0;1525.0
FLK;2005;1166.0;1100.0
FLK;2010;1436.0;414.0
FLK;2015;1571.0;193.0
FLK;2020;1957.0;106.0
FLK;2024;2333.0;93.0
FRA;1990;5890023.0;1413608.0
FRA;1995;5936326.0;1629553.0
FRA;2000;6141350.0;1721390.0
FRA;2005;6839877.0;1855042.0
FRA;2010;7322210.0;2042164.0
FRA;2015;7978076.0;2249670.0
FRA;2020;8610719.0;2400208.0
FRA;2024;9186757.0;2547158.0
FRO;1990;4285.0;7941.0
FRO;1995;2900.0;12021.0
FRO;2000;3593.0;11640.0
FRO;2005;4583.0;11018.0
FRO;2010;5096.0;12146.0
FRO;2015;5485.0;13041.0
FRO;2020;6812.0;12048.0
FRO;2024;8101.0;12282.0
FSM;1990;3685.0;4940.0
FSM;1995;3342.0;7116.0
FSM;2000;3116.0;9334.0
FSM;2005;2905.0;11237.0
FSM;2010;2806.0;12464.0
FSM;2015;2756.0;12401.0
FSM;2020;2832.0;13033.0
FSM;2024;2894.0;13568.0
GAB;1990;128188.0;14265.0
GAB;1995;171427.0;16602.0
GAB;2000;214431.0;19695.0
GAB;2005;233824.0;39376.0
GAB;2010;270829.0;36042.0
GAB;2015;378686.0;43401.0
GAB;2020;416651.0;54053.0
GAB;2024;449746.0;61160.0
GBR;1990;3664896.0;3869251.0
GBR;1995;4173053.0;3958015.0
GBR;2000;4747902.0;3965079.0
GBR;2005;5989992.0;4236414.0
GBR;2010;7713303.0;4535077.0
GBR;2015;9071431.0;4583485.0
GBR;2020;10520870.0;4710579.0
GBR;2024;11845479.0;4804944.0
GEO;1990;304470.0;1057640.0
GEO;1995;152235.0;1031233.0
GEO;2000;76117.0;979681.0
GEO;2005;71296.0;879847.0
GEO;2010;73078.0;780487.0
GEO;2015;76685.0;637894.0
GEO;2020;79368.0;545396.0
GEO;2024;81582.0;496486.0
GHA;1990;164851.0;344686.0
GHA;1995;252879.0;361700.0
GHA;2000;191601.0;445447.0
GHA;2005;309932.0;606700.0
GHA;2010;337766.0;718300.0
GHA;2015;414744.0;846131.0
GHA;2020;476412.0;963019.0
GHA;2024;532286.0;1055494.0
GIB;1990;8709.0;477.0
GIB;1995;8381.0;486.0
GIB;2000;8054.0;502.0
GIB;2005;9211.0;510.0
GIB;2010;10369.0;511.0
GIB;2015;11065.0;517.0
GIB;2020;11190.0;494.0
GIB;2024;11291.0;474.0
GIN;1990;403621.0;334951.0
GIN;1995;774505.0;339388.0
GIN;2000;560075.0;339435.0
GIN;2005;233419.0;345573.0
GIN;2010;178762.0;382773.0
GIN;2015;126657.0;416953.0
GIN;2020;121437.0;473409.0
GIN;2024;117416.0;508203.0
GLP;1990;65944.0;7510.0
GLP;1995;74566.0;8368.0
GLP;2000;83188.0;9237.0
GLP;2005;89065.0;8488.0
GLP;2010;94942.0;10282.0
GLP;2015;90956.0;11416.0
GLP;2020;90206.0;11909.0
GLP;2024;89610.0;12374.0
GMB;1990;118123.0;14218.0
GMB;1995;150890.0;16789.0
GMB;2000;182514.0;19940.0
GMB;2005;181839.0;27073.0
GMB;2010;185837.0;34151.0
GMB;2015;192540.0;38925.0
GMB;2020;215659.0;61390.0
GMB;2024;236137.0;72452.0
GNB;1990;15368.0;45577.0
GNB;1995;27961.0;57547.0
GNB;2000;20450.0;66613.0
GNB;2005;20902.0;73544.0
GNB;2010;21391.0;78973.0
GNB;2015;22333.0;86283.0
GNB;2020;17945.0;98064.0
GNB;2024;15064.0;103999.0
GNQ;1990;2740.0;27829.0
GNQ;1995;3629.0;40029.0
GNQ;2000;4517.0;57049.0
GNQ;2005;6588.0;71228.0
GNQ;2010;8658.0;83286.0
GNQ;2015;209611.0;116053.0
GNQ;2020;230618.0;127021.0
GNQ;2024;248930.0;136825.0
GRC;1990;618139.0;878261.0
GRC;1995;857850.0;854601.0
GRC;2000;1111665.0;857066.0
GRC;2005;1190707.0;768388.0
GRC;2010;1321149.0;703538.0
GRC;2015;1242924.0;759916.0
GRC;2020;1340456.0;775995.0
GRC;2024;1423964.0;780112.0
GRD;1990;4263.0;23961.0
GRD;1995;5544.0;23988.0
GRD;2000;6825.0;22073.0
GRD;2005;6902.0;23589.0
GRD;2010;6980.0;21140.0
GRD;2015;7057.0;21750.0
GRD;2020;7213.0;22210.0
GRD;2024;7340.0;26300.0
GRL;1990;9282.0;10313.0
GRL;1995;7121.0;11442.0
GRL;2000;6601.0;12905.0
GRL;2005;6556.0;13706.0
GRL;2010;6091.0;15437.0
GRL;2015;6009.0;16944.0
GRL;2020;5899.0;17726.0
GRL;2024;5812.0;18491.0
GTM;1990;264257.0;323376.0
GTM;1995;156188.0;429957.0
GTM;2000;48119.0;545695.0
GTM;2005;57214.0;737245.0
GTM;2010;66386.0;919782.0
GTM;2015;74852.0;1067787.0
GTM;2020;84311.0;1282668.0
GTM;2024;92732.0;1460232.0
GUF;1990;63612.0;3047.0
GUF;1995;70131.0;3257.0
GUF;2000;76649.0;3554.0
GUF;2005;86468.0;3694.0
GUF;2010;96288.0;3815.0
GUF;2015;106108.0;4106.0
GUF;2020;119249.0;4128.0
GUF;2024;130924.0;4490.0
GUM;1990;69755.0;1539.0
GUM;1995;71912.0;1810.0
GUM;2000;74070.0;2054.0
GUM;2005;74743.0;1751.0
GUM;2010;75416.0;1228.0
GUM;2015;76089.0;1134.0
GUM;2020;80472.0;1155.0
GUM;2024;84159.0;1179.0
GUY;1990;4095.0;217690.0
GUY;1995;6352.0;244138.0
GUY;2000;8610.0;341369.0
GUY;2005;10868.0;386766.0
GUY;2010;8182.0;404368.0
GUY;2015;8661.0;429943.0
GUY;2020;31169.0;429266.0
GUY;2024;54175.0;469649.0
HKG;1990;2218473.0;569282.0
HKG;1995;2443798.0;682700.0
HKG;2000;2669122.0;818107.0
HKG;2005;2721235.0;849440.0
HKG;2010;2779950.0;903793.0
HKG;2015;2841113.0;1031087.0
HKG;2020;2962492.0;1146271.0
HKG;2024;3063318.0;1240250.0
HND;1990;270423.0;157813.0
HND;1995;149442.0;235452.0
HND;2000;28461.0;316051.0
HND;2005;27934.0;456501.0
HND;2010;27288.0;604765.0
HND;2015;38330.0;751534.0
HND;2020;39195.0;1060598.0
HND;2024;39901.0;1397584.0
HRV;1990;475438.0;840829.0
HRV;1995;674085.0;1056934.0
HRV;2000;585298.0;1196319.0
HRV;2005;579273.0;990980.0
HRV;2010;573248.0;847561.0
HRV;2015;561093.0;802347.0
HRV;2020;528056.0;825039.0
HRV;2024;527831.0;826166.0
HTI;1990;19084.0;521381.0
HTI;1995;18129.0;686087.0
HTI;2000;17222.0;821140.0
HTI;2005;16360.0;958254.0
HTI;2010;17182.0;1157011.0
HTI;2015;18047.0;1467970.0
HTI;2020;18884.0;1764699.0
HTI;2024;19581.0;2017692.0
HUN;1990;347510.0;355019.0
HUN;1995;322234.0;363574.0
HUN;2000;296957.0;359746.0
HUN;2005;366787.0;357651.0
HUN;2010;436616.0;378410.0
HUN;2015;475508.0;469269.0
HUN;2020;584567.0;508918.0
HUN;2024;689565.0;538794.0
IDN;1990;92058.0;1309876.0
IDN;1995;114419.0;1664243.0
IDN;2000;287645.0;2128328.0
IDN;2005;87508.0;2406449.0
IDN;2010;113288.0;3031600.0
IDN;2015;192119.0;3269321.0
IDN;2020;306702.0;3446736.0
IDN;2024;445726.0;3745148.0
IMN;1990;34769.0;699.0
IMN;1995;36886.0;724.0
IMN;2000;39002.0;720.0
IMN;2005;41475.0;769.0
IMN;2010;43447.0;889.0
IMN;2015;42238.0;838.0
IMN;2020;43040.0;920.0
IMN;2024;43693.0;908.0
IND;1990;7212791.0;6575416.0
IND;1995;6836861.0;6900228.0
IND;2000;6391543.0;7778792.0
IND;2005;5954999.0;9500673.0
IND;2010;5601237.0;12350515.0
IND;2015;5252296.0;15277263.0
IND;2020;4929816.0;16532761.0
IND;2024;4796255.0;18533845.0
IRL;1990;227783.0;927001.0
IRL;1995;247379.0;905239.0
IRL;2000;376321.0;809826.0
IRL;2005;620579.0;764001.0
IRL;2010;751381.0;765462.0
IRL;2015;802470.0;762324.0
IRL;2020;951686.0;729636.0
IRL;2024;1216237.0;714405.0
IRN;1990;4291601.0;604892.0
IRN;1995;2937668.0;701961.0
IRN;2000;2476469.0;835113.0
IRN;2005;2552206.0;875530.0
IRN;2010;2722397.0;1028854.0
IRN;2015;2729939.0;1163612.0
IRN;2020;2797235.0;1442650.0
IRN;2024;3840654.0;1733468.0
IRQ;1990;83638.0;598492.0
IRQ;1995;199460.0;647345.0
IRQ;2000;210525.0;825369.0
IRQ;2005;134863.0;1202149.0
IRQ;2010;120466.0;2697913.0
IRQ;2015;359352.0;1652951.0
IRQ;2020;365766.0;2282773.0
IRQ;2024;370980.0;2313028.0
ISL;1990;9584.0;6586.0
ISL;1995;12738.0;8745.0
ISL;2000;15892.0;11709.0
ISL;2005;25492.0;13497.0
ISL;2010;35091.0;16404.0
ISL;2015;39072.0;19596.0
ISL;2020;65424.0;20887.0
