iso3;country;item;url_slug;ranking;score;critics;source
USA;Estados Unidos;Biscuit;biscuits;;;;tasteatlas_html
IND;Índia;Bisi bele bath;bisi-bele-bath;1;11;11;tasteatlas_html
PRI;Porto Rico;Bistec encebollado;bistec-encebollado;;;;tasteatlas_html
ITA;Itália;Bistecca alla Fiorentina;fiorentina;10;10;10;tasteatlas_html
GBR;Reino Unido;Bitter;bitters;;;;tasteatlas_html
TTO;Trindade e Tobago;Bitter;bitters;;;;tasteatlas_html
GBR;Reino Unido;Black pudding;black-pudding;;3;3;tasteatlas_html
FRA;França;Blanquette de veau;blanquette-de-veau;;1;1;tasteatlas_html
RUS;Rússia;Blini;bliny;;3;3;tasteatlas_html
DEU;Alemanha;Blutwurst;blutwurst;;;;tasteatlas_html
BRA;Brasil;Bobó de camarão;bobo-de-camarao;;;;tasteatlas_html
ZAF;África do Sul;Bobotie;bobotie;;4;4;tasteatlas_html
ESP;Espanha;Bocadillo de calamares;bocadillo-de-calamares;2;9;9;tasteatlas_html
ESP;Espanha;Bocadillos;bocadillos;2;9;9;tasteatlas_html
DNK;Dinamarca;Bøfsandwich;bofsandwich;;1;1;tasteatlas_html
CUB;Cuba;Boliche;boliche;;3;3;tasteatlas_html
BRA;Brasil;Bolinhos de bacalhau;bolinhos-de-bacalhau;;;;tasteatlas_html
PRT;Portugal;Bolinhos de bacalhau;bolinhos-de-bacalhau;;;;tasteatlas_html
ITA;Itália;Bollito misto;bollito-misto;2;5;5;tasteatlas_html
PRT;Portugal;Bolo do caco;bolo-do-caco;;;;tasteatlas_html
SYR;Síria;Booza;booza;;;;tasteatlas_html
ROU;Roménia;Borș;bors;;;;tasteatlas_html
UKR;Ucrânia;Borsch;borscht;;3;3;tasteatlas_html
BIH;Bósnia e Herzegovina;Bosanski lonac;bosanski-lonac;;3;3;tasteatlas_html
KOR;Coreia do Sul;Bossam;bossam;;;;tasteatlas_html
ESP;Espanha;Botifarra;botifarra;;1;1;tasteatlas_html
FRA;França;Bouchée à la reine;bouchee-a-la-reine;;2;2;tasteatlas_html
GRC;Grécia;Bougatsa;bougatsa;1;8;8;tasteatlas_html
NCL;Nova Caledónia;Bougna;bougna;;1;1;tasteatlas_html
FRA;França;Bouillabaisse;bouillabaisse;;;;tasteatlas_html
GRC;Grécia;Bourdeto;bourdeto;;3;3;tasteatlas_html
FRA;França;Bourride;bourride;;;;tasteatlas_html
IRL;República da Irlanda;Boxty;boxty;;4;4;tasteatlas_html
SGP;Singapura;Braised Duck Rice;braised-duck-rice;2;6;6;tasteatlas_html
ITA;Itália;Brandacujùn;brandacujun;;;;tasteatlas_html
ITA;Itália;Brasato al Barolo;brasato-al-barolo;;1;1;tasteatlas_html
