conflict_qid;conflict_label;participant_qid;participant_label;role_label;is_human
Q1083872;Glorioso primeiro de junho;Q142;França;;no
Q675999;Batalha das Dunas;Q766543;Monarquia Hispânica;;no
Q675999;Batalha das Dunas;Q170072;República das Sete Províncias Unidas dos Países Baixos;;no
Q699527;Afundamento da frota alemã em Scapa Flow;Q174193;Reino Unido da Grã-Bretanha e Irlanda;;no
Q699527;Afundamento da frota alemã em Scapa Flow;Q43287;Império Alemão;;no
Q755955;Batalha de Copenhaga;Q174193;Reino Unido da Grã-Bretanha e Irlanda;;no
Q755955;Batalha de Copenhaga;Q62651;Reino da Dinamarca e Noruega;;no
Q12881604;Battle of Andros;Q3045696;Argélia otomana;;no
Q12881604;Battle of Andros;Q34266;Império Russo;;no
Q12881604;Battle of Andros;Q12560;Império Otomano;;no
Q9173074;Battle of Carteia;Q5763780;Cesarianos;;no
Q9173074;Battle of Carteia;Q6082350;Pompeianos;;no
Q10671396;Battle of Orford Ness;Q179876;Reino da Inglaterra;;no
Q10671396;Battle of Orford Ness;Q34;Suécia;;no
Q11908753;Battle of Mallorca;Q1337854;emirado de Córdova;;no
Q11908753;Battle of Mallorca;Q31929;Império Carolíngio;;no
Q12606514;Battle of Eoranpo;Q17;Japão;;no
Q12606514;Battle of Eoranpo;Q28179;Dinastia Joseon;;no
Q15178081;Action of 16 October 1799;Q161885;Reino da Grã-Bretanha;;no
Q15178081;Action of 16 October 1799;Q29;Espanha;;no
Q12598161;Battle of Hekihazu;Q17;Japão;;no
Q8348305;A batalha de Cagayan 1582;Q766543;Monarquia Hispânica;;no
Q8348305;A batalha de Cagayan 1582;Q697605;Wakō;;no
Q14644681;Battle of Saint-Louis-du-Sud;Q161885;Reino da Grã-Bretanha;;no
Q14644681;Battle of Saint-Louis-du-Sud;Q142;França;;no
Q12411119;Battle of Corcyra;Q3693378;Corcyra;;no
Q12411119;Battle of Corcyra;Q844930;Atenas;;no
Q12411119;Battle of Corcyra;Q208742;Liga do Peloponeso;;no
Q11153274;Battle of Lake Baikal;Q605324;Legião Checoslovaca;;no
Q11153274;Battle of Lake Baikal;Q2184;República Socialista Federativa Soviética Russa;;no
Q11017694;Battle of Nicotera;Q130288067;Navy of the Crown of Aragon;;no
Q11017694;Battle of Nicotera;Q1365493;República de Pisa;;no
Q11017694;Battle of Nicotera;Q173065;Reino de Nápoles;;no
Q11017694;Battle of Nicotera;Q204920;Coroa de Aragão;;no
Q11908799;Battle of Sant Feliu de Guíxols;Q204920;Coroa de Aragão;;no
Q11908799;Battle of Sant Feliu de Guíxols;Q70972;Reino da França;;no
Q12615407;Battle of Jeolido;Q17;Japão;;no
Q9172347;Battle of Copenhagen (1427);Q42908;Liga Hanseática;;no
Q9172347;Battle of Copenhagen (1427);Q62623;União de Kalmar;;no
Q12411113;Battle of Salamis of Cyprus;Q245794;Cipriotas gregos;;no
Q12411113;Battle of Salamis of Cyprus;Q389688;Império Aquemênida;;no
Q12411113;Battle of Salamis of Cyprus;Q465331;jónios;;no
Q12001371;Battle of Gotska Sandön;Q34;Suécia;;no
Q12001371;Battle of Gotska Sandön;Q62651;Reino da Dinamarca e Noruega;;no
Q7639108;Sunda Strait campaign of January 1794;Q161885;Reino da Grã-Bretanha;;no
Q7639108;Sunda Strait campaign of January 1794;Q170072;República das Sete Províncias Unidas dos Países Baixos;;no
Q7639108;Sunda Strait campaign of January 1794;Q142;França;;no
Q11908797;Battle of the Bosporus;Q130288067;Navy of the Crown of Aragon;;no
Q11908797;Battle of the Bosporus;Q174306;República de Gênova;;no
Q11908797;Battle of the Bosporus;Q204920;Coroa de Aragão;;no
Q11908797;Battle of the Bosporus;Q12544;Império Bizantino;;no
Q11908797;Battle of the Bosporus;Q4948;República de Veneza;;no
Q15132008;Battle of Alyzeia;Q844930;Atenas;;no
Q15132008;Battle of Alyzeia;Q5690;Esparta;;no
Q9173779;Battle of the Firth of Forth;Q179876;Reino da Inglaterra;;no
Q9173779;Battle of the Firth of Forth;Q230791;Reino da Escócia;;no
Q15128131;Action of 11–12 December 1917;Q174193;Reino Unido da Grã-Bretanha e Irlanda;;no
Q15128131;Action of 11–12 December 1917;Q43287;Império Alemão;;no
Q11325648;Incidente da Nossa Senhora da Graça;Q205662;Xogunato Tokugawa;;no
Q11325648;Incidente da Nossa Senhora da Graça;Q45670;Reino de Portugal;;no
Q12627973;Battle of Makarska;Q6965811;Narentines;;no
Q12627973;Battle of Makarska;Q4948;República de Veneza;;no
Q7868544;USS Constitution vs HMS Guerriere;Q174193;Reino Unido da Grã-Bretanha e Irlanda;;no
Q7868544;USS Constitution vs HMS Guerriere;Q30;Estados Unidos;;no
Q9172327;Battle of Andros (1696);Q170174;Estados Papais;;no
Q9172327;Battle of Andros (1696);Q187549;Ordem de São João;;no
Q9172327;Battle of Andros (1696);Q12560;Império Otomano;;no
Q9172327;Battle of Andros (1696);Q4948;República de Veneza;;no
Q11908777;Battle of Foce Pisana;Q174306;República de Gênova;;no
Q11908777;Battle of Foce Pisana;Q204920;Coroa de Aragão;;no
Q9172348;Battle of Cumae;Q212079;Segundo triunvirato;;no
Q9172348;Battle of Cumae;Q6082350;Pompeianos;;no
Q10829826;Battle of the Gianh River;Q170072;República das Sete Províncias Unidas dos Países Baixos;;no
Q10829826;Battle of the Gianh River;Q2301908;Senhores Nguyễn;;no
Q13414922;Raid on Boulogne;Q174193;Reino Unido da Grã-Bretanha e Irlanda;;no
Q13414922;Raid on Boulogne;Q142;França;;no
Q8460479;Batalha de Lara-Quilmes;Q217230;Império do Brasil;;no
Q8460479;Batalha de Lara-Quilmes;Q738144;Províncias Unidas do Rio da Prata;;no
Q9172357;Battle of Laiazzo;Q174306;República de Gênova;;no
Q9172357;Battle of Laiazzo;Q4948;República de Veneza;;no
Q8445685;Naval Battle near Hel;Q172107;República das Duas Nações;;no
Q8445685;Naval Battle near Hel;Q756617;Reino da Dinamarca;;no
Q11688119;Batalha de Acre (1258);Q174306;República de Gênova;;no
Q11688119;Batalha de Acre (1258);Q4948;República de Veneza;;no
Q11481675;Hitachi Maru Incident;Q188712;Império do Japão;;no
Q11481675;Hitachi Maru Incident;Q34266;Império Russo;;no
