Iso3Start;Level;QID;Label;FormationYear;SourceFlag
GEO;1;Q7216494;First Kingdom of Kakheti;1020;seed_evidence
GEO;2;Q199389;Principado da Ibéria;588;seed_evidence
GEO;2;Q545205;República Socialista Federativa Soviética Transcaucasiana;1922;seed_evidence
GEO;2;Q245160;República Democrática da Geórgia;1918;seed_evidence
GEO;2;Q187461;Reino de Hereti;893;seed_evidence
KAZ;0;Q232;Cazaquistão;;seed
KAZ;1;Q15180;União Soviética;1922;seed_evidence
KAZ;1;Q168811;República Socialista Soviética Cazaque;1936;seed_evidence
KAZ;2;Q2369784;Interwar Latvia;1918;seed_evidence
KAZ;2;Q2305208;Rússia bolchevique;1917;seed_evidence
MLT;0;Q233;Malta;;seed
MLT;1;Q7603765;Estado de Malta;1964;seed_evidence
MLT;1;Q6744657;Colônia da Coroa de Malta;1813;seed_evidence
MLT;2;Q6744657;Colônia da Coroa de Malta;1813;seed_evidence
BVT;0;Q23408;Ilha Bouvet;;seed
MCO;0;Q235;Mónaco;;seed
MNE;0;Q236;Montenegro;;seed
MNE;1;Q37024;União Estatal da Sérvia e Montenegro;2003;seed_evidence
MNE;2;Q838261;República Federal da Jugoslávia;1992;seed_evidence
BMU;0;Q23635;Bermudas;;seed
VAT;0;Q237;Vaticano;;seed
VAT;1;Q170174;Estados Papais;754;successor_resolved
VAT;2;Q106396892;Lordship of Forlì;;seed_evidence
VAT;2;Q3968612;Províncias Unidas Italianas;1831;seed_evidence
VAT;2;Q2829270;Ducado de Spoleto;570;seed_evidence
VAT;2;Q848383;Ducado de Roma;590;seed_evidence
VAT;2;Q1072140;República Romana;1849;seed_evidence
VAT;2;Q2393278;República de Cospaia;1441;seed_evidence
VAT;2;Q5154037;Comuna de Roma;1143;seed_evidence
SMR;0;Q238;San Marino;;seed
CUB;0;Q241;Cuba;;seed
CUB;1;Q14905932;República de Cuba;1902;seed_evidence
CUB;1;Q2039931;Antilhas Espanholas;1607;seed_evidence
CUB;2;Q7891201;Governo Militar dos Estados Unidos em Cuba;1898;seed_evidence
BLZ;0;Q242;Belize;;seed
BLZ;1;Q1643555;Honduras Britânicas;1862;seed_evidence
BRB;0;Q244;Barbados;;seed
BRB;1;Q63973349;Colônia de Barbados;1627;seed_evidence
BRB;1;Q652560;Federação das Índias Ocidentais;1958;seed_evidence
BRB;2;Q920396;Índias Ocidentais Britânicas;1783;seed_evidence
BRB;2;Q116282722;Colony of Trinidad and Tobago;1889;seed_evidence
IDN;0;Q252;Indonésia;;seed
IDN;1;Q15788609;Q15788609;1630;seed_evidence
IDN;1;Q523435;Estados Unidos da Indonésia;1949;seed_evidence
IDN;1;Q19746028;Mempawah Kingdom;1740;seed_evidence
IDN;1;Q11950939;Tasik;1630;seed_evidence
IDN;1;Q892292;Bone Sultanate;1330;seed_evidence
IDN;1;Q3403538;Q3403538;1868;seed_evidence
IDN;1;Q2030015;Sultanate of Deli;1632;seed_evidence
IDN;1;Q2988765;Sultanate of Siak Sri Indrapura;1723;seed_evidence
IDN;1;Q188161;Índias Orientais Holandesas;1800;seed_evidence
IDN;2;Q188161;Índias Orientais Holandesas;1800;seed_evidence
IDN;2;Q3177715;Pagaruyung Kingdom;1347;seed_evidence
IDN;2;Q1061057;Sultanato de Achém;1496;seed_evidence
IDN;2;Q1660566;Sultanate of Banjar;1526;seed_evidence
IDN;2;Q5317276;Company rule in the Dutch East Indies;1610;seed_evidence
IDN;2;Q25459978;Kingdom of Bolaang Mongondow;1670;seed_evidence
IDN;2;Q1794655;Kutai;400;seed_evidence
IDN;2;Q422065;Sultanato de Sulu;1405;seed_evidence
IDN;2;Q3233989;Lanfang Republic;1777;seed_evidence
IDN;2;Q4969562;British Bencoolen;1785;seed_evidence
IDN;2;Q3503555;Palembang Sultanate;;seed_evidence
IDN;2;Q12491027;Bali Kingdom;914;seed_evidence
IDN;2;Q3503548;Sultanate of Bulungan;1731;seed_evidence
IDN;2;Q4118614;Sultanate of Tidore;1450;seed_evidence
IDN;2;Q3177715;Pagaruyung Kingdom;1347;seed_evidence
IDN;2;Q20427320;Soppeng Sultanate;1300;seed_evidence
AIA;0;Q25228;Anguila;;seed
GGY;0;Q25230;Guernsey;;seed
CUW;0;Q25279;Curaçau;;seed
CUW;1;Q25227;Antilhas Neerlandesas;1954;seed_evidence
CUW;2;Q1953333;Curaçau e Dependências;1815;seed_evidence
VGB;0;Q25305;Ilhas Virgens Britânicas;;seed
VGB;1;Q1796551;Ilhas de Sotavento Britânicas;1671;successor_resolved
VGB;2;Q1637975;São Cristóvão-Neves-Anguila;1958;seed_evidence
VGB;2;Q61996551;Antigua-Barbuda-Montserrat;1816;seed_evidence
ZAF;0;Q258;África do Sul;;seed
ZAF;1;Q3456382;Republic of South Africa (1961—1994);1961;seed_evidence
ZAF;2;Q193619;União Sul-Africana;1910;seed_evidence
DZA;0;Q262;Argélia;;seed
MAF;0;Q26273;São Martinho;;seed
MAF;2;Q1953333;Curaçau e Dependências;1815;seed_evidence
SXM;0;Q26273;São Martinho;;seed
SXM;1;Q25227;Antilhas Neerlandesas;1954;seed_evidence
SXM;2;Q1953333;Curaçau e Dependências;1815;seed_evidence
UZB;0;Q265;Uzbequistão;;seed
UZB;1;Q15180;União Soviética;1922;seed_evidence
UZB;1;Q484578;República Socialista Soviética Uzbeque;1924;seed_evidence
UZB;2;Q2369784;Interwar Latvia;1918;seed_evidence
UZB;2;Q2305208;Rússia bolchevique;1917;seed_evidence
UZB;2;Q61291;República Soviética Popular de Corásmia;1920;seed_evidence
UZB;2;Q75903;República Soviética Socialista Autônoma do Turquestão;1918;seed_evidence
UZB;2;Q68682;Bukharan People's Soviet Republic;1920;seed_evidence
COK;0;Q26988;Ilhas Cook;;seed
IRL;0;Q27;República da Irlanda;;seed
IRL;1;Q31747;Estado Livre Irlandês;1922;seed_evidence
IRL;1;Q174193;Reino Unido da Grã-Bretanha e Irlanda;1801;seed_evidence
IRL;2;Q174193;Reino Unido da Grã-Bretanha e Irlanda;1801;seed_evidence
IRL;2;Q1140152;República da Irlanda;1919;seed_evidence
IRL;2;Q215530;Reino da Irlanda;1542;seed_evidence
BES;0;Q27561;Países Baixos Caribenhos;;seed
BES;1;Q25227;Antilhas Neerlandesas;1954;seed_evidence
BES;2;Q1953333;Curaçau e Dependências;1815;seed_evidence
HUN;0;Q28;Hungria;;seed
HUN;1;Q16410;República Popular da Hungria;1949;seed_evidence
