cls_qid;cls_label;item_qid;item_label;iso3
Q3624078;sovereign state;Q10874967;People's Republic of Zhongtai;
Q3624078;sovereign state;Q1286693;Principality of Seborga (historical);
Q3624078;sovereign state;Q97162345;Republic of Frigolandia;
Q3624078;sovereign state;Q97367963;Organisation de la microfrancophonie;
Q3624078;sovereign state;Q16;Canadá;CAN
Q3624078;sovereign state;Q20;Noruega;NOR
Q3624078;sovereign state;Q24392646;Q24392646;
Q3624078;sovereign state;Q38;Itália;ITA
Q3624078;sovereign state;Q11414332;Kirikiri koku;
Q3624078;sovereign state;Q12339338;Thylejren;
Q3624078;sovereign state;Q12814309;Principality of Filettino;
Q3624078;sovereign state;Q302132;Império colonial dinamarquês;
Q3624078;sovereign state;Q303598;Política colonial da Áustria;
Q3624078;sovereign state;Q14934927;Murrawarri Republic;
Q3624078;sovereign state;Q31;Bélgica;BEL
Q3624078;sovereign state;Q15926588;Glacier Republic;
Q3624078;sovereign state;Q16469345;Republic of Perloja;
Q3624078;sovereign state;Q16892486;Hotel Arbez;
Q3624078;sovereign state;Q17361829;Kingdom of North Sudan;
Q3624078;sovereign state;Q18216925;Free Borough of Llanrwst;
Q3624078;sovereign state;Q19356759;Sacro Império de Reunião;
Q3624078;sovereign state;Q19801186;Liberland;
Q3624078;sovereign state;Q19831104;Kingdom of Humanity;
Q3624078;sovereign state;Q19928833;Reino de Enclava;
Q3624078;sovereign state;Q20220084;Principality of Ongal;
Q3624078;sovereign state;Q33;Finlândia;FIN
Q3624078;sovereign state;Q21501440;Lostisland;
Q3624078;sovereign state;Q32;Luxemburgo;LUX
Q3624078;sovereign state;Q22080073;Sovereign Yidindji Government;
Q3624078;sovereign state;Q23135734;Zaquistão;
Q3624078;sovereign state;Q815524;Império belga;
Q3624078;sovereign state;Q56296293;Avalon;
Q3624078;sovereign state;Q7603783;State of Muskogee;
Q3624078;sovereign state;Q27304761;Asgardia;
Q3624078;sovereign state;Q135670637;The Free Republic of Alcatraz;
Q3624078;sovereign state;Q135670694;The Princedom of Aysellant;
Q3624078;sovereign state;Q135670789;Republic of Corterra;
Q3624078;sovereign state;Q27;República da Irlanda;IRL
Q3624078;sovereign state;Q54936352;Freeland;
Q3624078;sovereign state;Q36;Polónia;POL
Q3624078;sovereign state;Q42786808;Empire of Basse Chesnaie;
Q3624078;sovereign state;Q56320530;Republic for the United States of America;
Q3624078;sovereign state;Q56407391;Liberstad;
Q3624078;sovereign state;Q59851912;Belmont Island (SMEAC);
Q3624078;sovereign state;Q104879858;Principality of Aigues-Mortes;
Q3624078;sovereign state;Q106423732;República Independiente de Hualqui;
Q3624078;sovereign state;Q106808933;Maritime Republic of Eastport;
Q3624078;sovereign state;Q107551929;Margraviate of Lašská;
Q3624078;sovereign state;Q28;Hungria;HUN
Q3624078;sovereign state;Q34;Suécia;SWE
Q3624078;sovereign state;Q109597978;Republic of Airrecú;
Q3624078;sovereign state;Q72980851;Aarianian Union;
Q3624078;sovereign state;Q73330139;Verdis;
Q3624078;sovereign state;Q73567162;Free Nation of Abaco;
Q3624078;sovereign state;Q73694715;Principality of Zugesbucht;
Q3624078;sovereign state;Q111187003;Principality of Islandia;
Q3624078;sovereign state;Q30;Estados Unidos;USA
