cls_qid;cls_label;item_qid;item_label;iso3
Q3624078;sovereign state;Q8680;Império Britânico;
Q3624078;sovereign state;Q126118055;Q126118055;
Q3624078;sovereign state;Q113497453;Republic of Rino Island;
Q3624078;sovereign state;Q37;Lituânia;LTU
Q3624078;sovereign state;Q127371088;Ironland;
Q3624078;sovereign state;Q77707697;Kailaasa;
Q3624078;sovereign state;Q115657700;Kingdom of the Golliez;
Q3624078;sovereign state;Q117407216;Titular Sovereign People of Ukraine;
Q3624078;sovereign state;Q119661998;Slowjamastan;
Q3624078;sovereign state;Q17;Japão;JPN
Q3624078;sovereign state;Q121268025;Adnoseign;
Q3624078;sovereign state;Q83521688;Sunda Empire;
Q3624078;sovereign state;Q124254507;Tłı̨chǫ Nation;
Q3624078;sovereign state;Q1092654;T'satsąot'ınę;
Q3624078;sovereign state;Q131301218;Délı̨nę First Nation;
Q3624078;sovereign state;Q10290777;Governo Tłı̨chǫ;
Q3624078;sovereign state;Q1726214;Kwanlin Dün First Nation;
Q3624078;sovereign state;Q2268399;Selkirk First Nation;
Q3624078;sovereign state;Q259919;Ucluelet First Nation;
Q3624078;sovereign state;Q2386166;Ta'an Kwach'an Council;
Q3624078;sovereign state;Q2443620;Toquaht First Nation;
Q3624078;sovereign state;Q2472926;Uchucklesaht First Nation;
Q3624078;sovereign state;Q595958;Tsawwassen First Nation;
Q3624078;sovereign state;Q751053;Kyuquot/Cheklesahht First Nation;
Q3624078;sovereign state;Q778269;Little Salmon/Carmacks First Nation;
Q3624078;sovereign state;Q6421437;Kluane First Nation;
Q3624078;sovereign state;Q100748892;Nisga'a Nation;
Q3624078;sovereign state;Q1410;Gibraltar;GIB
Q3624078;sovereign state;Q112072559;Beaverhouse First Nation;
Q6256;country;Q786;República Dominicana;DOM
Q6256;country;Q970;Comores;COM
Q6256;country;Q810;Jordânia;JOR
Q6256;country;Q928;Filipinas;PHL
Q6256;country;Q948;Tunísia;TUN
Q6256;country;Q865;Taiwan;TWN
Q6256;country;Q794;Irão;IRN
Q6256;country;Q837;Nepal;NPL
Q6256;country;Q874;Turquemenistão;TKM
Q6256;country;Q778;Bahamas;BHS
Q6256;country;Q750;Bolívia;BOL
Q6256;country;Q916;Angola;AGO
Q6256;country;Q958;Sudão do Sul;SSD
Q6256;country;Q954;Zimbábue;ZWE
Q6256;country;Q1000;Gabão;GAB
Q6256;country;Q804;Panamá;PAN
Q6256;country;Q965;Burquina Fasso;BFA
Q6256;country;Q783;Honduras;HND
Q6256;country;Q805;Iémen;YEM
Q6256;country;Q784;Dominica;DMA
Q6256;country;Q963;Botsuana;BWA
Q6256;country;Q1005;Gâmbia;GMB
Q6256;country;Q1007;Guiné-Bissau;GNB
Q6256;country;Q1008;Costa do Marfim;CIV
Q6256;country;Q953;Zâmbia;ZMB
Q6256;country;Q1011;Cabo Verde;CPV
Q6256;country;Q1009;Camarões;CMR
Q6256;country;Q967;Burundi;BDI
Q6256;country;Q769;Granada;GRD
Q6256;country;Q1013;Lesoto;LSO
Q6256;country;Q1014;Libéria;LBR
Q6256;country;Q912;Mali;MLI
Q6256;country;Q1016;Líbia;LBY
Q6256;country;Q1019;Madagáscar;MDG
Q6256;country;Q26273;São Martinho;SXM
Q6256;country;Q811;Nicarágua;NIC
Q6256;country;Q1020;Malawi;MWI
Q6256;country;Q796;Iraque;IRQ
Q6256;country;Q813;Quirguistão;KGZ
Q6256;country;Q971;República do Congo;COG
Q6256;country;Q974;República Democrática do Congo;COD
Q6256;country;Q1028;Marrocos;MAR
Q6256;country;Q945;Togo;TGO
Q6256;country;Q1030;Namíbia;NAM
Q6256;country;Q1025;Mauritânia;MRT
Q6256;country;Q1027;Maurícia;MUS
Q6256;country;Q1029;Moçambique;MOZ
Q6256;country;Q1037;Ruanda;RWA
Q6256;country;Q1033;Nigéria;NGA
Q6256;country;Q1032;Níger;NER
Q6256;country;Q760;Santa Lúcia;LCA
Q6256;country;Q1036;Uganda;UGA
Q6256;country;Q1041;Senegal;SEN
Q6256;country;Q1039;São Tomé e Príncipe;STP
Q6256;country;Q1042;Seychelles;SYC
Q6256;country;Q800;Costa Rica;CRI
Q6256;country;Q878;Emirados Árabes Unidos;ARE
Q6256;country;Q986;Eritreia;ERI
Q6256;country;Q790;Haiti;HTI
Q6256;country;Q822;Líbano;LBN
Q6256;country;Q1044;Serra Leoa;SLE
Q6256;country;Q983;Guiné Equatorial;GNQ
Q6256;country;Q1045;Somália;SOM
Q6256;country;Q881;Vietname;VNM
Q6256;country;Q977;Djibouti;DJI
Q6256;country;Q1049;Sudão;SDN
Q6256;country;Q884;Coreia do Sul;KOR
Q6256;country;Q858;Síria;SYR
Q6256;country;Q1050;Essuatíni;SWZ
Q6256;country;Q889;Afeganistão;AFG
Q6256;country;Q1246;Kosovo;
Q6256;country;Q21203;Aruba;ABW
Q6256;country;Q902;Bangladesh;BGD
Q6256;country;Q774;Guatemala;GTM
Q6256;country;Q836;Myanmar;MMR
Q6256;country;Q754;Trindade e Tobago;TTO
Q6256;country;Q842;Omã;OMN
Q6256;country;Q763;São Cristóvão e Neves;KNA
Q6256;country;Q757;São Vicente e Granadinas;VCT
Q6256;country;Q826;Maldivas;MDV
Q6256;country;Q962;Benim;BEN
Q6256;country;Q819;Laos;LAO
Q6256;country;Q851;Arábia Saudita;SAU
Q6256;country;Q26988;Ilhas Cook;COK
Q6256;country;Q843;Paquistão;PAK
Q6256;country;Q833;Malásia;MYS
Q6256;country;Q792;El Salvador;SLV
Q6256;country;Q921;Brunei;BRN
Q6256;country;Q801;Israel;ISR
Q6256;country;Q917;Butão;BTN
Q6256;country;Q929;República Centro-Africana;CAF
Q6256;country;Q854;Sri Lanka;LKA
Q6256;country;Q781;Antígua e Barbuda;ATG
Q6256;country;Q869;Tailândia;THA
Q6256;country;Q863;Tajiquistão;TJK
Q6256;country;Q924;Tanzânia;TZA
Q6256;country;Q846;Catar;QAT
Q6256;country;Q766;Jamaica;JAM
Q6256;country;Q1006;Guiné;GIN
Q6256;country;Q817;Kuwait;KWT
Q6256;country;Q39;Suíça;CHE
Q6256;country;Q232;Cazaquistão;KAZ
Q6256;country;Q96;México;MEX
Q6256;country;Q664;Nova Zelândia;NZL
Q6256;country;Q40;Áustria;AUT
Q6256;country;Q347;Liechtenstein;LIE
Q6256;country;Q419;Peru;PER
Q6256;country;Q148;China;CHN
Q6256;country;Q423;Coreia do Norte;PRK
Q6256;country;Q16;Canadá;CAN
Q6256;country;Q142;França;FRA
Q6256;country;Q235;Mónaco;MCO
Q6256;country;Q29;Espanha;ESP
Q6256;country;Q183;Alemanha;DEU
Q6256;country;Q20;Noruega;NOR
Q6256;country;Q672;Tuvalu;TUV
Q6256;country;Q739;Colômbia;COL
Q6256;country;Q685;Ilhas Salomão;SLB
Q6256;country;Q184;Bielorrússia;BLR
Q6256;country;Q242;Belize;BLZ
Q6256;country;Q38;Itália;ITA
Q6256;country;Q230;Geórgia;GEO
Q6256;country;Q237;Vaticano;VAT
Q6256;country;Q244;Barbados;BRB
Q6256;country;Q424;Camboja;KHM
Q6256;country;Q222;Albânia;ALB
Q6256;country;Q236;Montenegro;MNE
Q6256;country;Q45;Portugal;PRT
Q6256;country;Q414;Argentina;ARG
Q6256;country;Q189;Islândia;ISL
Q6256;country;Q145;Reino Unido;GBR
Q6256;country;Q241;Cuba;CUB
Q6256;country;Q733;Paraguai;PRY
Q6256;country;Q31;Bélgica;BEL
Q6256;country;Q691;Papua-Nova Guiné;PNG
Q6256;country;Q191;Estónia;EST
Q6256;country;Q574;Timor-Leste;TLS
Q6256;country;Q229;Chipre;CYP
Q6256;country;Q79;Egito;EGY
Q6256;country;Q709;Ilhas Marshall;MHL
Q6256;country;Q736;Equador;ECU
Q6256;country;Q33;Finlândia;FIN
Q6256;country;Q697;Nauru;NRU
Q6256;country;Q32;Luxemburgo;LUX
Q6256;country;Q252;Indonésia;IDN
Q6256;country;Q702;Micronésia;FSM
Q6256;country;Q334;Singapura;SGP
Q6256;country;Q710;Kiribati;KIR
