iso3_colonizer;colony_iso3;colony_qid;start_year;end_year;source
PRK;KOR;Q884;1392;1897;A
PRT;GNB;Q1007;1474;1974;A
PRT;CPV;Q1011;1462;1975;A
PRT;MAR;Q1028;1924;1956;B
PRT;MOZ;Q1029;1498;1975;A
PRT;STP;Q1039;1470;1975;A
PRT;CHN;Q148;1557;1999;A
PRT;BRA;Q155;1500;1815;A
PRT;PRT;Q45;1139;1999;A
PRT;TLS;Q574;1702;2002;A
PRT;IND;Q668;1505;1961;A
PRT;URY;Q77;1815;1828;B
PRT;AGO;Q916;1655;1975;A
ROU;ROU;Q218;1859;1989;B
RUS;CHN;Q148;1929;1991;A
RUS;RUS;Q159;;1991;A
RUS;BLR;Q184;;1991;A
RUS;EST;Q191;1721;1991;B
RUS;LVA;Q211;1772;1991;B
RUS;UKR;Q212;;1991;A
RUS;MDA;Q217;1917;1991;A
RUS;ROU;Q218;1919;1991;A
RUS;AZE;Q227;1917;1991;A
RUS;GEO;Q230;1917;1991;A
RUS;KAZ;Q232;1917;1991;A
RUS;UZB;Q265;1917;1991;A
RUS;FIN;Q33;1809;1917;A
RUS;POL;Q36;;1991;A
RUS;LTU;Q37;1917;1991;A
RUS;ARM;Q399;1917;1991;A
RUS;KGZ;Q813;1917;1991;A
RUS;;Q863;1917;1991;A
RUS;TKM;Q874;1917;1991;A
RUS;;Q907112;1940;1991;A
SEN;GIN;Q1006;1878;1898;A
SEN;CIV;Q1008;1878;1898;A
SEN;SEN;Q1041;1000;1890;A
SEN;SLE;Q1044;1878;1898;A
SEN;MLI;Q912;1878;1898;A
SRB;MNE;Q236;1992;2006;B
SRB;SRB;Q403;1990;2006;B
STP;STP;Q1039;1470;1975;A
SVK;CZE;Q213;1918;1992;A
SVK;SVK;Q214;;1992;A
SVN;;Q1246;;1992;A
SVN;SVN;Q215;;1992;B
SVN;MKD;Q221;;1992;B
SVN;HRV;Q224;;1992;B
SVN;BIH;Q225;;1992;A
SVN;MNE;Q236;;1992;A
SVN;SRB;Q403;;2006;B
SWE;MAR;Q1028;1924;1956;B
SYC;SYC;Q1042;1977;2004;A
SYR;SYR;Q858;1963;2024;B
THA;KHM;Q424;1794;1907;A
TKM;CHN;Q148;1929;1991;A
TKM;RUS;Q159;;1991;A
TKM;BLR;Q184;;1991;A
TKM;EST;Q191;1772;1991;B
TKM;LVA;Q211;1772;1991;B
TKM;UKR;Q212;;1991;A
TKM;MDA;Q217;1917;1991;A
TKM;ROU;Q218;1919;1991;A
TKM;AZE;Q227;1917;1991;A
TKM;GEO;Q230;1917;1991;A
TKM;KAZ;Q232;1917;1991;A
TKM;UZB;Q265;1917;1991;A
TKM;FIN;Q33;1809;1917;A
TKM;POL;Q36;;1991;A
TKM;LTU;Q37;1917;1991;A
TKM;ARM;Q399;1917;1991;A
TKM;KGZ;Q813;1917;1991;A
TKM;;Q863;1917;1991;A
TKM;TKM;Q874;1917;1991;A
TKM;;Q907112;1940;1991;A
TLS;TLS;Q574;1702;2002;A
TUR;LBY;Q1016;0145;0672;A
TUR;;Q127861;1517;1872;B
TUR;;Q153136;1541;1692;B
TUR;GRC;Q41;1304;1912;A
TUR;TUR;Q43;1304;1923;A
TWN;CHN;Q148;1912;1971;A
TWN;;Q319881;1683;1895;B
TWN;MNG;Q711;1912;1971;A
TWN;TWN;Q865;1895;1971;A
UKR;CHN;Q148;1929;1991;A
UKR;RUS;Q159;;1991;A
UKR;BLR;Q184;;1991;A
UKR;EST;Q191;1772;1991;B
UKR;LVA;Q211;1772;1991;B
UKR;UKR;Q212;;1991;A
UKR;MDA;Q217;1917;1991;A
UKR;ROU;Q218;1919;1991;A
UKR;AZE;Q227;1917;1991;A
UKR;GEO;Q230;1917;1991;A
UKR;KAZ;Q232;1917;1991;A
UKR;UZB;Q265;1917;1991;A
UKR;FIN;Q33;1809;1917;A
UKR;POL;Q36;;1991;A
UKR;LTU;Q37;1917;1991;A
UKR;ARM;Q399;1917;1991;A
UKR;;Q581325;1881;1918;B
UKR;KGZ;Q813;1917;1991;A
UKR;;Q863;1917;1991;A
UKR;TKM;Q874;1917;1991;A
UKR;;Q907112;1940;1991;A
URY;URY;Q77;1815;1828;B
USA;MAR;Q1028;1924;1956;B
USA;USA;Q30;1861;2020;B
UZB;CHN;Q148;1929;1991;A
UZB;RUS;Q159;;1991;A
UZB;BLR;Q184;;1991;A
UZB;EST;Q191;1772;1991;B
UZB;LVA;Q211;1772;1991;B
UZB;UKR;Q212;;1991;A
UZB;MDA;Q217;1917;1991;A
UZB;ROU;Q218;1919;1991;A
UZB;AZE;Q227;1917;1991;A
UZB;GEO;Q230;1917;1991;A
UZB;KAZ;Q232;1917;1991;A
UZB;UZB;Q265;1917;1991;A
UZB;FIN;Q33;1809;1917;A
UZB;POL;Q36;;1991;A
UZB;LTU;Q37;1917;1991;A
UZB;ARM;Q399;1917;1991;A
UZB;KGZ;Q813;1917;1991;A
UZB;;Q863;1917;1991;A
UZB;TKM;Q874;1917;1991;A
UZB;;Q907112;1940;1991;A
VAT;VAT;Q237;0754;1870;B
VEN;VEN;Q717;1819;1999;B
VEN;GUY;Q734;1842;;A
VEN;ECU;Q736;1819;1831;B
VNM;CHN;Q148;1009;1802;A
VNM;LAO;Q819;1778;1802;A
VNM;VNM;Q881;1009;1976;A
VUT;VUT;Q686;1907;1980;B
YEM;YEM;Q805;1967;1994;A
ZAF;ZAF;Q258;;;A
