iso3;qid_country;lang_qid;lang_label;scope;region_label;start_year;end_year;country_label_pt;country_label_en;lang_label_pt;lang_label_en
GRL;Q223;Q25355;gronelandês;national;;;;Gronelândia;Greenland;gronelandês;Greenlandic
GTM;Q774;Q1321;espanhol;national;;;;Guatemala;Guatemala;espanhol;Spanish
GUF;Q3769;Q150;francês;national;;;;Guiana Francesa;French Guiana;francês;French
GUF;Q3769;Q1363072;Crioulo da Guiana Francesa;national;;;;Guiana Francesa;French Guiana;Crioulo da Guiana Francesa;Guianan Creole
GUM;Q16635;Q1860;inglês;national;;;;Guam;Guam;inglês;English
GUM;Q16635;Q33262;Língua chamorro;national;;;;Guam;Guam;Língua chamorro;Chamorro
GUY;Q734;Q1860;inglês;national;;;;Guiana;Guyana;inglês;English
HKG;Q8646;Q727694;mandarim padrão;national;;;;Hong Kong;Hong Kong;mandarim padrão;Standard Chinese
HKG;Q8646;Q1860;inglês;national;;;;Hong Kong;Hong Kong;inglês;English
HKG;Q8646;Q3110592;chinês escrito;national;;;;Hong Kong;Hong Kong;chinês escrito;written Chinese language
HKG;Q8646;Q7850;língua chinesa;national;;;;Hong Kong;Hong Kong;língua chinesa;Chinese
HKG;Q8646;Q9186;Cantonês;regional;língua falada;;;Hong Kong;Hong Kong;Cantonês;Cantonese
HMD;Q131198;Q1860;inglês;national;;;;Ilha Heard e Ilhas McDonald;Heard Island and McDonald Islands;inglês;English
HND;Q783;Q1321;espanhol;national;;;;Honduras;Honduras;espanhol;Spanish
HRV;Q224;Q6654;croata;national;;;;Croácia;Croatia;croata;Croatian
HTI;Q790;Q33491;crioulo haitiano;national;;;;Haiti;Haiti;crioulo haitiano;Haitian Creole
HTI;Q790;Q150;francês;national;;;;Haiti;Haiti;francês;French
HUN;Q28;Q9067;húngaro;national;;1844;;Hungria;Hungary;húngaro;Hungarian
IDN;Q252;Q9240;língua indonésia;national;;;;Indonésia;Indonesia;língua indonésia;Indonesian
IMN;Q9676;Q12175;Língua manesa;national;;;;Ilha de Man;Isle of Man;Língua manesa;Manx
IMN;Q9676;Q1860;inglês;national;;;;Ilha de Man;Isle of Man;inglês;English
IND;Q668;Q1568;língua hindi;national;;;;Índia;India;língua hindi;Hindi
IND;Q668;Q1860;inglês;national;;;;Índia;India;inglês;English
IOT;Q43448;Q1860;inglês;national;;;;Território Britânico do Oceano Índico;British Indian Ocean Territory;inglês;English
IRL;Q27;Q9142;irlandês;national;;;;República da Irlanda;Ireland;irlandês;Irish
IRL;Q27;Q1860;inglês;national;;;;República da Irlanda;Ireland;inglês;English
IRN;Q794;Q9168;persa;national;;;;Irão;Iran;persa;Persian
IRQ;Q796;Q36368;língua curda;national;;;;Iraque;Iraq;língua curda;Kurdish
IRQ;Q796;Q13955;árabe;national;;;;Iraque;Iraq;árabe;Arabic
ISL;Q189;Q294;islandês;national;;;;Islândia;Iceland;islandês;Icelandic
ISR;Q801;Q9288;hebraico;national;;1948;;Israel;Israel;hebraico;Hebrew
ISR;Q801;Q13955;árabe;national;;1948;2018;Israel;Israel;árabe;Arabic
ITA;Q38;Q652;italiano;national;;;;Itália;Italy;italiano;Italian
