conflict_qid;conflict_label;participant_qid;participant_label;point_in_time;type_qid;window
Q49104;guerra do Líbano de 2006;Q58967;Forças de Defesa de Israel;2006-01-01T00:00:00Z;Q198;all
Q47985;Guerra rus'-bizantina de 1043;Q12544;Império Bizantino;1043-01-01T00:00:00Z;Q198;all
Q620735;Guerra Russo-Georgiana;Q31354462;Abecásia;2008-08-08T00:00:00Z;Q198;all
Q611071;Conflito entre Chade e Líbia;Q1075228;Frente de Libertação Nacional do Chade;1987-09-11T00:00:00Z;Q198;all
Q68969;Guerra de Independência da Croácia;Q224;Croácia;1995-11-12T00:00:00Z;Q198;all
Q49092;Guerra árabe-israelense de 1948;Q7172;Liga Árabe;1940-01-01T00:00:00Z;Q198;all
Q252298;Guerra húngaro-romena de 1919;Q516160;República Democrática da Hungria;1919-08-03T00:00:00Z;Q198;all
Q583223;Polish–Teutonic War of 1327–1332;Q48189;Ordem Teutónica;1326-01-01T00:00:00Z;Q198;all
Q49097;Guerra da Palestina de 1948;Q822;Líbano;1940-01-01T00:00:00Z;Q198;all
Q246863;Guerra da Livónia;Q49683;Grão-Ducado da Lituânia;1558-02-01T00:00:00Z;Q198;all
Q74109;Segunda Guerra Mundial na Albânia;Q1448131;Protetorado da Albânia;1942-01-01T00:00:00Z;Q198;all
Q601811;Guerra da Confederação;Q832554;Confederação Argentina;1836-01-01T00:00:00Z;Q198;all
Q617782;Quarta Guerra Anglo-Mysore;Q150058;Travancore;1799-05-04T00:00:00Z;Q198;all
Q583223;Polish–Teutonic War of 1327–1332;Q9391434;United Kingdom of Poland;1326-01-01T00:00:00Z;Q198;all
Q717373;Invasão japonesa de Taiwan;Q188712;Império do Japão;1895-01-01T00:00:00Z;Q198;all
Q6683;Guerra Mexicano-Americana;Q7443295;Segunda República Federal do México;1840-01-01T00:00:00Z;Q198;all
Q74109;Segunda Guerra Mundial na Albânia;Q822509;Legaliteti;1942-01-01T00:00:00Z;Q198;all
Q558423;Polish–Teutonic War of 1519–21;Q48189;Ordem Teutónica;1519-01-01T00:00:00Z;Q198;all
Q717373;Invasão japonesa de Taiwan;Q319881;República de Formosa;1895-01-01T00:00:00Z;Q198;all
Q252298;Guerra húngaro-romena de 1919;Q2078820;República Soviética de Odessa;1919-08-03T00:00:00Z;Q198;all
Q246863;Guerra da Livónia;Q186096;Czarado da Rússia;1558-02-01T00:00:00Z;Q198;all
Q620735;Guerra Russo-Georgiana;Q159;Rússia;2008-08-08T00:00:00Z;Q198;all
Q583223;Polish–Teutonic War of 1327–1332;Q49683;Grão-Ducado da Lituânia;1326-01-01T00:00:00Z;Q198;all
Q12583;Guerra Hispano-Americana;Q1044536;Restauração bourbônica na Espanha;1898-01-01T00:00:00Z;Q198;all
Q233559;Segunda Guerra dos Cem Anos;Q142;França;1689-01-01T00:00:00Z;Q198;all
Q12583;Guerra Hispano-Americana;Q14905932;República de Cuba;1898-01-01T00:00:00Z;Q198;all
Q68969;Guerra de Independência da Croácia;Q83286;República Socialista Federativa da Jugoslávia;1995-11-12T00:00:00Z;Q198;all
Q68969;Guerra de Independência da Croácia;Q16761250;Republika Srpska;1995-11-12T00:00:00Z;Q198;all
Q49097;Guerra da Palestina de 1948;Q385509;Palmach;1940-01-01T00:00:00Z;Q198;all
Q601811;Guerra da Confederação;Q899706;Confederação Peru-Boliviana;1836-01-01T00:00:00Z;Q198;all
Q58947;Guerra do Paraguai;Q733;Paraguai;1864-10-12T00:00:00Z;Q198;all
Q195378;Guerra Anglo-nepalesa;Q3960459;Reino de Siquim;1814-11-01T00:00:00Z;Q198;all
Q617782;Quarta Guerra Anglo-Mysore;Q1240096;Estado de Hiderabade;1799-05-04T00:00:00Z;Q198;all
Q1354920;Conflito fronteiriço entre Djibouti e Eritreia;Q986;Eritreia;2008-01-01T00:00:00Z;Q198;all
Q879980;Guerra de Black Hawk;Q30;Estados Unidos;1832-08-27T00:00:00Z;Q198;all
Q168442;Guerra Anglo-Espanhola de 1625–1630;Q2753558;Horace Vere;1625-01-01T00:00:00Z;Q198;all
Q318250;Guerra de Ogaden;Q1045;Somália;1977-07-12T00:00:00Z;Q198;all
Q166001;Guerra da Escânia;Q215443;Império Sueco;1700-01-01T00:00:00Z;Q198;all
Q654006;Segunda Guerra do Norte;Q62651;Reino da Dinamarca e Noruega;1655-01-01T00:00:00Z;Q198;all
Q1354920;Conflito fronteiriço entre Djibouti e Eritreia;Q977;Djibouti;2008-01-01T00:00:00Z;Q198;all
Q190758;Conflito de Darfur;Q1049;Sudão;2003-02-26T00:00:00Z;Q198;all
Q168556;Guerra de Esmalcalda;Q12548;Sacro Império Romano-Germânico;1546-07-20T00:00:00Z;Q198;all
Q638587;Guerra Russo-Turca;Q12560;Império Otomano;1739-10-03T00:00:00Z;Q198;all
Q1352215;Guerra Polaco-Russa de 1792;Q34266;Império Russo;1792-01-01T00:00:00Z;Q198;all
Q190758;Conflito de Darfur;Q384535;Missão das Nações Unidas e da União Africana em Darfur;2003-02-26T00:00:00Z;Q198;all
Q168442;Guerra Anglo-Espanhola de 1625–1630;Q81506;Carlos I de Inglaterra;1625-01-01T00:00:00Z;Q198;all
Q1209946;Terceira Guerra Anglo-Birmanesa;Q1062422;Dinastia Konbaung;1885-01-01T00:00:00Z;Q198;all
Q654006;Segunda Guerra do Norte;Q186096;Czarado da Rússia;1655-01-01T00:00:00Z;Q198;all
Q418151;Segunda Guerra do Ópio;Q71092;Segundo Império Francês;1856-10-08T00:00:00Z;Q198;all
Q168442;Guerra Anglo-Espanhola de 1625–1630;Q441405;Peter Ernst, conde de Mansfeld;1625-01-01T00:00:00Z;Q198;all
Q190758;Conflito de Darfur;Q178328;Janjawid;2003-02-26T00:00:00Z;Q198;all
Q166001;Guerra da Escânia;Q170072;República das Sete Províncias Unidas dos Países Baixos;1700-01-01T00:00:00Z;Q198;all
Q166001;Guerra da Escânia;Q12548;Sacro Império Romano-Germânico;1700-01-01T00:00:00Z;Q198;all
Q686731;Fraser Canyon War;Q918861;Colônia de Columbia Britânica;1858-01-01T00:00:00Z;Q198;all
Q129864;Revolta dos Sipais;Q18129046;Oudh State;1857-01-01T00:00:00Z;Q198;all
Q652284;Guerra de fronteira etíope-somali de 1982;Q339636;Frente Democrática da Salvação Somali;1982-01-01T00:00:00Z;Q198;all
Q190758;Conflito de Darfur;Q3374306;Frente Revolucionária do Sudão;2003-02-26T00:00:00Z;Q198;all
Q168442;Guerra Anglo-Espanhola de 1625–1630;Q691402;Filipe IV de Espanha;1625-01-01T00:00:00Z;Q198;all
Q418151;Segunda Guerra do Ópio;Q30;Estados Unidos;1856-10-08T00:00:00Z;Q198;all
Q1495944;Guerra polaco-lituana;Q37;Lituânia;1920-11-29T00:00:00Z;Q198;all
Q318250;Guerra de Ogaden;Q115;Etiópia;1977-07-12T00:00:00Z;Q198;all
Q652285;Guerra Indo-Paquistanesa de 1947;Q1775277;Domínio da Índia;1947-01-01T00:00:00Z;Q198;all
Q431806;Guerra de Arauco;Q178484;Mapuches;1546-01-01T00:00:00Z;Q198;all
