conflict,conflictLabel,participant,participantLabel
http://www.wikidata.org/entity/Q1196554,Battle of Minorca,http://www.wikidata.org/entity/Q161885,Reino da Grã-Bretanha
http://www.wikidata.org/entity/Q968676,Batalha de Dan no Ura,http://www.wikidata.org/entity/Q1079102,Clã Taira
http://www.wikidata.org/entity/Q1163186,Batalha de Svolder,http://www.wikidata.org/entity/Q20,Noruega
http://www.wikidata.org/entity/Q951932,Battle of Sybota,http://www.wikidata.org/entity/Q3693378,Corcyra
http://www.wikidata.org/entity/Q1036947,Batalha do Delta,http://www.wikidata.org/entity/Q180568,Império Novo
http://www.wikidata.org/entity/Q1036947,Batalha do Delta,http://www.wikidata.org/entity/Q193850,Povos do Mar
http://www.wikidata.org/entity/Q951932,Battle of Sybota,http://www.wikidata.org/entity/Q1363688,Ancient Corinth
http://www.wikidata.org/entity/Q951932,Battle of Sybota,http://www.wikidata.org/entity/Q844930,Atenas
http://www.wikidata.org/entity/Q1001479,Battle of Cape Finisterre,http://www.wikidata.org/entity/Q29,Espanha
http://www.wikidata.org/entity/Q1001479,Battle of Cape Finisterre,http://www.wikidata.org/entity/Q142,França
http://www.wikidata.org/entity/Q1134191,Batalha de Tory Island,http://www.wikidata.org/entity/Q161885,Reino da Grã-Bretanha
http://www.wikidata.org/entity/Q16371016,1615 Kakheti rebellion,http://www.wikidata.org/entity/Q1209822,Reino da Cachétia
http://www.wikidata.org/entity/Q1163186,Batalha de Svolder,http://www.wikidata.org/entity/Q35,Dinamarca
http://www.wikidata.org/entity/Q1163186,Batalha de Svolder,http://www.wikidata.org/entity/Q34,Suécia
http://www.wikidata.org/entity/Q1164835,Batalha de Lagos,http://www.wikidata.org/entity/Q170072,República das Sete Províncias Unidas dos Países Baixos
http://www.wikidata.org/entity/Q1136414,Battle of Havana,http://www.wikidata.org/entity/Q29,Espanha
http://www.wikidata.org/entity/Q1164835,Batalha de Lagos,http://www.wikidata.org/entity/Q179876,Reino da Inglaterra
http://www.wikidata.org/entity/Q1028247,Battle of Groix,http://www.wikidata.org/entity/Q161885,Reino da Grã-Bretanha
http://www.wikidata.org/entity/Q963322,Battle of Casma,http://www.wikidata.org/entity/Q899706,Confederação Peru-Boliviana
http://www.wikidata.org/entity/Q968676,Batalha de Dan no Ura,http://www.wikidata.org/entity/Q599881,Clã Minamoto
http://www.wikidata.org/entity/Q1083872,Glorioso primeiro de junho,http://www.wikidata.org/entity/Q142,França
http://www.wikidata.org/entity/Q16371016,1615 Kakheti rebellion,http://www.wikidata.org/entity/Q18234383,Império Safávida
http://www.wikidata.org/entity/Q963322,Battle of Casma,http://www.wikidata.org/entity/Q298,Chile
http://www.wikidata.org/entity/Q18027474,Prince Hoshikawa Rebellion,http://www.wikidata.org/entity/Q11512901,Prince Hoshikawa no Wakamiya
http://www.wikidata.org/entity/Q1196554,Battle of Minorca,http://www.wikidata.org/entity/Q142,França
http://www.wikidata.org/entity/Q1248605,Batalha de Beachy Head (1690),http://www.wikidata.org/entity/Q170072,República das Sete Províncias Unidas dos Países Baixos
http://www.wikidata.org/entity/Q1248605,Batalha de Beachy Head (1690),http://www.wikidata.org/entity/Q179876,Reino da Inglaterra
http://www.wikidata.org/entity/Q975123,Battle of Notium,http://www.wikidata.org/entity/Q143559,Lisandro
http://www.wikidata.org/entity/Q15928473,Jinglong Rebellion,http://www.wikidata.org/entity/Q6144431,Li Chongjun
http://www.wikidata.org/entity/Q975123,Battle of Notium,http://www.wikidata.org/entity/Q3618730,Antiochus
http://www.wikidata.org/entity/Q1134191,Batalha de Tory Island,http://www.wikidata.org/entity/Q142,França
http://www.wikidata.org/entity/Q1164835,Batalha de Lagos,http://www.wikidata.org/entity/Q142,França
http://www.wikidata.org/entity/Q1054975,Batalha de Preveza,http://www.wikidata.org/entity/Q682631,Holy League
http://www.wikidata.org/entity/Q15942658,Gosamaru-Amawari disturbance,http://www.wikidata.org/entity/Q3809442,Gosamaru
http://www.wikidata.org/entity/Q1248605,Batalha de Beachy Head (1690),http://www.wikidata.org/entity/Q70972,Reino da França
http://www.wikidata.org/entity/Q15942658,Gosamaru-Amawari disturbance,http://www.wikidata.org/entity/Q4740706,Amawari
http://www.wikidata.org/entity/Q1028247,Battle of Groix,http://www.wikidata.org/entity/Q142,França
http://www.wikidata.org/entity/Q16417916,Tekeli Rebellion,http://www.wikidata.org/entity/Q5946646,Tekeli
http://www.wikidata.org/entity/Q17028626,Uprising of Santa Cruz de Mudela,http://www.wikidata.org/entity/Q3399982,Reino de Espanha
http://www.wikidata.org/entity/Q1001479,Battle of Cape Finisterre,http://www.wikidata.org/entity/Q174193,Reino Unido da Grã-Bretanha e Irlanda
http://www.wikidata.org/entity/Q17028626,Uprising of Santa Cruz de Mudela,http://www.wikidata.org/entity/Q71084,Primeiro Império Francês
http://www.wikidata.org/entity/Q18482200,Revolta de Ibicaba,http://www.wikidata.org/entity/Q131512,agricultor
http://www.wikidata.org/entity/Q1136414,Battle of Havana,http://www.wikidata.org/entity/Q161885,Reino da Grã-Bretanha
http://www.wikidata.org/entity/Q1523324,Batalha de Arnemuiden,http://www.wikidata.org/entity/Q179876,Reino da Inglaterra
http://www.wikidata.org/entity/Q1780931,Battle of Fort Royal,http://www.wikidata.org/entity/Q161885,Reino da Grã-Bretanha
http://www.wikidata.org/entity/Q1781080,Battle of Cape Spartel,http://www.wikidata.org/entity/Q161885,Reino da Grã-Bretanha
http://www.wikidata.org/entity/Q1432659,Batalha das Ilhas Líparas,http://www.wikidata.org/entity/Q1747689,Roma Antiga
http://www.wikidata.org/entity/Q1892581,Battle of Cumae,http://www.wikidata.org/entity/Q389236,Úmbrios
http://www.wikidata.org/entity/Q1529375,Battle of Havana,http://www.wikidata.org/entity/Q142,França
http://www.wikidata.org/entity/Q1267571,Batalha de Hjörungavágr,http://www.wikidata.org/entity/Q35,Dinamarca
http://www.wikidata.org/entity/Q1432659,Batalha das Ilhas Líparas,http://www.wikidata.org/entity/Q2429397,Civilização cartaginesa
http://www.wikidata.org/entity/Q1635922,Batalha de Tobago,http://www.wikidata.org/entity/Q170072,República das Sete Províncias Unidas dos Países Baixos
http://www.wikidata.org/entity/Q1844815,Batalha de Dynekilen,http://www.wikidata.org/entity/Q62651,Reino da Dinamarca e Noruega
http://www.wikidata.org/entity/Q1620408,Batalha de Chesma,http://www.wikidata.org/entity/Q454884,Alexei Orlov
http://www.wikidata.org/entity/Q1444121,Action of 21 July 1781,http://www.wikidata.org/entity/Q142,França
http://www.wikidata.org/entity/Q1278576,Batalha dos Mastros,http://www.wikidata.org/entity/Q12490507,Califado Rashidun
http://www.wikidata.org/entity/Q1529375,Battle of Havana,http://www.wikidata.org/entity/Q43287,Império Alemão
http://www.wikidata.org/entity/Q1808375,Batalha de Solebay,http://www.wikidata.org/entity/Q142,França
http://www.wikidata.org/entity/Q1649183,Battle of Cuddalore,http://www.wikidata.org/entity/Q142,França
http://www.wikidata.org/entity/Q1780931,Battle of Fort Royal,http://www.wikidata.org/entity/Q70972,Reino da França
http://www.wikidata.org/entity/Q1419459,Batalha de Chesapeake,http://www.wikidata.org/entity/Q161885,Reino da Grã-Bretanha
http://www.wikidata.org/entity/Q1620408,Batalha de Chesma,http://www.wikidata.org/entity/Q6747794,Mandalzade Hüsameddin
