conflict_qid;conflict_label;participant_qid;participant_label;point_in_time;type_qid;window;mapped_country_qid;mapped_iso3
Q371394;Guerra de Independência de Bangladesh;Q3349507;Provisional Government of the People's Republic of Bangladesh;1971-03-26T00:00:00Z;Q198;all;Q902;
Q1450532;Guerra Franco-Turca;Q2949827;Governo da Grande Assembleia Nacional;1918-12-01T00:00:00Z;Q198;all;Q43;
Q1455917;Invasão muçulmana da Península Ibérica;Q2940142;Reino de Toledo;0711-01-01T00:00:00Z;Q198;all;Q29;
Q195378;Guerra Anglo-nepalesa;Q3960459;Reino de Siquim;1814-11-01T00:00:00Z;Q198;all;Q8680;
Q120843;Segunda Guerra na Chechênia;Q4116969;Caucasian Front;1999-08-26T00:00:00Z;Q198;all;Q159;
Q74109;Segunda Guerra Mundial na Albânia;Q3299868;Movimento de Libertação Nacional da Albânia;1942-01-01T00:00:00Z;Q198;all;Q222;
Q382116;Guerra do Cáucaso;Q2195101;Principality of Guria;1763-01-01T00:00:00Z;Q198;all;Q230;
Q202465;Guerra Uganda-Tanzânia;Q2738248;Frente Nacional de Libertação do Uganda;1978-10-09T00:00:00Z;Q198;all;Q1036;
Q1230787;Primeira Guerra Celtibera;Q2310278;Váceos;-0180-01-01T00:00:00Z;Q198;all;Q29;
Q1209169;Guerra na Abecásia;Q2034609;Assembleia Nacional Ucraniana – Autodefesa do Povo Ucraniano;1992-08-14T00:00:00Z;Q198;all;Q212;
Q223604;Guerra Greco-Italiana;Q2338364;Sebastiano Visconti Prasca;1940-10-28T00:00:00Z;Q198;all;Q38;
Q207318;Guerras Revolucionárias Francesas;Q2290419;Catholic and Royal Army;1792-04-20T00:00:00Z;Q198;all;Q142;
Q1187448;Guerra Zenkunen;Q3082851;Minamoto no Yoriyoshi;1051-01-01T00:00:00Z;Q198;all;Q17;
Q318250;Guerra de Ogaden;Q1462545;Frente de Libertação da Somália Ocidental;1977-07-12T00:00:00Z;Q198;all;Q115;
Q1413732;Conflito na Caxemira;Q2722920;All Parties Hurriyat Conference;1947-01-01T00:00:00Z;Q198;all;Q668;
Q74109;Segunda Guerra Mundial na Albânia;Q1448131;Protetorado da Albânia;1942-01-01T00:00:00Z;Q198;all;Q222;
Q1249270;Terceira Guerra Sacra;Q2637650;Phocis;-0355-01-01T00:00:00Z;Q198;all;Q41;
Q233553;Segunda Guerra Sacra;Q2637650;Phocis;-0448-01-01T00:00:00Z;Q198;all;Q41;
Q75756;Segunda Guerra do Congo;Q1498659;Reagrupamento Congolês para a Democracia;1998-08-02T00:00:00Z;Q198;all;Q974;
Q381375;Primeira Guerra de Nagorno-Karabakh;Q1751089;Azerbaijani Popular Front Party;1988-02-20T00:00:00Z;Q198;all;Q227;
Q75756;Segunda Guerra do Congo;Q2271402;Conselho Nacional para a Defesa da Democracia – Forças para a Defesa da Democracia;1998-08-02T00:00:00Z;Q198;all;Q967;
Q431001;Guerra Fantástica;Q1322229;Iluminismo na Espanha;1762-01-01T00:00:00Z;Q198;all;Q29;
Q1249270;Terceira Guerra Sacra;Q1330631;Feras;-0355-01-01T00:00:00Z;Q198;all;Q41;
Q368594;Banjarmasin War;Q1660566;Sultanate of Banjar;1859-01-01T00:00:00Z;Q198;all;Q252;
Q1262084;Guerra Civil do Djibouti;Q1470091;Frente de Restauração da Unidade e Democracia;1994-12-26T00:00:00Z;Q198;all;Q977;
Q75626;Primeira Guerra Macedônica;Q1247159;Messênia;-0213-01-01T00:00:00Z;Q198;all;Q41;
Q288251;Guerra da Cisplatina;Q942460;Trinta e Três Orientais;1825-12-10T00:00:00Z;Q198;all;Q155;
Q1456086;Guerra dos Nez-Percés;Q1123923;Nez Perce;1877-06-01T00:00:00Z;Q198;all;Q30;
Q214456;Guerra Filipino-Americana;Q1361989;Primeira República das Filipinas;1899-02-04T00:00:00Z;Q198;all;Q928;
Q207318;Guerras Revolucionárias Francesas;Q861551;Saint-Domingue;1792-04-20T00:00:00Z;Q198;all;Q142;
Q385676;Guerra de Ōnin;Q947533;Ikko-ikki;1467-01-01T00:00:00Z;Q198;all;Q17;
Q1369423;Guerra de Toledo;Q1360064;Território de Michigan;1835-01-01T00:00:00Z;Q198;all;Q30;
Q233507;Segunda Guerra Anglo-Afegã;Q1335260;Emirado do Afeganistão;1878-01-01T00:00:00Z;Q198;all;Q889;
Q233657;Segunda Guerra de Matabele;Q918320;Companhia Britânica da África do Sul;1896-03-01T00:00:00Z;Q198;all;Q145;
Q215112;Segunda Guerra dos Bôeres;Q918153;Ceilão britânico;1899-10-23T00:00:00Z;Q198;all;Q145;
Q1249270;Terceira Guerra Sacra;Q844930;Atenas;-0355-01-01T00:00:00Z;Q198;all;Q41;
Q1076902;Guerra cremonidiana;Q844930;Atenas;-0266-01-01T00:00:00Z;Q198;all;Q41;
Q233667;Second Olynthian War;Q844930;Atenas;-0348-01-01T00:00:00Z;Q198;all;Q41;
Q233553;Segunda Guerra Sacra;Q844930;Atenas;-0448-01-01T00:00:00Z;Q198;all;Q41;
Q75665;Segunda Guerra Macedónica;Q844930;Atenas;-0199-01-01T00:00:00Z;Q198;all;Q41;
Q196409;Cruzada Livónia;Q1060538;Latgalians;1198-07-31T00:00:00Z;Q198;all;Q211;
Q233649;Segunda Guerra Margrave;Q708778;Diocese de Tréveris;1552-01-01T00:00:00Z;Q198;all;Q183;
Q318250;Guerra de Ogaden;Q828005;Derg;1977-07-12T00:00:00Z;Q198;all;Q115;
