"iso3";"status";"info";"ts"
"CIV";"ok";"fetched";"2025-10-15T07:27:31.902999+00:00"
"CMR";"ok";"fetched";"2025-10-15T07:27:38.438929+00:00"
"COD";"ok";"fetched";"2025-10-15T07:27:41.047682+00:00"
"COG";"ok";"fetched";"2025-10-15T07:27:44.024079+00:00"
"COK";"ok";"fetched";"2025-10-15T07:27:50.643936+00:00"
"COL";"ok";"fetched";"2025-10-15T07:27:53.904486+00:00"
"COM";"ok";"fetched";"2025-10-15T07:27:57.695404+00:00"
"CPV";"ok";"fetched";"2025-10-15T07:28:00.908485+00:00"
"CRI";"ok";"fetched";"2025-10-15T07:28:10.628641+00:00"
"CUB";"ok";"fetched";"2025-10-15T07:28:13.595586+00:00"
"CUW";"ok";"fetched";"2025-10-15T07:28:16.467559+00:00"
"CXR";"ok";"fetched";"2025-10-15T07:28:23.663666+00:00"
"CYM";"ok";"fetched";"2025-10-15T07:29:04.041993+00:00"
"CYP";"ok";"fetched";"2025-10-15T07:29:06.271932+00:00"
"CZE";"ok";"fetched";"2025-10-15T07:29:08.948841+00:00"
"DEU";"ok";"fetched";"2025-10-15T07:29:11.577776+00:00"
"DJI";"ok";"fetched";"2025-10-15T07:29:15.261553+00:00"
"DMA";"ok";"fetched";"2025-10-15T07:29:21.525097+00:00"
"DNK";"ok";"fetched";"2025-10-15T07:29:23.150512+00:00"
"DOM";"ok";"fetched";"2025-10-15T07:29:27.021402+00:00"
"DZA";"ok";"fetched";"2025-10-15T07:29:31.365242+00:00"
"ECU";"ok";"fetched";"2025-10-15T07:29:34.025485+00:00"
"EGY";"ok";"fetched";"2025-10-15T07:29:38.096561+00:00"
"ERI";"ok";"fetched";"2025-10-15T07:29:44.194848+00:00"
"ESH";"ok";"fetched";"2025-10-15T07:29:50.658202+00:00"
"ESP";"ok";"fetched";"2025-10-15T07:29:53.470574+00:00"
"EST";"ok";"fetched";"2025-10-15T07:29:59.091989+00:00"
"ETH";"ok";"fetched";"2025-10-15T07:30:00.761805+00:00"
"FIN";"ok";"fetched";"2025-10-15T07:30:03.644464+00:00"
"FJI";"ok";"fetched";"2025-10-15T07:30:09.723496+00:00"
"FLK";"ok";"fetched";"2025-10-15T07:30:11.525392+00:00"
"FRA";"ok";"fetched";"2025-10-15T07:30:14.838218+00:00"
"FRO";"ok";"fetched";"2025-10-15T07:30:16.655462+00:00"
"FSM";"ok";"fetched";"2025-10-15T07:30:23.747544+00:00"
"GAB";"ok";"fetched";"2025-10-15T07:30:28.436770+00:00"
"GBR";"ok";"fetched";"2025-10-15T07:30:31.203957+00:00"
"GEO";"ok";"fetched";"2025-10-15T07:30:33.919801+00:00"
"GGY";"ok";"fetched";"2025-10-15T07:30:40.929893+00:00"
"GHA";"ok";"fetched";"2025-10-15T07:30:43.373209+00:00"
"GIB";"ok";"fetched";"2025-10-15T07:30:48.296315+00:00"
"GIN";"ok";"fetched";"2025-10-15T07:30:50.423750+00:00"
