"iso3";"country_qid";"country_label_pt";"country_label_en";"inception_year";"earliest_year";"named_after_qid";"named_after_pt";"named_after_en";"predecessor_qids";"predecessors_pt";"predecessors_en";"wp_title_pt";"wp_title_en";"wp_origins_pt";"wp_origins_en";"wp_summary_pt";"wp_summary_en";"fetched_at"
"OMN";"Q842";"Omã";"Oman";"1970";"";"";"";"";"Q2342282";"Oman proper";"Oman proper";"Omã";"Oman";"Omã, ou, mais raramente, Omão, oficialmente Sultanato de Omã, é um país árabe na costa sudeste da Península Arábica. Com uma posição de importância estratégica na foz do Golfo Pérsico, o país faz fronteira com os Emirados Árabes Unidos a noroeste, Arábia Saudita a oeste, e Iémen ao sul e sudoeste, e compartilha fronteiras marítimas com o Irão e Paquistão. A costa é formada pelo Mar da Arábia, no sudeste, e pelo Golfo de Omã no nordeste.";"The oldest known written mention of ""Oman"" is found on a tomb in the Mleiha Archeological Center in the United Arab Emirates. [ 21 ] The name ""Oman"" is believed to predate Pliny the Elder 's reference to ""Omana"" [ 22 ] and Ptolemy 's reference to ""Omanon"". ( Ὄμανον ἐμπόριον in Greek ). [ 23 ] Both of these references likely pertain to the ancient city of Sohar . [ 24 ] The city or region is commonly etymologised in Arabic as deriving from ʿāmin or ʿamūn , meaning 'settled' people, in contrast to the nomadic Bedouins . [ 24 ] While some theories propose an eponymous founder—such as Oman bin Ibrahim al-Khalil, Oman bin Siba' bin Yaghthan bin Ibrahim, and Oman bin Qahtan—others suggest that ""Oman"" originates from a valley in Ma'rib , Yemen . This valley is presumed to be the ancestral homeland of the Azd , an ancient Bedouin tribe mentioned in pre-Islamic inscriptions, particularly in Sabaic inscriptions from the reign of Sha'r Awtar ( 210 – 230 CE). [ 25 ] Oman has been known by other names. The ancient Sumerians and the Mesopotamians called it Magan , a reference to the Magan civilisation , while the Persians called it Mazun, derived from the word ""Muzn"", meaning clouds and abundant flowing water, which explains the establishment and prosperity of agriculture in Oman since ancient times and the stability and civilisation that accompanied it. The name ""Oman"" is mentioned in Arabic sources as an independent region. Al-Istakhri and Ibn Hawqal referred to this in their sayings: ""Oman is a region with independent regions with spacious people."" Ibn Khaldun was more explicit in his definition of Oman. He mentioned it among the Arab regions that emerged as independent states in the Arabian Peninsula, namely Yemen, the Hijaz, Hadhramaut, Ash Shihr, and Oman. He described its system of government, saying that it was a ""sole sultanic region."" [ 26 ]";"Omã, ou, mais raramente, Omão, oficialmente Sultanato de Omã, é um país árabe na costa sudeste da Península Arábica. Com uma posição de importância estratégica na foz do Golfo Pérsico, o país faz fronteira com os Emirados Árabes Unidos a noroeste, Arábia Saudita a oeste, e Iémen ao sul e sudoeste, e compartilha fronteiras marítimas com o Irão e Paquistão. A costa é formada pelo Mar da Arábia, no sudeste, e pelo Golfo de Omã no nordeste. Os enclaves de Mada e Moçandão estão rodeados pelos Emirados Árabes em suas fronteiras terrestres, com o Estreito de Ormuz e o Golfo de Omã formando os limites costeiros de Moçandão. O Omã é o único país do mundo cujo nome, na língua portuguesa, começa com a letra O.";"Oman, officially the Sultanate of Oman, is a country located on the southeastern coast of the Arabian Peninsula in West Asia and the Middle East. It shares land borders with Saudi Arabia, the United Arab Emirates, and Yemen. Oman's coastline faces the Arabian Sea to the southeast and the Gulf of Oman on the northeast. The exclaves of Madha and Musandam are surrounded by the United Arab Emirates on their land borders, while Musandam's coastal boundaries are formed by the Strait of Hormuz and the Gulf of Oman. The capital and largest city is Muscat. With a population of approximately 5.46 million and an area of 309,500 km2, Oman is the 123rd most-populous country.";"2025-10-15T07:36:45.943635+00:00"
"PAK";"Q843";"Paquistão";"Pakistan";"1947";"";"Q4478";"Punjab";"Punjab";"Q2006542";"Domínio do Paquistão";"Dominion of Pakistan";"Paquistão";"Pakistan";"Segundo J.P. Machado , [ 11 ] o topônimo ""Paquistão"" foi criado em 1933 por Chaudhary Rahmat Ali [ 12 ] para designar as regiões muçulmanas a noroeste da Índia , a partir das iniciais de Pandjab ( Panjabe ), Afghan (para os povos afegãos da área) e Kashmir ( Caxemira ), com o sufixo -stan (que representa o Baluchistão e significa ""terra"" em persa ), formando PAKSTAN. Os paquistaneses relacionam o topônimo com o vocábulo pak (""puro"", em persa e urdu ), que daria ao nome do país o sentido de ""Terra dos Puros"".";"The name Pakistan was coined by Choudhry Rahmat Ali , a Pakistan Movement activist, who in January 1933 first published it (originally as ""Pakstan"") in a pamphlet Now or Never , using it as an acronym . [ 20 ] [ 21 ] [ 22 ] Rahmat Ali explained: ""It is composed of letters taken from the names of all our homelands, Indian and Asian, P anjab , A fghania , K ashmir , S indh , and Baluchis tan ."" He added, ""Pakistan is both a Persian and Urdu word... It means the land of the Paks, the spiritually pure and clean."" [ 23 ] Etymologists note that پاک pāk , is 'pure' in Persian and Pashto and the Persian suffix ـستان -stan means 'land' or 'place of'. [ 21 ] Rahmat Ali's concept of Pakistan only related to the northwestern area of the Indian subcontinent . He also proposed the name ""Banglastan"" for the Muslim areas of Bengal and ""Osmanistan"" for Hyderabad State , as well as a political federation between the three. [ 24 ]";"Paquistão, oficialmente República Islâmica do Paquistão, é um país soberano do Sul da Ásia. Com uma população superior a 200 milhões de pessoas, é o quinto país mais populoso do mundo e, com uma área de 796 095 quilômetros quadrados, é a 35ª maior nação do planeta em área territorial. O Paquistão tem um litoral com 1 046 km de extensão ao longo do Mar da Arábia e do Golfo de Omã. O país asiático faz fronteira com a Índia a leste, com o Afeganistão a oeste e norte, com o Irã a sudoeste e com a República Popular da China no extremo nordeste. O Paquistão não tem fronteira com o Tajiquistão, pois estão separados pelo estreito Corredor de Wakhan, pertencente ao Afeganistão, no norte. Também compartilha uma fronteira marítima com Omã.";"Pakistan, officially the Islamic Republic of Pakistan, is a country in South Asia. It is the fifth-most populous country, with a population of over 241.5 million, having the second-largest Muslim population as of 2023. Islamabad is the nation's capital, while Karachi is its largest city and financial centre. Pakistan is the 33rd-largest country by area. Bounded by the Arabian Sea on the south, the Gulf of Oman on the southwest, and the Sir Creek on the southeast, it shares land borders with India to the east; Afghanistan to the west; Iran to the southwest; and China to the northeast. It shares a maritime border with Oman in the Gulf of Oman, and is separated from Tajikistan in the northwest by Afghanistan's narrow Wakhan Corridor.";"2025-10-15T07:36:48.770362+00:00"
"PAN";"Q804";"Panamá";"Panama";"1903";"";"";"";"";"Q1061488|Q431036|Q6037274";"Estados Unidos da Colômbia | Departamento do Panamá | Nação Misquita";"United States of Colombia | Department of Panama | Mosquitia";"Panamá";"Panama";"A origem definitiva do nome ""Panamá"" é desconhecida, existindo várias teorias que tratam acerca disto. Em uma delas, há a afirmação de que o país recebeu este nome em razão de uma espécie de árvore comumente encontrada na região (Sterculia apetala, a árvore do Panamá), com outra teoria afirmando que a origem do nome está ligada aos primeiros colonos que, ao chegarem ao território em agosto, depararam-se com uma abundância de borboletas e que, assim, o nome significa ""muitas borboletas"" em uma ou várias das línguas indígenas ameríndias que eram faladas no território antes da colonização espanhola. Conforme uma outra teoria, a palavra é uma castilianização da palavra da língua Kuna ""bannaba"" que, por sua vez, significa ""distante"" ou ""longe"". [ 15 ] A grafia correta é Panamá nas línguas portuguesa e castelhana e Panama nas línguas italiana , francesa , inglesa e alemã . O vocábulo panamá é a designação de um tipo de chapéu o qual fabrica-se a partir da matéria-prima das folhas de uma palmeira endêmica de cinco países da Mesoamérica que são o Panamá, a Colômbia , o Peru , e o Equador , utilizando-se, também, como sinônimo de corrupção política , escândalo financeiro, dinheiro mal administrado dos outros ou do governo, a partir das finanças ilegais praticadas por um companhia francesa denominada Compagnie Universelle du Canal Océanique que encarregava-se de construir o canal do Panamá . [ 16 ]";"The exact origin of the name ""Panama"" remains uncertain, with several theories proposed. [ 18 ] A widely recounted legend holds that ""Panamá"" was the name of a fishing village encountered by Spanish colonists , purportedly meaning ""abundance of fish."" While the precise location of this village is unknown, the legend is often associated with accounts from Spanish explorer Antonio Tello de Guzmán, who in 1515 described landing at an unnamed indigenous fishing village along the Pacific coast . Subsequently, in 1517, Spanish lieutenant Gaspar de Espinosa established a trading post at the site, and in 1519, Pedro Arias Dávila founded Panama City there, replacing the earlier settlement of Santa María la Antigua del Darién . [ 23 ] [ 24 ]";"O Panamá, oficialmente República do Panamá, é o país mais meridional da América Central. Situado no istmo que liga as Américas do Norte e do Sul, o país faz fronteira com Costa Rica, a oeste; Colômbia, a sudeste; Caribe, ao norte, e com o Oceano Pacífico ao sul. A capital é a Cidade do Panamá.";"Panama, officially the Republic of Panama, is a country located at the southern end of Central America, bordering South America. It is bordered by Costa Rica to the west, Colombia to the southeast, the Caribbean Sea to the north, and the Pacific Ocean to the south. Its capital and largest city is Panama City, whose metropolitan area is home to nearly half of the country's over 4 million inhabitants.";"2025-10-15T07:36:50.962294+00:00"
"PCN";"Q35672";"Ilhas Pitcairn";"Pitcairn Islands";"1838";"";"";"";"";"";"";"";"Ilhas Pitcairn";"Pitcairn Islands";"As Ilhas Pitcairn ou Ilhas Picárnia,, oficialmente Ilhas Pitcairn, Henderson, Ducie e Oeno ou Grupo de Ilhas Pitcairn, são um território ultramarino britânico na Polinésia que tem como único vizinho a Polinésia Francesa, a oeste. É constituída pela ilha homônima, e pelas ilhas Ducie, Oeno e Henderson, sendo as últimas, desabitadas, por causa de sua inacessibilidade. A capital e única povoação é Adamstown, localizada na ilha Pitcairn que possui uma área de 4,6 km², localizada na parte centro-norte da ilha e considerada a menor capital do mundo.";"The Pitcairn Islands, officially Pitcairn, Henderson, Ducie and Oeno Islands, are a group of four volcanic islands in the southern Pacific Ocean that form the sole British Overseas Territory in the Pacific Ocean. The four islands—Pitcairn, Henderson, Ducie and Oeno—are scattered across several hundred kilometres (miles) of ocean and have a combined land area of about 47 square kilometres. Henderson Island accounts for 86% of the land area, but only Pitcairn Island is inhabited.";"As Ilhas Pitcairn ou Ilhas Picárnia,, oficialmente Ilhas Pitcairn, Henderson, Ducie e Oeno ou Grupo de Ilhas Pitcairn, são um território ultramarino britânico na Polinésia que tem como único vizinho a Polinésia Francesa, a oeste. É constituída pela ilha homônima, e pelas ilhas Ducie, Oeno e Henderson, sendo as últimas, desabitadas, por causa de sua inacessibilidade. A capital e única povoação é Adamstown, localizada na ilha Pitcairn que possui uma área de 4,6 km², localizada na parte centro-norte da ilha e considerada a menor capital do mundo.";"The Pitcairn Islands, officially Pitcairn, Henderson, Ducie and Oeno Islands, are a group of four volcanic islands in the southern Pacific Ocean that form the sole British Overseas Territory in the Pacific Ocean. The four islands—Pitcairn, Henderson, Ducie and Oeno—are scattered across several hundred kilometres (miles) of ocean and have a combined land area of about 47 square kilometres. Henderson Island accounts for 86% of the land area, but only Pitcairn Island is inhabited. The inhabited islands nearest to the Pitcairn Islands are Mangareva, 688 km to the west, as well as Easter Island, 1,929 km to the east.";"2025-10-15T07:37:05.022919+00:00"
"PER";"Q419";"Peru";"Peru";"1821";"";"";"";"";"Q7251405";"Protectorate of San Martín";"Protectorate of San Martín";"Peru";"Peru";"A palavra Peru é, provavelmente, derivada de Birú , o nome de um governante local que morava perto da Baía de São Miguel, no Panamá , no início do século XVI . [ 19 ] Quando os seus domínios foram visitados por exploradores espanhóis em 1522, eram a parte mais meridional do "" Novo Mundo "" conhecida pelos europeus. [ 20 ] Assim, quando Francisco Pizarro explorou as regiões mais ao sul, as designou de Birú ou Peru . [ 21 ] A Coroa Espanhola oficializou o nome do território em 1529, com a Capitulación de Toledo , que designou o recém-encontrado Império Inca como a Província do Peru. Sob o domínio espanhol, o país era denominado Vice-Reino do Peru , que posteriormente se tornou a República Popular do Peru, após a guerra da independência do país. [ 22 ]";"The name of the country may be derived from Birú , the name of a local ruler who lived near the Bay of San Miguel , Panama City, in the early 16th century. [ 21 ] Spanish conquistadors , who arrived in 1522, believed this was the southernmost part of the New World . [ 22 ] When Francisco Pizarro invaded the regions farther south, they came to be designated Birú or Perú . [ 23 ] An alternative history is provided by the contemporary writer Inca Garcilaso de la Vega , son of an Inca princess and a conquistador. He said the name Birú was that of a common Amerindian who was happened upon by the crew of a ship on an exploratory mission for governor Pedro Arias Dávila and went on to relate more instances of misunderstandings due to the lack of a common language. [ 24 ] The Spanish crown gave the name legal status with the 1529 Capitulación de Toledo , which designated the newly encountered Inca Empire as the province of Peru. [ 25 ] In 1561, the rebel Lope de Aguirre declared himself the ""Prince"" of an independent Peru, which was cut short by his arrest and execution. Under Spanish rule, the country adopted the denomination Viceroyalty of Peru , which became the Peruvian Republic from its independence until 1979 , when it adopted its current name of Republic of Peru . [ 26 ]";"Peru, oficialmente chamado de República do Peru, é um país sul-americano limitado ao norte pelo Equador e pela Colômbia, a leste pelo Brasil e pela Bolívia e ao sul pelo Chile. O seu litoral, a oeste, é banhado pelo oceano Pacífico. Sua geografia é variada, exibindo desde planícies áridas na costa do Pacífico, aos picos nevados dos Andes e à floresta amazônica, características que proporcionam a este país diversos recursos naturais.";"Peru, officially the Republic of Peru, is a country in western South America. It is bordered to the north by Ecuador and Colombia, to the east by Brazil, to the southeast by Bolivia, to the south by Chile, and to the south and west by the Pacific Ocean. Peru is a megadiverse country, with habitats ranging from the arid plains of the Pacific coastal region in the west, to the peaks of the Andes mountains extending from the north to the southeast of the country, to the tropical Amazon basin rainforest in the east with the Amazon River. Peru has a population of over 32 million, and its capital and largest city is Lima. At 1,285,216 km2 (496,225 sq mi), Peru is the 19th largest country in the world, and the third largest in South America.";"2025-10-15T07:37:07.256969+00:00"
"PHL";"Q928";"Filipinas";"Philippines";"1946";"";"Q34417";"Filipe II de Espanha";"Philip II of Spain";"Q146328";"Comunidade das Filipinas";"Commonwealth of the Philippines";"Filipinas";"Philippines";"O explorador espanhol Ruy López de Villalobos , durante sua expedição em 1542, chamou as ilhas de Leyte e Samar de ""Felipinas"" em homenagem a Filipe II da Espanha , então Príncipe das Astúrias . No fim, o nome ""Las Islas Filipinas"" seria usado para cobrir as possessões espanholas do arquipélago. Antes do estabelecimento do domínio espanhol, outros nomes como Islas del Poniente (Ilhas do Oeste) e o nome de Magalhães para as ilhas, San Lázaro , também foram usados ​​pelos espanhóis para se referir às ilhas da região. [ 9 ] [ 10 ] [ 11 ] [ 12 ] Durante a Revolução Filipina, o Governo Revolucionário proclamou o estabelecimento da República Filipina ou República Filipina. Do período da Guerra Hispano-Americana (1898) e da Guerra Filipino-Americana (1899–1902) até o período da Comunidade (1935–1946), as autoridades coloniais americanas referiram-se ao país como Ilhas Filipinas, uma tradução do nome espanhol. [ 13 ] Os Estados Unidos iniciaram o processo de alteração da referência ao país de Ilhas Filipinas para Filipinas, especificamente quando foi mencionado no Ato de Autonomia das Filipinas ou na Lei de Jones . [ 14 ] O título oficial completo, República das Filipinas, foi incluído na constituição de 1935 como o nome do futuro estado independente, [ 15 ] e também é mencionado em todas as revisões constitucionais posteriores. [ 16 ] [ 17 ]";"During his 1542 expedition, Spanish explorer Ruy López de Villalobos named the islands of Leyte and Samar "" Felipinas "" after the Prince of Asturias , later Philip II of Castile . Eventually, the name "" Las Islas Filipinas "" would be used for the archipelago's Spanish possessions. [ 18 ] : 6 Other names, such as "" Islas del Poniente "" (Western Islands), "" Islas del Oriente "" (Eastern Islands), Ferdinand Magellan's name, and "" San Lázaro "" (Islands of St. Lazarus), were used by the Spanish to refer to islands in the region before Spanish rule was established. [ 19 ] [ 20 ] [ 21 ] During the Philippine Revolution , the Malolos Congress proclaimed it the República Filipina (the Philippine Republic ). [ 22 ] American colonial authorities referred to the country as the Philippine Islands (a translation of the Spanish name). [ 23 ] The United States began changing its nomenclature from ""the Philippine Islands"" to ""the Philippines"" in the Philippine Autonomy Act and the Jones Law . [ 24 ] The official title ""Republic of the Philippines"" was included in the 1935 constitution as the name of the future independent state, [ 25 ] and in all succeeding constitutional revisions. [ 26 ] [ 27 ]";"Filipinas, oficialmente República das Filipinas, é um país localizado no Arquipélago Malaio, no Sudeste Asiático. O arquipélago é delimitado pelo Mar das Filipinas a leste, Mar de Celebes e Mar de Sulu a sul e Mar da China Meridional a oeste. O Estreito de Luzon, a norte, separa as Filipinas de Taiwan, o Estreito de Balabac, a sudoeste, é uma das fronteiras marítimas com a Malásia, e há também fronteira marítima com a Indonésia, a sul, através do Mar de Celebes, e com o Vietnã, através do Mar da China Meridional. Também Palau se situa nas imediações, para sudeste. A sua capital é Manila, enquanto sua cidade mais populosa é Cidade Quezon, ambas fazendo parte da Região Metropolitana de Manila. O país é composto por 7 641 ilhas, que são categorizadas amplamente em três principais divisões geográficas: Luzon, Visayas e Mindanau. Com aproximadamente 300 000 km2, as Filipinas são o 72º maior país do mundo.";"The Philippines, officially the Republic of the Philippines, is an archipelagic country in Southeast Asia. Located in the western Pacific Ocean, it consists of 7,641 islands, with a total area of roughly 300,000 square kilometers, which are broadly categorized in three main geographical divisions from north to south: Luzon, Visayas, and Mindanao. With a population of over 110 million, it is the world's twelfth-most-populous country.";"2025-10-15T07:37:11.568147+00:00"
"PLW";"Q695";"Palau";"Palau";"1994";"";"";"";"";"";"";"";"Palau";"Palau";"O nome das ilhas na língua palauana , Belau , [ 5 ] [ 6 ] [ 7 ] [ 8 ] é provavelmente derivado da palavra palauana "" beluu "" que significa ""aldeia"", [ 9 ] [ 10 ] [ 11 ] ou da palavra "" aibebelau "" que significa ""resposta indireta"", aludindo a um mito da criação. O nome ""Palau"" entrou na língua inglesa , para designar o alemão Palau . O nome arcaico em inglês para essas ilhas era ""Pellew Islands"" [ 12 ] [ 13 ] (Ilhas Pellew).";"The name for the islands in the Palauan language , Belau , derives from the Palauan word for ""village"", beluu (thus ultimately from Proto-Austronesian * banua ), [ 16 ] or from aibebelau (""indirect replies""), relating to a creation myth . [ 17 ] The name ""Palau"" originated in the Spanish Los Palaos , eventually entering English via the German Palau . An archaic name for the islands in English was the ""Pelew Islands"". [ 18 ] The name of the country ""Palau"" is most likely not derived from the Malay word Pulau (island), despite the similarity in its word form.";"Palau ; por vezes em inglês também Belau ou Pelew; em palauano: Belau), oficialmente República de Palau é um pequeno país insular da Micronésia, no Oceano Pacífico, entre os mares das Filipinas a oeste e norte, Indonésia e Papua-Nova Guiné a sul e Estados Federados da Micronésia a leste e nordeste (Yap). Constituído por oito ilhas principais e diversos pequenos ilhéus e atóis.";"Palau, officially the Republic of Palau, is an island country in the Micronesia subregion of Oceania in the western Pacific Ocean. The Republic of Palau consists of approximately 340 islands and is the western part of the Caroline Islands, while the eastern and central parts make up the Federated States of Micronesia.";"2025-10-15T07:37:13.811817+00:00"
"PNG";"Q691";"Papua-Nova Guiné";"Papua New Guinea";"1975";"";"";"";"";"Q2301972";"Território da Papua e Nova Guiné";"Territory of Papua and New Guinea";"Papua-Nova Guiné";"Papua New Guinea";"A Papua-Nova Guiné, Papua Nova Guiné ou Papuásia-Nova Guiné, oficialmente Estado Independente da Papua-Nova Guiné, é um país da Oceania que ocupa a metade oriental da Ilha da Nova Guiné, e uma série de ilhas e arquipélagos, a leste e a nordeste, embora sempre na Melanésia. A única fronteira terrestre que tem é com as províncias indonésias de Alta Papua, Papua e Papua Meridional, a oeste, mas tem fronteiras marítimas com Palau e os Estados Federados da Micronésia, a norte, com as Ilhas Salomão, a sudeste, e com a Austrália, através do mar de Coral, estreito de Torres e mar de Arafura, a sul. A sua capital é Porto Moresby.";"Papua is derived from a local term of uncertain origin, that may have referred to at least part of the island now called New Guinea . In 1526 Portuguese explorer Jorge de Menezes named the island Ilhas dos Papuas . [ 15 ] [ 16 ] The word ""Papua"" has applied to various areas of New Guinea since then, with its inclusion in ""Papua New Guinea"" coming from its use for the Territory of Papua. [ 17 ] : 147 [ 18 ] : 11 ""New Guinea"" ( Nueva Guinea ) was the name coined by the Spanish explorer Yñigo Ortiz de Retez . In 1545, he noted the resemblance of the people to those he had earlier seen along the Guinea coast of Africa. Guinea, in its turn, is etymologically derived from the Portuguese word Guiné . The name is one of several toponyms sharing similar etymologies , which likely mean ""of the burnt face"" or similar, in reference to the dark skin of the inhabitants. [ 16 ] Its use in the country name comes from German New Guinea, later the Territory of New Guinea , which was united with the territory of Papua. [ 17 ] : 147";"A Papua-Nova Guiné, Papua Nova Guiné ou Papuásia-Nova Guiné, oficialmente Estado Independente da Papua-Nova Guiné, é um país da Oceania que ocupa a metade oriental da Ilha da Nova Guiné, e uma série de ilhas e arquipélagos, a leste e a nordeste, embora sempre na Melanésia. A única fronteira terrestre que tem é com as províncias indonésias de Alta Papua, Papua e Papua Meridional, a oeste, mas tem fronteiras marítimas com Palau e os Estados Federados da Micronésia, a norte, com as Ilhas Salomão, a sudeste, e com a Austrália, através do mar de Coral, estreito de Torres e mar de Arafura, a sul. A sua capital é Porto Moresby.";"Papua New Guinea (PNG), officially the Independent State of Papua New Guinea, is an island country in Oceania that comprises the eastern half of the island of New Guinea and offshore islands in Melanesia, a region of the southwestern Pacific Ocean north of Australia. It has a land border with Indonesia to the west and maritime borders with Australia to the south and the Solomon Islands to the east. Its capital is Port Moresby. The country's 462,840 km2 (178,700 sq mi) includes a large mainland and hundreds of islands.";"2025-10-15T07:37:18.546000+00:00"
"POL";"Q36";"Polónia";"Poland";"1918";"";"Q188869";"campo agrícola";"field";"Q211274|Q221457|Q303836|Q7308003|Q9301958";"República Popular da Polônia | Congresso da Polónia | Republic of Tarnobrzeg | Conselho de Regência (Polônia) | Rada Narodowa Księstwa Cieszyńskiego";"Polish People's Republic | Congress Poland | Republic of Tarnobrzeg | Regency Council | Rada Narodowa Księstwa Cieszyńskiego";"Polónia";"Poland";"No período que se seguiu ao seu surgimento no século X, a nação polonesa foi guiada por uma série de governantes fortes que converteram os poloneses ao cristianismo, criaram um Estado centro-europeu sólido e o integraram à cultura europeia. A existência de inimigos externos poderosos e um processo de fragmentação interna enfraqueceram esta estrutura inicial no século XIII, mas uma consolidação no século seguinte permitiu o estabelecimento subsequente de um grande Reino Polonês.";"The native Polish name for Poland is Polska . [ 21 ] It is believed that the name derives from the Polans , a West Slavic tribe who inhabited the Warta River basin of present-day Greater Poland region (6th–8th century CE). [ 22 ] The tribe's name stems from the Proto-Slavic noun pole meaning field, which itself originates from the Proto-Indo-European word *pleh₂- indicating flatland. [ 23 ] The etymology alludes to the topography of the region and the flat landscape of Greater Poland. [ 24 ] [ 25 ] During the Middle Ages , the Latin form Polonia was widely used throughout Europe. [ 26 ] The country's alternative archaic name is Lechia and its root syllable remains in official use in several languages, notably Hungarian , Lithuanian , and Persian . [ 27 ] The exonym possibly derives from either Lech , a legendary ruler of the Lechites , or from the Lendians , a West Slavic tribe that dwelt on the south-easternmost edge of Lesser Poland . [ 28 ] [ 29 ] The origin of the tribe's name lies in the Old Polish word lęda (plain). [ 30 ] Initially, both names Lechia and Polonia were used interchangeably when referring to Poland by chroniclers during the Middle Ages . [ 31 ]";"Polónia (português europeu) ou Polônia (português brasileiro) ), oficialmente República da Polónia ), é um país da Europa Central que tem fronteiras comuns com a Alemanha a oeste; com a Chéquia e a Eslováquia ao sul; com a Ucrânia e a Bielorrússia a leste; com o Mar Báltico, o Oblast de Kaliningrado e a Lituânia ao norte. A área total da nação é 312 679 quilômetros quadrados, o que a torna o 69.º maior país do mundo e o 9.º maior da Europa. Com uma população de mais de 38,5 milhões de pessoas, a Polônia é o 34.º país mais populoso do mundo, o quinto membro mais populoso da União Europeia (UE) e o Estado pós-comunista mais populoso da UE. A Polônia é um Estado unitário dividido em 16 voivodias.";"Poland, officially the Republic of Poland, is a country in Central Europe. It extends from the Baltic Sea in the north to the Sudetes and Carpathian Mountains in the south, and borders Lithuania and Russia to the northeast; Belarus and Ukraine to the east; Slovakia and the Czech Republic to the south; and Germany to the west. The territory has a varied landscape, diverse ecosystems, and a temperate climate. Poland is composed of sixteen voivodeships and is the fifth most populous member state of the European Union (EU), with over 38 million people, and the fifth largest EU country by land area, covering 312,696 km2 (120,733 sq mi). The capital and largest city is Warsaw; other major cities include Kraków, Wrocław, Łódź, Poznań, and Gdańsk.";"2025-10-15T07:37:23.912850+00:00"
"PRI";"Q1183";"Porto Rico";"Puerto Rico";"1898";"";"Q41211";"San Juan";"San Juan";"";"";"";"Porto Rico";"Puerto Rico";"O nome atual de Porto Rico refere-se às riquezas que saíam do porto de San Juan Bautista para a Espanha . Cristóvão Colombo batizou com o nome de San Juan Bautista. Os nativos da tribo Taína chamaram a ilha de Borikén , o que significa ""Terra de Nosso Senhor Todo-Poderoso e Bravo"" , que evoluiu para o nome de Borinquen , um nome ainda usado em referência a Porto Rico. Daí que surgiu o gentílico ""Boricua"" . Os espanhóis chamavam a capital de Porto Rico. Ao longo dos anos, os nomes foram trocados, e ""Porto Rico"" tornou-se San Juan e San Juan Bautista tornou-se Porto Rico. Hoje, a capital é San Juan.";"Puerto Rico is Spanish for 'rich port'. [ 20 ] Puerto Ricans often call the island Borinquen , a derivation of Borikén , its indigenous Taíno name, which is popularly said to mean 'Land of the Valiant Lord'. [ 39 ] [ 40 ] [ 41 ] The terms boricua , borinqueño , and borincano are commonly used to identify someone of Puerto Rican heritage, [ 42 ] [ 43 ] and derive from Borikén and Borinquen respectively. [ 44 ] The island is also popularly known in Spanish as La Isla del Encanto , meaning ""the island of enchantment"". [ 45 ] Columbus named the island San Juan Bautista , in honor of Saint John the Baptist , while the capital city was named Ciudad de Puerto Rico (""Rich Port City""). [ 20 ] Eventually traders and other maritime visitors came to refer to the entire island as Puerto Rico, while San Juan became the name used for the main trading/shipping port and the capital city. [ l ] The island's name was changed to Porto Rico by the United States after the Treaty of Paris of 1898 . [ 47 ] The anglicized name was used by the U.S. government and private enterprises (also Porto in Italian, French, and Portuguese). The name was changed back to Puerto Rico in 1931 by a joint resolution in Congress introduced by Félix Córdova Dávila . [ 48 ] [ m ] [ 53 ] [ 54 ] [ 55 ] The official name of the entity in Spanish is Estado Libre Asociado de Puerto Rico (""Free Associated State of Puerto Rico""), while its official English name is Commonwealth of Puerto Rico . [ 20 ] The Spanish official name was suggested by its architect Luis Muñoz Marín and adopted by a constitutional assembly on July 25, 1952. Some authorities have called it a euphemism and have charged that the official name in English of ""Commonwealth"" constitutes a fig leaf , i.e., associated with the covering up of an act that is actually embarrassing or distasteful with something of innocuous appearance. [ 56 ] Puerto Rico remains a territory of the United States , exercising substantial internal self-government, but subordinated to the U.S. Constitution in areas such as foreign affairs or defense. For this reason, it is not considered to be a full-fledged associated state under either international or U.S. domestic law. [ 57 ] [ 58 ]";"Porto Rico, oficialmente Estado Livre Associado de Porto Rico é um território não incorporado dos Estados Unidos localizado no nordeste do Mar do Caribe. É um arquipélago entre as Grandes Antilhas que inclui a ilha principal de Porto Rico e uma série de pequenas, como Mona, Culebra e Vieques. A cidade capital e mais populosa é San Juan. Suas línguas oficiais são o espanhol e o inglês, embora o espanhol predomine. A população da ilha é de aproximadamente 3,4 milhões. A rica história local, o clima tropical, as paisagens naturais diversas, a cozinha tradicional e os incentivos fiscais atrativos fazem dele um destino popular para viajantes de todo o mundo.";"Puerto Rico, officially the Commonwealth of Puerto Rico, is a self-governing Caribbean archipelago and island organized as an unincorporated territory of the United States under the designation of commonwealth. Located about 1,000 miles (1,600 km) southeast of Miami, Florida, between the Dominican Republic in the Greater Antilles and the U.S. Virgin Islands in the Lesser Antilles, it consists of the eponymous main island and numerous smaller islands, including Vieques, Culebra, and Mona. With approximately 3.2 million residents, it is divided into 78 municipalities, of which the most populous is the capital municipality of San Juan, followed by those within the San Juan metropolitan area. Spanish and English are the official languages of the government, though Spanish predominates.";"2025-10-15T07:37:26.966015+00:00"
