ISO3;Country_ID;Country;Conflict_ID;Conflict;Conflict_Type;Start;End;PointInTime;Start_Year;End_Year;Point_Year;Winner_ID;Winner;PartOf_ID;PartOf;Context_ID;Context;Place_ID;Place;Coordinates;Deaths;Source;Deaths_Num;Country_en;Conflict_en;Winner_en;PartOf_en;Context_en;Place_en
DZA;http://www.wikidata.org/entity/Q262;Argélia;http://www.wikidata.org/entity/Q1891008;Guerra das Areias;guerra;1963-09-25T00:00:00Z;1964-02-20T00:00:00Z;1963-10-01T00:00:00Z;1963;1964;1963;;;http://www.wikidata.org/entity/Q4783165;Guerra Fria Árabe;;;http://www.wikidata.org/entity/Q231151;Tindouf;;;participant;;Algeria;Sand War;;Arab Cold War;;Tindouf Province
DZA;http://www.wikidata.org/entity/Q262;Argélia;http://www.wikidata.org/entity/Q3401898;First Battle of Amgala;batalha;1976-01-27T00:00:00Z;1976-01-29T00:00:00Z;;1976;1976;;;;http://www.wikidata.org/entity/Q1093550;Conflito do Saara Ocidental;;;http://www.wikidata.org/entity/Q1089347;Amgala;Point(-11.51472222 26.44666667);;participant;;Algeria;First Battle of Amgala;;Western Sahara War;;Amgala
DZA;http://www.wikidata.org/entity/Q262;Argélia;http://www.wikidata.org/entity/Q3477157;Second Battle of Amgala;batalha;1976-02-14T00:00:00Z;1976-02-15T00:00:00Z;;1976;1976;;;;http://www.wikidata.org/entity/Q1093550;Conflito do Saara Ocidental;;;http://www.wikidata.org/entity/Q1089347;Amgala;Point(-11.514722222 26.446666666);;participant;;Algeria;Second Battle of Amgala;;Western Sahara War;;Amgala
DZA;http://www.wikidata.org/entity/Q262;Argélia;http://www.wikidata.org/entity/Q42410643;Algerian Islamic Front War;guerra civil;1991-01-01T00:00:00Z;1999-01-01T00:00:00Z;;1991;1999;;;;http://www.wikidata.org/entity/Q142529;Guerra Civil da Argélia;;;http://www.wikidata.org/entity/Q262;Argélia;;;participant;;Algeria;Algerian Islamic Front War;;Algerian Civil War;;Algeria
DZA;http://www.wikidata.org/entity/Q262;Argélia;http://www.wikidata.org/entity/Q632787;Insurgência islâmica no Magrebe;guerra;2002-04-11T00:00:00Z;;;2002;;;;;http://www.wikidata.org/entity/Q185729;Guerra ao Terror;;;http://www.wikidata.org/entity/Q28227;Magrebe;;;participant;;Algeria;Insurgency in the Maghreb;;War on Terror;;Maghreb
ECU;http://www.wikidata.org/entity/Q736;Equador;http://www.wikidata.org/entity/Q3118971;Guerra colombiano-equatoriana;guerra;1863-12-06T00:00:00Z;1863-12-30T00:00:00Z;1863-01-01T00:00:00Z;1863;1863;1863;;;;;;;;;;;participant;;Ecuador;Ecuadorian–Colombian War;;;;
ECU;http://www.wikidata.org/entity/Q736;Equador;http://www.wikidata.org/entity/Q742813;Guerra Espanhola-sul-americana;guerra;1864-04-14T00:00:00Z;1866-01-01T00:00:00Z;1864-01-01T00:00:00Z;1864;1866;1864;;;;;;;http://www.wikidata.org/entity/Q1073664;Ilhas Chincha;;;participant;;Ecuador;Chincha Islands War;;;;Chincha Islands
ECU;http://www.wikidata.org/entity/Q736;Equador;http://www.wikidata.org/entity/Q1500631;Guerra peruano-equatoriana;guerra;1941-07-05T00:00:00Z;1942-01-29T00:00:00Z;1942-01-31T00:00:00Z;1941;1942;1942;;;http://www.wikidata.org/entity/Q2363837;conflitos fronteiriços entre Peru e Equador;;;;;;;participant;;Ecuador;Ecuadorian–Peruvian War;;Ecuadorian–Peruvian territorial dispute;;
ECU;http://www.wikidata.org/entity/Q736;Equador;http://www.wikidata.org/entity/Q1760930;Guerra de Paquisha;guerra;1981-01-28T00:00:00Z;1981-02-05T00:00:00Z;;1981;1981;;;;http://www.wikidata.org/entity/Q2363837;conflitos fronteiriços entre Peru e Equador;;;;;;;participant;;Ecuador;Paquisha War;;Ecuadorian–Peruvian territorial dispute;;
ECU;http://www.wikidata.org/entity/Q736;Equador;http://www.wikidata.org/entity/Q2337340;Guerra de Cenepa;guerra;1995-01-26T00:00:00Z;1995-02-28T00:00:00Z;;1995;1995;;;;http://www.wikidata.org/entity/Q2363837;conflitos fronteiriços entre Peru e Equador;;;http://www.wikidata.org/entity/Q1288434;Condorcanqui;;;participant;;Ecuador;Cenepa War;;Ecuadorian–Peruvian territorial dispute;;Condorcanqui Province
ECU;http://www.wikidata.org/entity/Q736;Equador;http://www.wikidata.org/entity/Q545449;Guerra do Iraque;guerra;2003-03-20T00:00:00Z;2011-12-15T00:00:00Z;;2003;2011;;;;http://www.wikidata.org/entity/Q185729;Guerra ao Terror;;;http://www.wikidata.org/entity/Q796;Iraque;;;participant;;Ecuador;Iraq War;;War on Terror;;Iraq
EGY;http://www.wikidata.org/entity/Q79;Egito;http://www.wikidata.org/entity/Q616939;Guerra anglo-egípcia de 1882;guerra;1882-07-01T00:00:00Z;1882-09-01T00:00:00Z;;1882;1882;;;;http://www.wikidata.org/entity/Q2143253;Revolta de Urabi;;;http://www.wikidata.org/entity/Q79;Egito;;;participant;;Egypt;Anglo-Egyptian War;;Urabi revolt;;Egypt
EGY;http://www.wikidata.org/entity/Q79;Egito;http://www.wikidata.org/entity/Q49101;Guerra do Suez;guerra;1956-10-29T00:00:00Z;1956-11-07T00:00:00Z;1957-03-01T00:00:00Z;1956;1956;1957;;;http://www.wikidata.org/entity/Q8669;conflito israelo-árabe;;;http://www.wikidata.org/entity/Q36755;Sinai;;;participant;;Egypt;Suez Crisis;;Arab–Israeli conflict;;Sinai Peninsula
EGY;http://www.wikidata.org/entity/Q79;Egito;http://www.wikidata.org/entity/Q1891008;Guerra das Areias;guerra;1963-09-25T00:00:00Z;1964-02-20T00:00:00Z;1963-10-01T00:00:00Z;1963;1964;1963;;;http://www.wikidata.org/entity/Q4783165;Guerra Fria Árabe;;;http://www.wikidata.org/entity/Q231151;Tindouf;;;participant;;Egypt;Sand War;;Arab Cold War;;Tindouf Province
EGY;http://www.wikidata.org/entity/Q79;Egito;http://www.wikidata.org/entity/Q49077;Guerra dos Seis Dias;guerra;1967-06-05T00:00:00Z;1967-06-10T00:00:00Z;;1967;1967;;;;http://www.wikidata.org/entity/Q8669;conflito israelo-árabe;;;http://www.wikidata.org/entity/Q7204;Médio Oriente;;;participant;;Egypt;Six-Day War;;Arab–Israeli conflict;;Middle East
EGY;http://www.wikidata.org/entity/Q79;Egito;http://www.wikidata.org/entity/Q322607;Guerra de Desgaste;guerra;1967-07-01T00:00:00Z;1970-08-07T00:00:00Z;;1967;1970;;;;http://www.wikidata.org/entity/Q8669;conflito israelo-árabe;;;http://www.wikidata.org/entity/Q36755;Sinai;Point(33.83333333 29.5);;participant;;Egypt;War of Attrition;;Arab–Israeli conflict;;Sinai Peninsula
EGY;http://www.wikidata.org/entity/Q79;Egito;http://www.wikidata.org/entity/Q49100;Guerra do Yom Kipur;guerra;1973-10-06T00:00:00Z;1973-10-26T00:00:00Z;;1973;1973;;;;http://www.wikidata.org/entity/Q3491398;Arab–Israeli Wars;;;http://www.wikidata.org/entity/Q48214;Próximo Oriente;;;participant;;Egypt;Yom Kippur War;;Arab–Israeli Wars;;Near East
EGY;http://www.wikidata.org/entity/Q79;Egito;http://www.wikidata.org/entity/Q1434602;Guerra Líbia-Egito;guerra;1977-07-21T00:00:00Z;1977-07-24T00:00:00Z;;1977;1977;;;;http://www.wikidata.org/entity/Q4783165;Guerra Fria Árabe;;;;;;;participant;;Egypt;Libyan–Egyptian War;;Arab Cold War;;
EGY;http://www.wikidata.org/entity/Q79;Egito;http://www.wikidata.org/entity/Q52162431;Naval battle near Majdal;batalha naval;;;1948-10-19T00:00:00Z;;;1948;;;http://www.wikidata.org/entity/Q3532383;Israeli naval campaign in Operation Yoav;;;;;;;participant;;Egypt;Naval battle near Majdal;;Israeli naval campaign in Operation Yoav;;
EGY;http://www.wikidata.org/entity/Q79;Egito;http://www.wikidata.org/entity/Q12246335;1952 Clash of Ismailia;batalha;;;1952-01-25T00:00:00Z;;;1952;;;http://www.wikidata.org/entity/Q616939;Guerra anglo-egípcia de 1882;;;http://www.wikidata.org/entity/Q217156;Ismaília;;;participant;;Egypt;1952 Clash of Ismailia;;Anglo-Egyptian War;;Ismailia
ERI;http://www.wikidata.org/entity/Q986;Eritreia;http://www.wikidata.org/entity/Q832273;Guerra Eritreia-Etiópia;guerra;1998-05-06T00:00:00Z;2000-05-25T00:00:00Z;2000-06-18T00:00:00Z;1998;2000;2000;;;http://www.wikidata.org/entity/Q40719;Conflitos no Chifre da África;;;http://www.wikidata.org/entity/Q115;Etiópia;Point(39.0 15.0);;participant;;Eritrea;Eritrean–Ethiopian War;;Conflicts in the Horn of Africa;;Ethiopia
ERI;http://www.wikidata.org/entity/Q986;Eritreia;http://www.wikidata.org/entity/Q1354920;Conflito fronteiriço entre Djibouti e Eritreia;guerra;2008-06-10T00:00:00Z;2008-06-13T00:00:00Z;2008-01-01T00:00:00Z;2008;2008;2008;;;;;;;http://www.wikidata.org/entity/Q1252648;Ras Doumeira;Point(43.13333333 12.70833333);;participant;;Eritrea;Djiboutian–Eritrean border conflict;;;;Ras Doumeira
ESP;http://www.wikidata.org/entity/Q29;Espanha;http://www.wikidata.org/entity/Q3119074;Spanish conquest of the Kingdom of Q'umarkaj;guerra;1524-01-01T00:00:00Z;1524-01-01T00:00:00Z;;1524;1524;;;;;;;;;;;;participant;;Spain;Spanish conquest of the Kingdom of Q'umarkaj;;;;
ESP;http://www.wikidata.org/entity/Q29;Espanha;http://www.wikidata.org/entity/Q3902588;Pequena Guerra na Hungria;guerra;1530-01-01T00:00:00Z;1552-01-01T00:00:00Z;1526-01-01T00:00:00Z;1530;1552;1526;;;http://www.wikidata.org/entity/Q786171;Guerras Otomanos-Habsburgos;;;http://www.wikidata.org/entity/Q171150;Reino da Hungria;;;participant;;Spain;Little War in Hungary;;Ottoman–Habsburg Wars;;Kingdom of Hungary
ESP;http://www.wikidata.org/entity/Q29;Espanha;http://www.wikidata.org/entity/Q8049168;Yaqui Wars;guerra;1533-01-01T00:00:00Z;1929-01-01T00:00:00Z;;1533;1929;;;;http://www.wikidata.org/entity/Q3280731;Mexican Indian Wars;;;http://www.wikidata.org/entity/Q46422;Sonora;;;participant;;Spain;Yaqui Wars;;Mexican Indian Wars;;Sonora
ESP;http://www.wikidata.org/entity/Q29;Espanha;http://www.wikidata.org/entity/Q3119136;Third Ottoman–Venetian War;guerra;1537-01-01T00:00:00Z;1540-01-01T00:00:00Z;;1537;1540;;;;http://www.wikidata.org/entity/Q1420791;Guerras Otomano-Venezianas;;;http://www.wikidata.org/entity/Q4918;Mar Mediterrâneo;;;participant;;Spain;Third Ottoman–Venetian War;;Ottoman–Venetian Wars;;Mediterranean Sea
ESP;http://www.wikidata.org/entity/Q29;Espanha;http://www.wikidata.org/entity/Q528758;Guerra do Mixtón;guerra;1540-01-01T00:00:00Z;1542-01-01T00:00:00Z;;1540;1542;;;;;;;;;;;;participant;;Spain;Mixtón War;;;;
ESP;http://www.wikidata.org/entity/Q29;Espanha;http://www.wikidata.org/entity/Q4871029;Batalha das Flores (1591);batalha naval;1591-08-30T00:00:00Z;1591-09-01T00:00:00Z;;1591;1591;;;;http://www.wikidata.org/entity/Q430726;Guerra Anglo-Espanhola;;;http://www.wikidata.org/entity/Q25263;Açores;Point(-31.1819 39.5119);;participant;;Spain;Battle of Flores;;Anglo-Spanish War;;Azores
ESP;http://www.wikidata.org/entity/Q29;Espanha;http://www.wikidata.org/entity/Q15197201;Battle of Flores;batalha naval;1592-05-20T00:00:00Z;1592-08-13T00:00:00Z;;1592;1592;;;;http://www.wikidata.org/entity/Q430726;Guerra Anglo-Espanhola;;;http://www.wikidata.org/entity/Q216752;Ilha das Flores;Point(-31.18194444 39.51194444);;participant;;Spain;Battle of Flores;;Anglo-Spanish War;;Flores Island
ESP;http://www.wikidata.org/entity/Q29;Espanha;http://www.wikidata.org/entity/Q690361;Grande Guerra;guerra;1593-01-01T00:00:00Z;1606-01-01T00:00:00Z;1593-01-01T00:00:00Z;1593;1606;1593;;;http://www.wikidata.org/entity/Q786171;Guerras Otomanos-Habsburgos;;;http://www.wikidata.org/entity/Q28;Hungria;;;participant;;Spain;Long War;;Ottoman–Habsburg Wars;;Hungary
ESP;http://www.wikidata.org/entity/Q29;Espanha;http://www.wikidata.org/entity/Q97165187;Franco-Spanish War;guerra;1595-01-01T00:00:00Z;1598-01-01T00:00:00Z;;1595;1598;;;;;;;;;;;;participant;;Spain;Franco-Spanish War;;;;
ESP;http://www.wikidata.org/entity/Q29;Espanha;http://www.wikidata.org/entity/Q16822746;Batalha dos Mares Estreitos;batalha naval;1602-10-03T00:00:00Z;1602-10-04T00:00:00Z;;1602;1602;;;;http://www.wikidata.org/entity/Q164432;Guerra dos Oitenta Anos;;;http://www.wikidata.org/entity/Q159898;Estreito de Dover;Point(1.45 51.0);;participant;;Spain;Battle of the Narrow Seas;;Eighty Years' War;;Strait of Dover
ESP;http://www.wikidata.org/entity/Q29;Espanha;http://www.wikidata.org/entity/Q849680;Guerras indígenas nos Estados Unidos;series of wars;1609-01-01T00:00:00Z;1924-01-01T00:00:00Z;;1609;1924;;;;;;;;http://www.wikidata.org/entity/Q49;América do Norte e América Central;;;participant;;Spain;American Indian Wars;;;;North America
ESP;http://www.wikidata.org/entity/Q29;Espanha;http://www.wikidata.org/entity/Q16640422;War of the Montferrat Succession;guerra da sucessão;1613-01-01T00:00:00Z;1617-01-01T00:00:00Z;;1613;1617;;;;;;;;;;;;participant;;Spain;War of the Montferrat Succession;;;;
ESP;http://www.wikidata.org/entity/Q29;Espanha;http://www.wikidata.org/entity/Q870205;Bündner Wirren;guerra;1618-01-01T00:00:00Z;1639-01-01T00:00:00Z;;1618;1639;;;;http://www.wikidata.org/entity/Q2487;Guerra dos Trinta Anos;;;http://www.wikidata.org/entity/Q662654;Grison Alps;;;participant;;Spain;Bündner Wirren;;Thirty Years' War;;Grison Alps
ESP;http://www.wikidata.org/entity/Q29;Espanha;http://www.wikidata.org/entity/Q2377749;Siege of Venlo;batalha;1637-08-20T00:00:00Z;1637-08-25T00:00:00Z;;1637;1637;;;;http://www.wikidata.org/entity/Q164432;Guerra dos Oitenta Anos;;;http://www.wikidata.org/entity/Q3322237;Venlo;Point(6.166666666 51.366666666);;participant;;Spain;Siege of Venlo;;Eighty Years' War;;Venlo
ESP;http://www.wikidata.org/entity/Q29;Espanha;http://www.wikidata.org/entity/Q2888520;Siege of Fuenterrabía;cerco;1638-06-01T00:00:00Z;1638-09-07T00:00:00Z;;1638;1638;;;;http://www.wikidata.org/entity/Q2487;Guerra dos Trinta Anos;;;http://www.wikidata.org/entity/Q492312;Hondarribia;Point(-1.8 43.36666667);;participant;;Spain;Siege of Fuenterrabía;;Thirty Years' War;;Hondarribia
ESP;http://www.wikidata.org/entity/Q29;Espanha;http://www.wikidata.org/entity/Q54434;Guerra da Orelha de Jenkins;guerra;1739-10-22T00:00:00Z;1748-10-18T00:00:00Z;;1739;1748;;;;http://www.wikidata.org/entity/Q32929;Guerra de Sucessão Austríaca;;;http://www.wikidata.org/entity/Q8965;Vice-Reino de Nova Granada;;;participant;;Spain;War of Jenkins' Ear;;War of the Austrian Succession;;Viceroyalty of New Granada
ESP;http://www.wikidata.org/entity/Q29;Espanha;http://www.wikidata.org/entity/Q2713453;A Viagem do Glorioso;batalha naval;1747-07-25T00:00:00Z;1747-10-19T00:00:00Z;;1747;1747;;;;http://www.wikidata.org/entity/Q54434;Guerra da Orelha de Jenkins;;;http://www.wikidata.org/entity/Q4103;Cabo de São Vicente;;;participant;;Spain;Voyage of the Glorioso;;War of Jenkins' Ear;;Cape St. Vincent
ESP;http://www.wikidata.org/entity/Q29;Espanha;http://www.wikidata.org/entity/Q40949;Guerra da Independência dos Estados Unidos;guerra de libertação nacional;1775-04-19T00:00:00Z;1783-09-03T00:00:00Z;;1775;1783;;;;http://www.wikidata.org/entity/Q1227237;relações entre Estados Unidos e Reino Unido;;;http://www.wikidata.org/entity/Q30;Estados Unidos;;;participant;;Spain;American Revolutionary War;;United Kingdom–United States relations;;United States
ESP;http://www.wikidata.org/entity/Q29;Espanha;http://www.wikidata.org/entity/Q324438;Campanha do Rossilhão;guerra;1793-03-07T00:00:00Z;1795-07-22T00:00:00Z;;1793;1795;;;;http://www.wikidata.org/entity/Q18817;Primeira Coligação;;;http://www.wikidata.org/entity/Q4018;Navarra;;;participant;;Spain;War of the Pyrenees;;War of the First Coalition;;Navarre
ESP;http://www.wikidata.org/entity/Q29;Espanha;http://www.wikidata.org/entity/Q15262148;Newfoundland Expedition;batalha naval;1796-08-28T00:00:00Z;1796-09-05T00:00:00Z;;1796;1796;;;;http://www.wikidata.org/entity/Q18817;Primeira Coligação;;;http://www.wikidata.org/entity/Q48335;Terra Nova;Point(-59.685 52.62444444);;participant;;Spain;Newfoundland Expedition;;War of the First Coalition;;Newfoundland
ESP;http://www.wikidata.org/entity/Q29;Espanha;http://www.wikidata.org/entity/Q5037035;Capture of Minorca;guerra;1798-11-07T00:00:00Z;1798-11-15T00:00:00Z;;1798;1798;;;;http://www.wikidata.org/entity/Q26749;Segunda Coligação;;;http://www.wikidata.org/entity/Q52636;Minorca;Point(4.05 39.95);;participant;;Spain;Capture of Minorca;;War of the Second Coalition;;Menorca
ESP;http://www.wikidata.org/entity/Q29;Espanha;http://www.wikidata.org/entity/Q26749;Segunda Coligação;guerra;1798-01-01T00:00:00Z;1801-01-01T00:00:00Z;;1798;1801;;;;http://www.wikidata.org/entity/Q207318;Guerras Revolucionárias Francesas;;;http://www.wikidata.org/entity/Q4918;Mar Mediterrâneo;;;participant;;Spain;War of the Second Coalition;;French Revolutionary Wars;;Mediterranean Sea
ESP;http://www.wikidata.org/entity/Q29;Espanha;http://www.wikidata.org/entity/Q15178081;Action of 16 October 1799;batalha naval;1799-10-16T00:00:00Z;1799-10-17T00:00:00Z;;1799;1799;;;;http://www.wikidata.org/entity/Q207318;Guerras Revolucionárias Francesas;;;http://www.wikidata.org/entity/Q97;Oceano Atlântico;Point(-12.58333333 41.01666667);;participant;;Spain;Action of 16 October 1799;;French Revolutionary Wars;;Atlantic Ocean
ESP;http://www.wikidata.org/entity/Q29;Espanha;http://www.wikidata.org/entity/Q15282200;Algeciras Campaign;batalha naval;1801-06-13T00:00:00Z;1801-07-14T00:00:00Z;;1801;1801;;;;http://www.wikidata.org/entity/Q207318;Guerras Revolucionárias Francesas;;;http://www.wikidata.org/entity/Q36124;Estreito de Gibraltar;Point(-5.39601 36.1311);;participant;;Spain;Algeciras Campaign;;French Revolutionary Wars;;Strait of Gibraltar
ESP;http://www.wikidata.org/entity/Q29;Espanha;http://www.wikidata.org/entity/Q124649;Segunda Batalha de Algeciras;batalha naval;1801-07-12T00:00:00Z;1801-07-13T00:00:00Z;;1801;1801;;;;http://www.wikidata.org/entity/Q207318;Guerras Revolucionárias Francesas;;;http://www.wikidata.org/entity/Q36124;Estreito de Gibraltar;Point(-5.5 36.0);;participant;;Spain;Second Battle of Algeciras;;French Revolutionary Wars;;Strait of Gibraltar
ESP;http://www.wikidata.org/entity/Q29;Espanha;http://www.wikidata.org/entity/Q1389655;Capture of the Rosily Squadron;batalha naval;1808-06-09T00:00:00Z;1808-06-14T00:00:00Z;;1808;1808;;;;http://www.wikidata.org/entity/Q152499;Guerra Peninsular;;;http://www.wikidata.org/entity/Q15682;Cádis;Point(-6.35 36.61666667);;participant;;Spain;Capture of the Rosily Squadron;;Peninsular War;;Cádiz
ESP;http://www.wikidata.org/entity/Q29;Espanha;http://www.wikidata.org/entity/Q900693;Guerras Seminoles;guerra;1816-01-01T00:00:00Z;1858-01-01T00:00:00Z;;1816;1858;;;;http://www.wikidata.org/entity/Q849680;Guerras indígenas nos Estados Unidos;;;http://www.wikidata.org/entity/Q486306;Pensacola;;;participant;;Spain;Seminole Wars;;American Indian Wars;;Pensacola
ESP;http://www.wikidata.org/entity/Q29;Espanha;http://www.wikidata.org/entity/Q474891;Texas–Indian Wars;guerra;1820-01-01T00:00:00Z;1875-01-01T00:00:00Z;;1820;1875;;;;http://www.wikidata.org/entity/Q849680;Guerras indígenas nos Estados Unidos;;;http://www.wikidata.org/entity/Q1439;Texas;;;participant;;Spain;Texas–Indian Wars;;American Indian Wars;;Texas
ESP;http://www.wikidata.org/entity/Q29;Espanha;http://www.wikidata.org/entity/Q742813;Guerra Espanhola-sul-americana;guerra;1864-04-14T00:00:00Z;1866-01-01T00:00:00Z;1864-01-01T00:00:00Z;1864;1866;1864;;;;;;;http://www.wikidata.org/entity/Q1073664;Ilhas Chincha;;;participant;;Spain;Chincha Islands War;;;;Chincha Islands
ESP;http://www.wikidata.org/entity/Q29;Espanha;http://www.wikidata.org/entity/Q400465;Guerra Chiquita;guerra;1879-08-26T00:00:00Z;1880-09-01T00:00:00Z;;1879;1880;;;;http://www.wikidata.org/entity/Q473130;história de Cuba;;;http://www.wikidata.org/entity/Q241;Cuba;;;participant;;Spain;Little War;;history of Cuba;;Cuba
ESP;http://www.wikidata.org/entity/Q29;Espanha;http://www.wikidata.org/entity/Q2032554;Segunda Campanha de Melilla;guerra;1909-07-09T00:00:00Z;1910-01-01T00:00:00Z;;1909;1910;;;;http://www.wikidata.org/entity/Q116301618;Spanish–Moroccan conflicts;;;http://www.wikidata.org/entity/Q275491;Rife;;;participant;;Spain;Second Melillan campaign;;Spanish–Moroccan conflicts;;Rif
ESP;http://www.wikidata.org/entity/Q29;Espanha;http://www.wikidata.org/entity/Q766437;Guerra do Rife;guerra;1911-06-08T00:00:00Z;1927-01-01T00:00:00Z;;1911;1927;;;;http://www.wikidata.org/entity/Q154611;período entreguerras;;;http://www.wikidata.org/entity/Q275491;Rife;;;participant;;Spain;Rif War;;interwar period;;Rif
ESP;http://www.wikidata.org/entity/Q29;Espanha;http://www.wikidata.org/entity/Q190029;Guerra do Kosovo;guerra;1998-02-27T00:00:00Z;1999-06-11T00:00:00Z;1998-02-01T00:00:00Z;1998;1999;1998;;;http://www.wikidata.org/entity/Q242352;Guerra Civil Iugoslava;;;http://www.wikidata.org/entity/Q1231;Kosovo;;;participant;;Spain;Kosovo War;;Yugoslav Wars;;Kosovo
ESP;http://www.wikidata.org/entity/Q29;Espanha;http://www.wikidata.org/entity/Q545449;Guerra do Iraque;guerra;2003-03-20T00:00:00Z;2011-12-15T00:00:00Z;;2003;2011;;;;http://www.wikidata.org/entity/Q185729;Guerra ao Terror;;;http://www.wikidata.org/entity/Q796;Iraque;;;participant;;Spain;Iraq War;;War on Terror;;Iraq
ESP;http://www.wikidata.org/entity/Q29;Espanha;http://www.wikidata.org/entity/Q2744068;Battle of Muros Bay;batalha naval;;;1543-07-25T00:00:00Z;;;1543;;;http://www.wikidata.org/entity/Q15542964;Guerra Italiana de 1542-1546;;;http://www.wikidata.org/entity/Q3394949;Ría de Muros e Noia;Point(-9.0 42.75);;participant;;Spain;Battle of Muros Bay;;Italian War of 1542–46 Un penesote;;Ría de Muros e Noia
ESP;http://www.wikidata.org/entity/Q29;Espanha;http://www.wikidata.org/entity/Q679831;Battle of Flushing;batalha naval;;;1573-04-17T00:00:00Z;;;1573;;;http://www.wikidata.org/entity/Q164432;Guerra dos Oitenta Anos;;;http://www.wikidata.org/entity/Q10084;Vlissingen;Point(3.58333333 51.45);;participant;;Spain;Battle of Flushing;;Eighty Years' War;;Vlissingen
ESP;http://www.wikidata.org/entity/Q29;Espanha;http://www.wikidata.org/entity/Q1814248;Battle of Haarlemmermeer;batalha naval;;;1573-06-05T00:00:00Z;;;1573;;;http://www.wikidata.org/entity/Q164432;Guerra dos Oitenta Anos;;;http://www.wikidata.org/entity/Q53477141;Haarlemmermeer;Point(4.68308056 52.37595278);;participant;;Spain;Battle of Haarlemmermeer;;Eighty Years' War;;Haarlemmermeer
ESP;http://www.wikidata.org/entity/Q29;Espanha;http://www.wikidata.org/entity/Q2386251;Battle on the Zuiderzee;batalha naval;;;1573-10-11T00:00:00Z;;;1573;;;http://www.wikidata.org/entity/Q164432;Guerra dos Oitenta Anos;;;http://www.wikidata.org/entity/Q228655;Golfo Zuiderzee;Point(5.33333333 52.83333333);;participant;;Spain;Battle on the Zuiderzee;;Eighty Years' War;;Zuiderzee
ESP;http://www.wikidata.org/entity/Q29;Espanha;http://www.wikidata.org/entity/Q2890949;Battle of Lillo;batalha naval;;;1574-05-30T00:00:00Z;;;1574;;;http://www.wikidata.org/entity/Q164432;Guerra dos Oitenta Anos;;;http://www.wikidata.org/entity/Q12892;Antuérpia;;;participant;;Spain;Battle of Lillo;;Eighty Years' War;;Antwerp
ESP;http://www.wikidata.org/entity/Q29;Espanha;http://www.wikidata.org/entity/Q16243594;Battle of the Strait of Gibraltar (1590);batalha naval;;;1590-04-24T00:00:00Z;;;1590;;;http://www.wikidata.org/entity/Q430726;Guerra Anglo-Espanhola;;;http://www.wikidata.org/entity/Q36124;Estreito de Gibraltar;;;participant;;Spain;Battle of the Strait of Gibraltar (1590);;Anglo-Spanish War;;Strait of Gibraltar
ESP;http://www.wikidata.org/entity/Q29;Espanha;http://www.wikidata.org/entity/Q4870470;Battle of Berlengas Islands;batalha naval;;;1591-07-15T00:00:00Z;;;1591;;;;;;;http://www.wikidata.org/entity/Q821015;Arquipélago das Berlengas;Point(-9.51972222 39.42722222);;participant;;Spain;Battle of Berlengas Islands;;;;Berlengas
ESP;http://www.wikidata.org/entity/Q29;Espanha;http://www.wikidata.org/entity/Q2888157;Battle of Blaye;batalha naval;;;1593-04-18T00:00:00Z;;;1593;;;http://www.wikidata.org/entity/Q430726;Guerra Anglo-Espanhola;;;http://www.wikidata.org/entity/Q213517;Estuário da Gironda;Point(-0.67 45.13);;participant;;Spain;Battle of Blaye;;Anglo-Spanish War;;Gironde estuary
ESP;http://www.wikidata.org/entity/Q29;Espanha;http://www.wikidata.org/entity/Q113482008;Battle of Cape St. Vincent (1602);batalha naval;;;1602-01-01T00:00:00Z;;;1602;;;http://www.wikidata.org/entity/Q430726;Guerra Anglo-Espanhola;;;http://www.wikidata.org/entity/Q4103;Cabo de São Vicente;;;participant;;Spain;Battle of Cape St. Vincent (1602);;Anglo-Spanish War;;Cape St. Vincent
ESP;http://www.wikidata.org/entity/Q29;Espanha;http://www.wikidata.org/entity/Q2114424;Batalha de Sluis;batalha naval;;;1603-05-26T00:00:00Z;;;1603;;;http://www.wikidata.org/entity/Q164432;Guerra dos Oitenta Anos;;;http://www.wikidata.org/entity/Q2065987;Sluis;Point(3.38333333 51.33333333);;participant;;Spain;Battle of Sluis;;Eighty Years' War;;Sluis
ESP;http://www.wikidata.org/entity/Q29;Espanha;http://www.wikidata.org/entity/Q67212705;Battle of Cape St. Vincent;batalha naval;;;1606-01-01T00:00:00Z;;;1606;;;http://www.wikidata.org/entity/Q164432;Guerra dos Oitenta Anos;;;http://www.wikidata.org/entity/Q4103;Cabo de São Vicente;Point(-8.563611111 36.818055555);;participant;;Spain;Battle of Cape St. Vincent;;Eighty Years' War;;Cape St. Vincent
ESP;http://www.wikidata.org/entity/Q29;Espanha;http://www.wikidata.org/entity/Q1933282;Battle of Playa Honda;batalha naval;;;1617-04-14T00:00:00Z;;;1617;;;http://www.wikidata.org/entity/Q164432;Guerra dos Oitenta Anos;;;http://www.wikidata.org/entity/Q125384;Lução;Point(119.83333333 15.28333333);;participant;;Spain;Battle of Playa Honda;;Eighty Years' War;;Luzon
ESP;http://www.wikidata.org/entity/Q29;Espanha;http://www.wikidata.org/entity/Q4677311;Action of 24 June 1618;batalha naval;;;1618-01-01T00:00:00Z;;;1618;;;;;;;;;Point(-5.603746 35.915353);;participant;;Spain;Action of 24 June 1618;;;;
