iso3,country_qid,form_qid,start,end,is_monarchy,country_pt,country_en,form_pt,form_en,start_year,end_year
IRL,http://www.wikidata.org/entity/Q27,http://www.wikidata.org/entity/Q179164,,,0,República da Irlanda,Ireland,Estado unitário,unitary state,,
IRQ,http://www.wikidata.org/entity/Q796,http://www.wikidata.org/entity/Q512187,,,0,Iraque,Iraq,república federal,federal republic,,
IRQ,http://www.wikidata.org/entity/Q796,http://www.wikidata.org/entity/Q43702,,,0,Iraque,Iraq,federação,federation,,
IRN,http://www.wikidata.org/entity/Q794,http://www.wikidata.org/entity/Q44405,,,0,Irão,Iran,teocracia,theocracy,,
IRN,http://www.wikidata.org/entity/Q794,http://www.wikidata.org/entity/Q49892,,,0,Irão,Iran,presidencialismo,presidential system,,
IRN,http://www.wikidata.org/entity/Q794,http://www.wikidata.org/entity/Q179164,,,0,Irão,Iran,Estado unitário,unitary state,,
IRN,http://www.wikidata.org/entity/Q794,http://www.wikidata.org/entity/Q672729,,,0,Irão,Iran,República islâmica,Islamic Republic,,
ISR,http://www.wikidata.org/entity/Q801,http://www.wikidata.org/entity/Q179164,,,0,Israel,Israel,Estado unitário,unitary state,,
ISR,http://www.wikidata.org/entity/Q801,http://www.wikidata.org/entity/Q4198907,,,0,Israel,Israel,república parlamentarista,parliamentary republic,,
ITA,http://www.wikidata.org/entity/Q38,http://www.wikidata.org/entity/Q179164,,,0,Itália,Italy,Estado unitário,unitary state,,
ITA,http://www.wikidata.org/entity/Q38,http://www.wikidata.org/entity/Q4198907,1946-06-18T00:00:00Z,,0,Itália,Italy,república parlamentarista,parliamentary republic,1946,
ISL,http://www.wikidata.org/entity/Q189,http://www.wikidata.org/entity/Q4198907,,,0,Islândia,Iceland,república parlamentarista,parliamentary republic,,
KAZ,http://www.wikidata.org/entity/Q232,http://www.wikidata.org/entity/Q49892,,,0,Cazaquistão,Kazakhstan,presidencialismo,presidential system,,
JPN,http://www.wikidata.org/entity/Q17,http://www.wikidata.org/entity/Q179164,,,0,Japão,Japan,Estado unitário,unitary state,,
JPN,http://www.wikidata.org/entity/Q17,http://www.wikidata.org/entity/Q849242,-0658-01-28T00:00:00Z,,0,Japão,Japan,monarquia hereditária,hereditary monarchy,-65,
JPN,http://www.wikidata.org/entity/Q17,http://www.wikidata.org/entity/Q41614,1947-05-03T00:00:00Z,,0,Japão,Japan,monarquia constitucional,constitutional monarchy,1947,
KGZ,http://www.wikidata.org/entity/Q813,http://www.wikidata.org/entity/Q4198907,,,0,Quirguistão,Kyrgyzstan,república parlamentarista,parliamentary republic,,
KHM,http://www.wikidata.org/entity/Q424,http://www.wikidata.org/entity/Q41614,,,0,Camboja,Cambodia,monarquia constitucional,constitutional monarchy,,
KNA,http://www.wikidata.org/entity/Q763,http://www.wikidata.org/entity/Q41614,,,0,São Cristóvão e Neves,Saint Kitts and Nevis,monarquia constitucional,constitutional monarchy,,
KNA,http://www.wikidata.org/entity/Q763,http://www.wikidata.org/entity/Q3208952,,,0,São Cristóvão e Neves,Saint Kitts and Nevis,monarquia federal,federal monarchy,,
KOR,http://www.wikidata.org/entity/Q884,http://www.wikidata.org/entity/Q7270,,,0,Coreia do Sul,South Korea,república,republic,,
KOR,http://www.wikidata.org/entity/Q884,http://www.wikidata.org/entity/Q49892,,,0,Coreia do Sul,South Korea,presidencialismo,presidential system,,
KWT,http://www.wikidata.org/entity/Q817,http://www.wikidata.org/entity/Q41614,,,0,Kuwait,Kuwait,monarquia constitucional,constitutional monarchy,,
LBN,http://www.wikidata.org/entity/Q822,http://www.wikidata.org/entity/Q4198907,,,0,Líbano,Lebanon,república parlamentarista,parliamentary republic,,
LAO,http://www.wikidata.org/entity/Q819,http://www.wikidata.org/entity/Q117405807,,,0,Laos,Laos,ditadura comunista,communist dictatorship,,
