iso3,country_qid,monarch_qid,position_qid,house_qid,start,end,country_pt,country_en,monarch_pt,monarch_en,position_pt,position_en,house_pt,house_en,start_year,end_year
AND,http://www.wikidata.org/entity/Q228,http://www.wikidata.org/entity/Q9337261,http://www.wikidata.org/entity/Q49967564,,0819-01-01T00:00:00Z,0823-01-01T00:00:00Z,,,,,,,,,819,823
AND,http://www.wikidata.org/entity/Q228,http://www.wikidata.org/entity/Q3824461,http://www.wikidata.org/entity/Q49967564,,0823-01-01T00:00:00Z,0840-01-01T00:00:00Z,,,,,,,,,823,840
AND,http://www.wikidata.org/entity/Q228,http://www.wikidata.org/entity/Q11698333,http://www.wikidata.org/entity/Q49967564,,0840-01-01T00:00:00Z,0850-01-01T00:00:00Z,,,,,,,,,840,850
AND,http://www.wikidata.org/entity/Q228,http://www.wikidata.org/entity/Q9167990,http://www.wikidata.org/entity/Q49967564,,0850-01-01T00:00:00Z,0857-01-01T00:00:00Z,,,,,,,,,850,857
AND,http://www.wikidata.org/entity/Q228,http://www.wikidata.org/entity/Q4138985,http://www.wikidata.org/entity/Q49967564,,0857-01-01T00:00:00Z,0872-01-01T00:00:00Z,,,,Guisad I,,,,,857,872
AND,http://www.wikidata.org/entity/Q228,http://www.wikidata.org/entity/Q9274314,http://www.wikidata.org/entity/Q49967564,,0872-01-01T00:00:00Z,0885-01-01T00:00:00Z,,,,Golderic,,,,,872,885
AND,http://www.wikidata.org/entity/Q228,http://www.wikidata.org/entity/Q4200622,http://www.wikidata.org/entity/Q49967564,,0883-01-01T00:00:00Z,0900-01-01T00:00:00Z,,,,,,,,,883,900
AND,http://www.wikidata.org/entity/Q228,http://www.wikidata.org/entity/Q4532741,http://www.wikidata.org/entity/Q49967564,,0886-01-01T00:00:00Z,0892-01-01T00:00:00Z,,,,,,,,,886,892
AND,http://www.wikidata.org/entity/Q228,http://www.wikidata.org/entity/Q588815,http://www.wikidata.org/entity/Q49967564,,0893-01-01T00:00:00Z,0914-01-01T00:00:00Z,,,"Nantigis, Bishop of Urgell",Nantigís,,,,,893,914
AND,http://www.wikidata.org/entity/Q228,http://www.wikidata.org/entity/Q9361585,http://www.wikidata.org/entity/Q49967564,,0914-01-01T00:00:00Z,0914-01-01T00:00:00Z,,,,,,,,,914,914
AND,http://www.wikidata.org/entity/Q228,http://www.wikidata.org/entity/Q4138984,http://www.wikidata.org/entity/Q49967564,,0942-01-01T00:00:00Z,0978-01-01T00:00:00Z,,,,,,,,,942,978
AND,http://www.wikidata.org/entity/Q228,http://www.wikidata.org/entity/Q4405875,http://www.wikidata.org/entity/Q49967564,,0981-01-01T00:00:00Z,1010-01-01T00:00:00Z,,,,,,,,,981,1010
AND,http://www.wikidata.org/entity/Q228,http://www.wikidata.org/entity/Q2696705,http://www.wikidata.org/entity/Q49967564,,1010-11-12T00:00:00Z,1035-11-09T00:00:00Z,,,,,,,,,1010,1035
AND,http://www.wikidata.org/entity/Q228,http://www.wikidata.org/entity/Q19290520,http://www.wikidata.org/entity/Q49967564,http://www.wikidata.org/entity/Q959064,1036-01-01T00:00:00Z,1042-01-01T00:00:00Z,,,,,,,,Folch de Cardona family,1036,1042
AND,http://www.wikidata.org/entity/Q228,http://www.wikidata.org/entity/Q9282606,http://www.wikidata.org/entity/Q49967564,,1041-01-01T00:00:00Z,1075-01-30T00:00:00Z,,,,Guillem Guifré,,,,,1041,1075
AND,http://www.wikidata.org/entity/Q228,http://www.wikidata.org/entity/Q64763586,http://www.wikidata.org/entity/Q49967564,,1076-01-21T00:00:00Z,1092-07-07T00:00:00Z,,,,,,,,,1076,1092
AND,http://www.wikidata.org/entity/Q228,http://www.wikidata.org/entity/Q3747038,http://www.wikidata.org/entity/Q49967564,http://www.wikidata.org/entity/Q959064,1092-01-01T00:00:00Z,1095-01-01T00:00:00Z,,,,,,,,Folch de Cardona family,1092,1095
AND,http://www.wikidata.org/entity/Q228,http://www.wikidata.org/entity/Q4894767,http://www.wikidata.org/entity/Q49967564,,1095-03-31T00:00:00Z,1122-07-16T00:00:00Z,,,,,,,,,1095,1122
AND,http://www.wikidata.org/entity/Q228,http://www.wikidata.org/entity/Q934174,http://www.wikidata.org/entity/Q49967564,,1123-01-01T00:00:00Z,1141-01-01T00:00:00Z,,,,,,,,,1123,1141
AND,http://www.wikidata.org/entity/Q228,http://www.wikidata.org/entity/Q11687770,http://www.wikidata.org/entity/Q49967564,,1142-01-01T00:00:00Z,1163-01-01T00:00:00Z,,,,,,,,,1142,1163
AND,http://www.wikidata.org/entity/Q228,http://www.wikidata.org/entity/Q11687771,http://www.wikidata.org/entity/Q49967564,,1163-01-01T00:00:00Z,1167-01-01T00:00:00Z,,,,,,,,,1163,1167
AND,http://www.wikidata.org/entity/Q228,http://www.wikidata.org/entity/Q9160098,http://www.wikidata.org/entity/Q49967564,,1166-01-01T00:00:00Z,1195-01-01T00:00:00Z,,,,Arnau de Preixens,,,,,1166,1195
AND,http://www.wikidata.org/entity/Q228,http://www.wikidata.org/entity/Q11687773,http://www.wikidata.org/entity/Q49967564,,1195-01-01T00:00:00Z,1198-01-01T00:00:00Z,,,,,,,,,1195,1198
AND,http://www.wikidata.org/entity/Q228,http://www.wikidata.org/entity/Q61739497,http://www.wikidata.org/entity/Q49967564,,1199-06-01T00:00:00Z,1203-01-01T00:00:00Z,,,,,,,,,1199,1203
AND,http://www.wikidata.org/entity/Q228,http://www.wikidata.org/entity/Q61739535,http://www.wikidata.org/entity/Q49967564,,1203-01-01T00:00:00Z,1230-01-01T00:00:00Z,,,,Pere de Puigverd,,,,,1203,1230
AND,http://www.wikidata.org/entity/Q228,http://www.wikidata.org/entity/Q2882462,http://www.wikidata.org/entity/Q49967564,,1230-01-01T00:00:00Z,1257-01-01T00:00:00Z,,,,,,,,,1230,1257
