# location=Lisboa lat=38.72 lon=-9.14 baseline=1991-2020
time,tas (°C),ΔT (°C),model,scenario,year
2025-07-01,16.600298,-0.32577896,EC-Earth3,ssp370,2025
2026-07-01,17.273966,0.34788895,EC-Earth3,ssp370,2026
2027-07-01,16.691141,-0.23493576,EC-Earth3,ssp370,2027
2028-07-01,17.028082,0.102005005,EC-Earth3,ssp370,2028
2029-07-01,17.606398,0.68032074,EC-Earth3,ssp370,2029
2030-07-01,17.007948,0.08187103,EC-Earth3,ssp370,2030
2031-07-01,16.264717,-0.6613598,EC-Earth3,ssp370,2031
2032-07-01,16.849783,-0.076293945,EC-Earth3,ssp370,2032
2033-07-01,17.482264,0.5561867,EC-Earth3,ssp370,2033
2034-07-01,17.222763,0.29668617,EC-Earth3,ssp370,2034
2035-07-01,17.599855,0.67377853,EC-Earth3,ssp370,2035
2036-07-01,16.928917,0.002840042,EC-Earth3,ssp370,2036
2037-07-01,17.478035,0.5519581,EC-Earth3,ssp370,2037
2038-07-01,16.983763,0.057685852,EC-Earth3,ssp370,2038
2039-07-01,17.29988,0.37380219,EC-Earth3,ssp370,2039
2040-07-01,17.414213,0.4881363,EC-Earth3,ssp370,2040
2041-07-01,17.358152,0.4320755,EC-Earth3,ssp370,2041
2042-07-01,18.02227,1.0961933,EC-Earth3,ssp370,2042
2043-07-01,17.359575,0.43349838,EC-Earth3,ssp370,2043
2044-07-01,16.585115,-0.34096146,EC-Earth3,ssp370,2044
2045-07-01,17.193644,0.26756668,EC-Earth3,ssp370,2045
2046-07-01,16.760107,-0.16596985,EC-Earth3,ssp370,2046
2047-07-01,17.417269,0.49119186,EC-Earth3,ssp370,2047
2048-07-01,17.49735,0.5712738,EC-Earth3,ssp370,2048
2049-07-01,17.651854,0.7257767,EC-Earth3,ssp370,2049
2050-07-01,18.119339,1.1932621,EC-Earth3,ssp370,2050
2051-07-01,17.528877,0.60280037,EC-Earth3,ssp370,2051
2052-07-01,17.768944,0.8428669,EC-Earth3,ssp370,2052
2053-07-01,17.936014,1.0099373,EC-Earth3,ssp370,2053
2054-07-01,18.284225,1.3581486,EC-Earth3,ssp370,2054
2055-07-01,17.376427,0.4503498,EC-Earth3,ssp370,2055
2056-07-01,17.352781,0.4267044,EC-Earth3,ssp370,2056
2057-07-01,18.22219,1.296114,EC-Earth3,ssp370,2057
2058-07-01,18.047537,1.12146,EC-Earth3,ssp370,2058
2059-07-01,17.59535,0.6692734,EC-Earth3,ssp370,2059
2060-07-01,19.16337,2.2372932,EC-Earth3,ssp370,2060
2061-07-01,18.589727,1.6636505,EC-Earth3,ssp370,2061
2062-07-01,17.888382,0.96230507,EC-Earth3,ssp370,2062
2063-07-01,18.81369,1.8876133,EC-Earth3,ssp370,2063
2064-07-01,17.948257,1.0221806,EC-Earth3,ssp370,2064
2065-07-01,17.31272,0.38664246,EC-Earth3,ssp370,2065
2066-07-01,17.771797,0.8457203,EC-Earth3,ssp370,2066
2067-07-01,17.74782,0.821743,EC-Earth3,ssp370,2067
2068-07-01,17.854498,0.928421,EC-Earth3,ssp370,2068
2069-07-01,19.020798,2.0947208,EC-Earth3,ssp370,2069
2070-07-01,18.233236,1.3071594,EC-Earth3,ssp370,2070
2071-07-01,17.890303,0.96422577,EC-Earth3,ssp370,2071
2072-07-01,18.638824,1.7127476,EC-Earth3,ssp370,2072
2073-07-01,18.448599,1.522522,EC-Earth3,ssp370,2073
2074-07-01,19.170547,2.2444706,EC-Earth3,ssp370,2074
2075-07-01,18.824425,1.8983479,EC-Earth3,ssp370,2075
2076-07-01,17.857697,0.93161964,EC-Earth3,ssp370,2076
2077-07-01,18.004732,1.0786552,EC-Earth3,ssp370,2077
2078-07-01,18.111597,1.1855202,EC-Earth3,ssp370,2078
2079-07-01,18.09965,1.1735725,EC-Earth3,ssp370,2079
